date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,people_fully_vaccinated_per_hundred_2
2021-01-04,16.611,0.267,0.0,121.0,0.02
2021-01-05,16.634,0.261,0.0,145.0,0.02
2021-01-06,16.755,0.251,0.0,148.0,0.02
2021-01-07,17.443,0.256,0.0,57.0,0.02
2021-01-08,17.176,0.244,0.0,58.0,0.03
2021-01-09,17.641,0.242,0.0,200.0,0.03
2021-01-10,17.855,0.238,0.01,199.0,0.03
2021-01-11,17.883,0.235,0.01,198.0,0.03
2021-01-12,17.868,0.241,0.01,174.0,0.04
2021-01-13,17.851,0.249,0.01,204.0,0.04
2021-01-14,17.818,0.249,0.01,215.0,0.04
2021-01-15,18.285,0.257,0.01,228.0,0.04
2021-01-16,17.693,0.251,0.01,101.0,0.04
2021-01-17,17.653,0.253,0.01,107.0,0.05
2021-01-18,17.351,0.255,0.02,123.0,0.05
2021-01-19,17.128,0.249,0.02,137.0,0.05
2021-01-20,16.968,0.247,0.02,270.0,0.05
2021-01-21,16.653,0.249,0.02,273.0,0.05
2021-01-22,16.44,0.244,0.03,281.0,0.05
2021-01-23,16.053,0.242,0.03,280.0,0.05
2021-01-24,15.799,0.241,0.03,282.0,0.05
2021-01-25,15.65,0.243,0.03,286.0,0.06
2021-01-26,15.664,0.245,0.04,283.0,0.06
2021-01-27,15.61,0.246,0.04,377.0,0.06
2021-01-28,15.812,0.249,0.04,394.0,0.07
2021-01-29,15.847,0.247,0.04,403.0,0.07
2021-01-30,15.881,0.254,0.04,406.0,0.08
2021-01-31,15.899,0.255,0.05,448.0,0.08
2021-02-01,16.088,0.251,0.05,448.0,0.09
2021-02-02,15.906,0.246,0.05,450.0,0.1
2021-02-03,15.794,0.237,0.05,430.0,0.1
2021-02-04,15.485,0.229,0.05,427.0,0.11
2021-02-05,15.237,0.227,0.05,430.0,0.12
2021-02-06,15.096,0.215,0.05,434.0,0.13
2021-02-07,15.052,0.209,0.05,392.0,0.13
2021-02-08,14.854,0.207,0.06,392.0,0.14
2021-02-09,14.814,0.201,0.06,688.0,0.19
2021-02-10,14.651,0.2,0.06,481.0,0.2
2021-02-11,14.409,0.193,0.07,476.0,0.21
2021-02-12,14.349,0.192,0.07,477.0,0.22
2021-02-13,14.144,0.191,0.08,487.0,0.23
2021-02-14,13.917,0.189,0.08,492.0,0.24
2021-02-15,13.915,0.183,0.09,514.0,0.24
2021-02-16,13.938,0.183,0.1,241.0,0.25
2021-02-17,13.89,0.179,0.1,252.0,0.26
2021-02-18,13.943,0.18,0.11,288.0,0.27
2021-02-19,13.956,0.181,0.12,290.0,0.28
2021-02-20,13.945,0.182,0.13,300.0,0.29
2021-02-21,14.217,0.182,0.13,300.0,0.3
2021-02-22,14.459,0.183,0.14,291.0,0.31
2021-02-23,14.612,0.184,0.19,294.0,0.32
2021-02-24,14.825,0.204,0.2,290.0,0.33
2021-02-25,15.111,0.206,0.21,276.0,0.34
2021-02-26,15.347,0.208,0.22,278.0,0.35
2021-02-27,15.573,0.204,0.23,275.0,0.36
2021-02-28,15.588,0.205,0.24,643.0,0.37
2021-03-01,15.642,0.205,0.24,653.0,0.39
2021-03-02,15.73,0.203,0.25,672.0,0.41
2021-03-03,15.862,0.182,0.26,690.0,0.43
2021-03-04,16.019,0.178,0.27,714.0,0.45
2021-03-05,16.208,0.177,0.28,740.0,0.47
2021-03-06,16.417,0.173,0.29,765.0,0.48
2021-03-07,16.729,0.172,0.3,416.0,0.48
2021-03-08,17.045,0.177,0.31,455.0,0.5
2021-03-09,17.25,0.176,0.32,466.0,0.52
2021-03-10,17.528,0.175,0.33,492.0,0.54
2021-03-11,17.86,0.175,0.34,461.0,0.55
2021-03-12,18.253,0.173,0.35,481.0,0.57
2021-03-13,18.616,0.178,0.36,492.0,0.57
2021-03-14,19.003,0.179,0.37,874.0,0.58
2021-03-15,19.45,0.177,0.39,924.0,0.58
2021-03-16,20.037,0.181,0.41,965.0,0.59
2021-03-17,20.829,0.183,0.43,990.0,0.61
2021-03-18,21.703,0.188,0.45,1048.0,0.64
2021-03-19,22.56,0.19,0.47,1135.0,0.65
2021-03-20,23.517,0.192,0.48,1478.0,0.66
2021-03-21,24.583,0.196,0.48,1094.0,0.67
2021-03-22,25.41,0.203,0.5,1285.0,0.68
2021-03-23,26.396,0.206,0.52,1378.0,0.7
2021-03-24,27.356,0.213,0.54,1466.0,0.72
2021-03-25,28.427,0.218,0.55,1645.0,0.74
2021-03-26,29.496,0.223,0.57,1781.0,0.75
2021-03-27,30.509,0.232,0.57,1612.0,0.78
2021-03-28,31.669,0.238,0.58,1741.0,0.79
2021-03-29,32.66,0.24,0.58,1607.0,0.81
2021-03-30,33.489,0.246,0.59,1607.0,0.83
2021-03-31,34.619,0.257,0.61,1724.0,0.85
2021-04-01,35.947,0.266,0.64,1820.0,0.87
2021-04-02,37.611,0.281,0.65,1889.0,0.89
2021-04-03,39.338,0.291,0.66,1846.0,0.91
2021-04-04,41.235,0.31,0.67,1913.0,0.94
2021-04-05,42.983,0.321,0.68,1967.0,0.97
2021-04-06,45.58,0.347,0.7,2046.0,1.01
2021-04-07,48.202,0.363,0.72,1966.0,1.03
2021-04-08,50.737,0.381,0.74,1974.0,1.08
