date,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-03-06,275.626,2.099,0.99,8.578,0.043,23.5,11.72,4532.0,55.56,13.68
2021-03-07,277.389,1.931,1.0,8.581,0.041,24.3,11.84,4169.0,55.56,13.86
2021-03-08,277.976,1.763,1.0,8.555,0.041,24.2,11.91,3733.0,55.56,14.04
2021-03-09,278.564,1.763,1.01,8.641,0.041,24.1,11.98,3265.0,55.56,14.14
2021-03-10,279.74,1.511,1.02,8.928,0.039,25.6,12.11,2898.0,61.11,14.23
2021-03-11,280.915,1.343,1.03,9.034,0.039,25.5,12.24,2463.0,61.11,14.34
2021-03-12,282.09,1.007,1.03,9.11,0.04,25.2,12.35,1976.0,61.11,14.43
2021-03-13,282.678,1.007,1.04,9.134,0.039,25.4,12.47,2360.0,61.11,14.45
2021-03-14,284.441,1.007,1.05,9.304,0.04,25.2,12.59,3467.0,61.11,14.58
2021-03-15,285.029,1.007,1.06,9.345,0.04,25.1,12.74,4565.0,53.7,14.72
2021-03-16,286.204,1.091,1.06,9.298,0.041,24.2,12.89,5540.0,53.7,14.87
2021-03-17,287.379,1.091,1.07,9.25,0.043,23.4,13.08,6678.0,53.7,15.01
2021-03-18,288.555,1.091,1.07,9.202,0.043,23.3,13.37,7852.0,53.7,15.14
2021-03-19,289.73,1.091,1.08,9.154,0.043,23.3,13.54,8765.0,53.7,15.25
2021-03-20,292.669,1.427,1.09,9.163,0.045,22.2,13.68,8855.0,53.7,15.9
2021-03-21,293.844,1.343,1.09,9.171,0.046,21.9,13.86,8567.0,53.7,16.86
2021-03-22,295.019,1.427,1.1,9.18,0.046,21.6,14.04,8426.0,53.7,17.77
2021-03-23,295.607,1.343,1.1,9.195,0.047,21.1,14.14,8357.0,56.48,18.59
2021-03-24,297.958,1.511,1.11,9.294,0.046,21.5,14.23,8163.0,56.48,19.59
2021-03-25,298.546,1.427,1.11,9.392,0.048,20.9,14.34,7894.0,56.48,20.5
2021-03-26,300.896,1.595,1.12,9.597,0.048,21.0,14.43,7611.0,56.48,21.27
2021-03-27,301.484,1.259,1.12,9.685,0.048,21.0,14.45,7043.0,56.48,22.14
2021-03-28,301.484,1.091,1.13,9.623,0.051,19.6,14.58,6925.0,56.48,23.0
2021-03-29,302.659,1.091,1.12,9.75,0.051,19.6,14.72,6704.0,56.48,23.81
2021-03-30,303.835,1.175,1.13,9.799,0.052,19.4,14.87,6336.0,56.48,24.44
2021-03-31,306.185,1.175,1.13,9.733,0.053,18.8,15.01,6014.0,56.48,25.31
2021-04-01,307.361,1.259,1.13,9.754,0.054,18.6,15.14,5643.0,56.48,26.2
2021-04-02,309.712,1.259,1.13,9.68,0.056,17.7,15.25,5467.0,56.48,26.81
2021-04-03,312.062,1.511,1.13,9.804,0.06,16.8,15.9,6206.0,56.48,27.23
2021-04-04,315.001,1.931,1.13,10.019,0.058,17.1,16.86,6856.0,56.48,27.91
2021-04-05,317.939,2.183,1.12,10.127,0.059,16.9,17.77,7538.0,56.48,28.47
2021-04-06,320.29,2.351,1.11,10.213,0.059,16.8,18.59,8461.0,56.48,28.88
2021-04-07,321.465,2.183,1.11,10.305,0.061,16.4,19.59,9529.0,56.48,29.38
2021-04-08,322.053,2.099,1.1,10.374,0.062,16.1,20.5,10551.0,56.48,29.8
2021-04-09,323.228,1.931,1.1,10.541,0.062,16.0,21.27,11476.0,56.48,29.97
2021-04-10,325.579,1.931,1.09,10.736,0.06,16.8,22.14,11850.0,56.48,30.35
2021-04-11,327.342,1.763,1.08,10.746,0.06,16.7,23.0,11677.0,56.48,30.6
2021-04-12,330.281,1.763,1.08,10.756,0.062,16.1,23.81,11518.0,56.48,30.86
2021-04-13,332.631,1.763,1.07,10.845,0.062,16.2,24.44,11169.0,56.48,31.14
2021-04-14,334.395,1.847,1.06,10.847,0.062,16.1,25.31,10823.0,56.48,31.42
2021-04-15,337.333,2.183,1.05,10.902,0.061,16.5,26.2,10700.0,56.48,31.67
2021-04-16,341.447,2.603,1.04,10.811,0.061,16.5,26.81,10347.0,56.48,31.84
2021-04-17,345.561,2.854,1.04,10.523,0.062,16.3,27.23,9737.0,56.48,31.99
2021-04-18,349.087,3.106,1.04,10.48,0.061,16.3,27.91,10160.0,56.48,32.15
2021-04-19,352.613,3.19,1.03,10.356,0.06,16.7,28.47,10357.0,56.48,32.36
2021-04-20,355.551,3.274,1.03,10.067,0.061,16.3,28.88,10843.0,56.48,32.58
2021-04-21,356.727,3.19,1.04,9.983,0.061,16.5,29.38,10808.0,56.48,32.82
2021-04-22,360.84,3.358,1.04,9.689,0.063,15.9,29.8,10185.0,56.48,33.05
2021-04-23,362.604,3.022,1.04,9.646,0.062,16.0,29.97,9600.0,56.48,33.27
