date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-02-24,1.829,0.0,1.35,0.0,360.0,56.48,0.24
2021-02-25,2.196,0.0,1.34,0.0,373.0,56.48,0.28
2021-02-26,2.418,0.0,1.33,0.0,360.0,56.48,0.31
2021-02-28,2.153,0.0,1.31,0.01,356.0,56.48,0.34
2021-03-01,2.145,0.0,1.3,0.01,425.0,56.48,0.36
2021-03-02,2.093,0.0,1.3,0.04,596.0,56.48,0.45
2021-03-03,1.811,0.0,1.3,0.06,694.0,56.48,0.56
2021-03-05,1.589,0.0,1.31,0.08,888.0,59.26,0.74
2021-03-06,1.555,0.0,1.32,0.1,958.0,59.26,0.8
2021-03-07,1.632,0.0,1.33,0.11,985.0,59.26,0.84
2021-03-08,1.427,0.0,1.35,0.14,953.0,59.26,0.88
2021-03-09,2.102,0.0,1.37,0.2,918.0,49.07,0.93
2021-03-10,2.17,0.0,1.37,0.24,1013.0,49.07,0.98
2021-03-11,2.504,0.009,1.37,0.28,1142.0,49.07,1.06
2021-03-12,2.657,0.009,1.37,0.31,1200.0,49.07,1.14
2021-03-13,2.717,0.009,1.37,0.34,1267.0,49.07,1.23
2021-03-14,2.683,0.009,1.37,0.34,1298.0,49.07,1.27
2021-03-15,2.683,0.009,1.38,0.36,1260.0,49.07,1.32
2021-03-16,3.255,0.009,1.4,0.45,1290.0,49.07,1.36
2021-03-17,3.23,0.009,1.39,0.56,1272.0,63.89,1.43
2021-03-19,2.683,0.009,1.38,0.74,1140.0,63.89,1.47
2021-03-20,2.333,0.009,1.39,0.8,1104.0,63.89,1.48
2021-03-21,3.657,0.017,1.41,0.84,1085.0,63.89,1.49
2021-03-22,3.956,0.026,1.4,0.88,1107.0,63.89,1.5
2021-03-23,2.666,0.034,1.4,0.93,994.0,63.89,1.51
2021-03-24,2.828,0.034,1.4,0.98,879.0,63.89,1.53
2021-03-25,2.512,0.034,1.41,1.06,934.0,63.89,1.54
2021-03-26,3.332,0.051,1.43,1.14,987.0,63.89,1.56
2021-03-27,4.862,0.051,1.44,1.23,1065.0,63.89,1.59
2021-03-28,4.101,0.06,1.44,1.27,1124.0,63.89,1.6
2021-03-29,5.041,0.06,1.44,1.32,1162.0,63.89,1.63
2021-03-30,5.323,0.051,1.43,1.36,1186.0,63.89,1.65
2021-03-31,4.853,0.051,1.43,1.43,1196.0,63.89,1.67
2021-04-01,5.169,0.077,1.43,1.45,1198.0,65.74,1.71
2021-04-02,4.939,0.068,1.45,1.47,1402.0,65.74,1.79
2021-04-03,4.631,0.094,1.47,1.48,1678.0,65.74,1.81
2021-04-04,3.896,0.077,1.49,1.49,2004.0,65.74,1.81
2021-04-05,3.196,0.085,1.51,1.5,2349.0,65.74,2.28
2021-04-06,4.059,0.094,1.55,1.51,2717.0,65.74,2.59
2021-04-07,4.059,0.094,1.57,1.53,3126.0,68.52,2.96
2021-04-08,4.708,0.085,1.61,1.54,3413.0,68.52,3.38
2021-04-09,9.04,0.068,1.64,1.56,3869.0,68.52,3.79
2021-04-10,11.894,0.06,1.63,1.59,3935.0,68.52,4.09
2021-04-11,15.602,0.094,1.6,1.6,3901.0,68.52,4.38
2021-04-12,15.064,0.077,1.57,1.63,4144.0,68.52,4.65
2021-04-13,15.218,0.094,1.54,1.65,4279.0,68.52,4.9
2021-04-15,18.713,0.103,1.52,1.71,3739.0,68.52,5.45
2021-04-16,16.03,0.12,1.51,1.79,3143.0,72.22,5.65
2021-04-17,14.44,0.111,1.5,1.81,2712.0,72.22,5.81
2021-04-18,16.013,0.111,1.49,1.81,2329.0,72.22,5.89
2021-04-19,21.344,0.128,1.48,2.28,2431.0,72.22,6.0
2021-04-20,23.481,0.137,1.45,2.59,2260.0,72.22,6.15
2021-04-21,24.549,0.162,1.43,2.96,2506.0,72.22,6.24
2021-04-22,25.42,0.197,1.42,3.38,2881.0,72.22,6.46
2021-04-23,28.778,0.197,1.4,3.79,3196.0,72.22,6.59
2021-04-24,30.658,0.273,1.38,4.09,3615.0,72.22,6.63
2021-04-25,30.641,0.265,1.36,4.38,4006.0,72.22,6.64
2021-04-26,30.265,0.291,1.35,4.65,3568.0,72.22,6.68
2021-04-27,30.923,0.282,1.33,4.9,3474.0,72.22,6.72
2021-04-29,38.006,0.273,1.29,5.45,3376.0,72.69,6.79
2021-04-30,38.912,0.273,1.27,5.65,3151.0,72.69,6.82
2021-05-01,37.861,0.214,1.25,5.81,3043.0,72.69,6.87
2021-05-02,38.835,0.248,1.23,5.89,3243.0,72.69,7.09
2021-05-03,41.065,0.231,1.21,6.0,3385.0,72.69,7.37
2021-05-04,44.74,0.214,1.19,6.15,3637.0,72.69,7.67
2021-05-05,44.517,0.188,1.17,6.24,3671.0,72.69,7.99
2021-05-06,42.552,0.197,1.14,6.46,3807.0,72.69,8.33
2021-05-07,40.818,0.179,1.12,6.59,4109.0,72.69,8.66
2021-05-08,42.099,0.154,1.1,6.63,4203.0,72.69,9.06
2021-05-09,40.305,0.145,1.08,6.64,4079.0,72.69,9.39
2021-05-10,37.442,0.171,1.07,6.68,4041.0,72.69,9.85
2021-05-11,33.529,0.205,1.06,6.72,3916.0,73.15,10.16
2021-05-12,31.82,0.222,1.05,6.76,3934.0,73.15,10.47
2021-05-13,30.077,0.239,1.04,6.79,3811.0,73.15,10.77
2021-05-14,28.368,0.282,1.03,6.82,3549.0,73.15,11.15
2021-05-15,26.634,0.282,1.03,6.87,3317.0,73.15,11.5
2021-05-16,25.181,0.256,1.03,7.09,3269.0,73.15,11.73
2021-05-17,23.933,0.239,1.03,7.37,3335.0,73.15,11.89
2021-05-18,22.78,0.214,1.03,7.67,3543.0,63.43,12.1
2021-05-19,22.105,0.197,1.04,7.99,3713.0,63.43,12.31
2021-05-20,21.84,0.188,1.05,8.33,3914.0,63.43,12.53
2021-05-21,22.712,0.154,1.05,8.66,4210.0,63.43,12.73
2021-05-22,24.019,0.171,1.06,9.06,4719.0,63.43,12.91
2021-05-23,25.813,0.222,1.07,9.39,4892.0,63.43,13.06
2021-05-24,27.488,0.214,1.08,9.85,5082.0,63.43,13.18
2021-05-25,29.393,0.231,1.08,10.16,5034.0,67.13,13.37
2021-05-26,31.675,0.265,1.08,10.47,5208.0,67.13,13.63
2021-05-27,33.674,0.256,1.09,10.77,5375.0,67.13,13.96
2021-05-28,34.862,0.265,1.08,11.15,5600.0,67.13,14.28
2021-05-29,35.716,0.308,1.08,11.5,5734.0,67.13,14.59
2021-05-30,35.879,0.282,1.09,11.73,5886.0,67.13,14.89
2021-05-31,37.024,0.299,1.09,11.89,5859.0,67.13,15.18
2021-06-01,37.434,0.316,1.08,12.1,5689.0,66.2,15.5
2021-06-02,38.203,0.342,1.08,12.31,5217.0,66.2,15.69
2021-06-03,38.887,0.359,1.08,12.53,4809.0,66.2,15.79
2021-06-04,41.339,0.393,1.07,12.73,4360.0,66.2,15.95
2021-06-05,40.912,0.419,1.06,12.91,3897.0,66.2,16.16
2021-06-06,41.356,0.461,1.06,13.06,3502.0,66.2,16.34
2021-06-07,40.493,0.444,1.05,13.18,3045.0,66.2,16.48
2021-06-08,41.023,0.496,1.05,13.37,2857.0,66.2,16.5
2021-06-09,40.843,0.504,1.05,13.63,2788.0,66.2,16.5
2021-06-10,38.254,0.547,1.04,13.96,2954.0,66.2,16.52
2021-06-11,36.28,0.59,1.04,14.28,3287.0,66.2,16.83
2021-06-12,37.135,0.581,1.04,14.59,3681.0,66.2,17.01
2021-06-13,35.742,0.615,1.04,14.89,4185.0,66.2,17.23
2021-06-14,35.341,0.701,1.04,15.18,4850.0,66.2,17.57
2021-06-15,33.777,0.709,1.04,15.5,5659.0,72.69,17.9
