date,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-06,3.365,1.1,23.051,123.231,2.776,0.074,13.5,0.0,376.0,73.61,0.1
2021-01-07,3.566,1.09,22.866,121.668,2.843,0.074,13.6,0.0,461.0,73.61,0.11
2021-01-08,3.936,1.07,23.131,120.661,2.855,0.084,11.9,0.01,594.0,73.61,0.13
2021-01-09,4.05,1.04,23.581,119.945,2.907,0.088,11.4,0.01,710.0,75.46,0.14
2021-01-10,4.042,1.0,23.449,119.892,3.017,0.073,13.6,0.01,778.0,75.46,0.15
2021-01-11,3.603,0.98,23.687,124.079,3.142,0.068,14.6,0.01,838.0,75.46,0.17
2021-01-12,3.672,0.96,23.873,129.272,3.186,0.066,15.1,0.01,883.0,75.46,0.19
2021-01-13,3.785,0.95,24.482,128.98,3.224,0.064,15.6,0.03,893.0,75.46,0.22
2021-01-14,3.717,0.94,24.482,128.451,3.229,0.063,15.8,0.04,909.0,75.46,0.24
2021-01-15,3.823,0.92,24.058,126.834,3.262,0.06,16.7,0.05,935.0,75.46,0.27
2021-01-16,3.762,0.9,24.111,124.688,3.263,0.058,17.4,0.05,935.0,75.46,0.29
2021-01-17,3.906,0.88,23.687,122.251,3.263,0.056,17.7,0.05,951.0,75.46,0.3
2021-01-18,3.906,0.87,23.502,123.072,3.261,0.054,18.5,0.06,968.0,75.46,0.31
2021-01-19,3.872,0.87,23.581,124.079,3.218,0.054,18.7,0.06,1004.0,75.46,0.32
2021-01-20,3.891,0.86,23.608,122.198,3.164,0.053,18.9,0.1,1049.0,75.46,0.34
2021-01-21,3.861,0.85,23.343,118.965,3.174,0.051,19.6,0.11,1057.0,75.46,0.38
2021-01-22,3.902,0.85,23.157,116.448,3.151,0.05,19.9,0.13,1018.0,75.46,0.41
2021-01-23,3.838,0.84,23.714,115.097,3.135,0.049,20.5,0.14,976.0,75.46,0.45
