date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,people_fully_vaccinated_per_hundred_2
2020-12-27,262.777,5.659,0.0,78.0,0.05
2020-12-28,260.019,5.666,0.0,85.0,0.06
2020-12-29,261.573,5.715,0.0,98.0,0.06
2020-12-30,270.731,5.846,0.0,127.0,0.06
2020-12-31,274.563,5.964,0.0,147.0,0.06
2021-01-01,280.103,6.013,0.0,155.0,0.06
2021-01-02,283.87,6.02,0.0,317.0,0.06
2021-01-03,290.096,6.036,0.0,331.0,0.06
2021-01-04,296.038,6.061,0.0,376.0,0.07
2021-01-05,301.959,6.098,0.0,418.0,0.08
2021-01-06,296.919,5.936,0.0,439.0,0.1
2021-01-07,306.614,6.024,0.0,493.0,0.11
2021-01-08,319.072,6.474,0.0,557.0,0.13
2021-01-09,332.091,6.766,0.0,432.0,0.14
2021-01-10,334.932,6.808,0.05,634.0,0.15
2021-01-11,336.651,6.798,0.06,698.0,0.18
2021-01-12,329.306,6.821,0.06,770.0,0.22
2021-01-13,328.013,7.031,0.06,929.0,0.25
2021-01-14,315.893,7.114,0.06,1019.0,0.3
2021-01-15,310.361,7.027,0.06,1112.0,0.33
2021-01-16,302.249,7.145,0.06,1174.0,0.37
2021-01-17,297.094,7.161,0.06,975.0,0.41
2021-01-18,296.436,7.085,0.07,1016.0,0.45
2021-01-19,289.834,7.245,0.08,1059.0,0.51
2021-01-20,287.051,7.343,0.1,1046.0,0.57
2021-01-21,280.916,7.351,0.11,1091.0,0.64
2021-01-22,277.894,7.461,0.13,1127.0,0.7
2021-01-23,274.883,7.369,0.14,1185.0,0.73
2021-01-24,271.775,7.354,0.15,1270.0,0.77
2021-01-25,268.941,7.491,0.18,1273.0,0.8
2021-01-26,264.453,7.299,0.22,1294.0,0.86
2021-01-27,258.382,7.18,0.25,1295.0,0.91
2021-01-28,255.594,7.241,0.3,1312.0,0.98
2021-01-29,250.63,7.138,0.33,1329.0,1.05
2021-01-30,248.049,7.2,0.37,1360.0,1.07
2021-01-31,243.482,7.11,0.41,1371.0,1.13
2021-02-01,238.948,7.091,0.45,1385.0,1.17
2021-02-02,235.209,7.13,0.51,1409.0,1.22
2021-02-03,229.467,7.024,0.57,1465.0,1.27
2021-02-04,219.704,6.745,0.64,1503.0,1.34
2021-02-05,218.339,6.788,0.7,1516.0,1.38
2021-02-06,213.534,6.555,0.73,1502.0,1.4
2021-02-07,212.265,6.5,0.77,1488.0,1.44
2021-02-08,203.729,6.393,0.8,1473.0,1.47
2021-02-09,197.949,6.248,0.86,1476.0,1.55
2021-02-10,192.214,6.106,0.91,1467.0,1.6
2021-02-11,191.362,6.059,0.98,1500.0,1.65
2021-02-12,182.1,5.828,1.05,1559.0,1.71
2021-02-13,180.259,5.747,1.07,1563.0,1.73
2021-02-14,177.38,5.677,1.13,1595.0,1.76
2021-02-15,172.819,5.501,1.17,1603.0,1.79
2021-02-16,171.651,5.256,1.22,1592.0,1.98
2021-02-17,170.076,5.151,1.27,1623.0,2.05
2021-02-18,170.011,4.993,1.34,1633.0,2.14
2021-02-19,171.301,4.881,1.38,1585.0,2.2
2021-02-20,172.788,4.781,1.4,1571.0,2.25
2021-02-21,176.226,4.747,1.44,1555.0,2.29
2021-02-22,176.49,4.717,1.47,1563.0,2.33
2021-02-23,178.709,4.61,1.55,1634.0,2.38
2021-02-24,183.28,4.43,1.6,1690.0,2.47
2021-02-25,186.254,4.289,1.65,1696.0,2.57
2021-02-26,188.251,4.235,1.71,1795.0,2.64
2021-02-27,191.43,4.232,1.73,1847.0,2.68
2021-02-28,192.623,4.224,1.76,1904.0,2.72
2021-03-01,192.288,4.203,1.79,1946.0,2.77
2021-03-02,179.623,4.123,1.98,2733.0,2.83
2021-03-03,180.285,4.176,2.05,2788.0,2.98
2021-03-04,181.305,4.213,2.14,2986.0,3.07
2021-03-05,183.16,4.202,2.2,3047.0,3.17
2021-03-06,185.042,4.172,2.25,3183.0,3.22
2021-03-07,187.002,4.167,2.29,3228.0,3.27
2021-03-08,186.968,4.174,2.33,3279.0,3.35
2021-03-09,202.885,4.127,2.38,2528.0,3.43
2021-03-10,206.442,4.046,2.47,2546.0,3.54
2021-03-11,208.413,4.064,2.57,2507.0,3.65
2021-03-12,211.565,3.985,2.64,2506.0,3.78
2021-03-13,216.957,4.018,2.68,2473.0,3.85
2021-03-14,220.504,4.07,2.72,2452.0,3.91
2021-03-15,224.446,4.094,2.77,2500.0,4.19
2021-03-16,231.044,4.135,2.83,2493.0,4.31
2021-03-17,233.625,4.093,2.98,2555.0,4.45
2021-03-18,242.364,4.126,3.07,2497.0,4.62
2021-03-19,246.932,4.125,3.17,2560.0,4.72
2021-03-20,248.982,4.143,3.22,2617.0,4.8
2021-03-21,251.686,4.143,3.27,2616.0,4.86
2021-03-22,257.386,4.224,3.35,2649.0,4.9
2021-03-23,256.129,4.277,3.43,2731.0,5.01
2021-03-24,265.402,4.338,3.54,2738.0,5.21
2021-03-25,269.486,4.431,3.65,2793.0,5.36
2021-03-26,273.952,4.651,3.78,2923.0,5.51
2021-03-27,278.553,4.683,3.85,2890.0,5.64
2021-03-28,278.899,4.688,3.91,2961.0,5.73
2021-03-29,276.458,4.616,4.19,3527.0,5.82
2021-03-30,281.251,4.617,4.31,3649.0,5.95
2021-03-31,281.211,4.683,4.45,3756.0,6.08
2021-04-01,280.862,4.642,4.62,3902.0,6.24
2021-04-02,276.609,4.471,4.72,3725.0,6.4
2021-04-03,264.113,4.493,4.8,3738.0,6.52
2021-04-04,271.011,4.574,4.86,3696.0,6.65
2021-04-05,264.973,4.511,4.9,3015.0,6.76
2021-04-06,250.889,4.348,5.01,2979.0,6.9
2021-04-07,232.991,4.429,5.21,3159.0,7.07
2021-04-08,239.045,4.618,5.36,3308.0,7.27
2021-04-09,231.154,4.72,5.51,3631.0,7.46
2021-04-10,229.761,4.734,5.64,3842.0,7.62
2021-04-11,233.965,4.803,5.73,3986.0,7.74
2021-04-12,237.697,4.912,5.82,4277.0,7.87
2021-04-13,249.558,5.092,5.95,4421.0,8.07
2021-04-14,259.137,5.065,6.08,4358.0,8.31
2021-04-15,243.514,4.871,6.24,4377.0,8.57
2021-04-16,247.185,4.8,6.4,4343.0,8.77
2021-04-17,249.545,4.779,6.52,4276.0,8.9
2021-04-18,228.828,4.651,6.65,4419.0,9.06
2021-04-19,225.621,4.633,6.76,4497.0,9.18
2021-04-20,222.576,4.578,6.9,4485.0,9.37
2021-04-21,217.709,4.509,7.07,4563.0,9.72
2021-04-22,215.589,4.467,7.27,4581.0,10.04
2021-04-23,211.216,4.441,7.46,4664.0,10.3
2021-04-24,206.568,4.419,7.62,4711.0,10.5
2021-04-25,205.888,4.372,7.74,4766.0,10.67
2021-04-26,202.176,4.316,7.87,4669.0,10.86
2021-04-27,196.955,4.268,8.07,4837.0,11.13
2021-04-28,192.171,4.181,8.31,5041.0,11.44
2021-04-29,185.701,4.113,8.57,5212.0,11.71
2021-04-30,178.094,3.979,8.77,5180.0,11.99
2021-05-01,174.452,3.897,8.9,5143.0,12.19
2021-05-02,166.923,3.82,9.06,5147.0,12.41
2021-05-03,163.861,3.699,9.18,5136.0,12.61
2021-05-04,158.458,3.501,9.37,5059.0,12.88
2021-05-05,151.449,3.37,9.72,5207.0,13.19
2021-05-06,145.828,3.304,10.04,5305.0,13.55
2021-05-07,143.23,3.267,10.3,5440.0,13.86
2021-05-08,139.791,3.233,10.5,5571.0,14.16
2021-05-09,137.91,3.224,10.67,5646.0,14.43
2021-05-10,136.809,3.191,10.86,5840.0,14.62
2021-05-11,134.264,3.191,11.13,6019.0,14.91
2021-05-12,129.131,3.097,11.44,5972.0,15.31
2021-05-13,122.742,2.997,11.71,5809.0,15.69
2021-05-14,117.178,2.886,11.99,5803.0,16.06
2021-05-15,112.31,2.785,12.19,5895.0,16.31
2021-05-16,112.455,2.727,12.41,5941.0,16.62
2021-05-17,109.517,2.647,12.61,5925.0,16.87
2021-05-18,103.534,2.592,12.88,5954.0,17.3
2021-05-19,101.996,2.532,13.19,5833.0,17.71
2021-05-20,97.119,2.424,13.55,6034.0,18.03
2021-05-21,94.01,2.336,13.86,6066.0,18.36
2021-05-22,91.756,2.271,14.16,6132.0,18.62
2021-05-23,88.996,2.23,14.43,6231.0,19.01
2021-05-24,86.618,2.122,14.62,6142.0,19.32
2021-05-25,81.635,2.083,14.91,6081.0,19.69
2021-05-26,76.154,2.042,15.31,6209.0,20.2
2021-05-27,76.008,1.986,15.69,6092.0,20.62
2021-05-28,73.913,1.936,16.06,6079.0,20.98
2021-05-29,72.1,1.888,16.31,5915.0,21.24
2021-05-30,71.072,1.856,16.62,5839.0,21.54
2021-05-31,70.377,1.873,16.87,5865.0,21.84
2021-06-01,69.862,1.755,17.3,6034.0,22.17
2021-06-02,66.588,1.653,17.71,6080.0,22.64
2021-06-03,66.342,1.603,18.03,6019.0,23.07
2021-06-04,63.758,1.577,18.36,6027.0,23.5
2021-06-05,61.587,1.551,18.62,6082.0,23.76
2021-06-06,60.069,1.538,19.01,6294.0,24.08
2021-06-07,59.885,1.503,19.32,6463.0,24.38
2021-06-08,58.957,1.528,19.69,6392.0,24.84
2021-06-09,59.349,1.52,20.2,6510.0,25.28
2021-06-10,57.324,1.513,20.62,6655.0,25.72
2021-06-11,56.315,1.481,20.98,6664.0,26.07
2021-06-12,56.014,1.449,21.24,6675.0,26.36
2021-06-13,56.228,1.419,21.54,6611.0,26.74
2021-06-14,56.493,1.387,21.84,6522.0,27.08
2021-06-15,55.834,1.313,22.17,6391.0,27.35
