date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-16,269.646,5.385,1.1,40.421,369.796,4.144,0.064,15.6,714.0,63.89,0.07
2021-01-17,271.122,5.364,1.1,40.939,373.496,4.149,0.064,15.6,724.0,63.89,0.07
2021-01-18,271.084,5.559,1.1,41.486,378.662,4.15,0.066,15.2,820.0,63.89,0.1
2021-01-19,279.996,5.377,1.1,41.871,377.892,4.148,0.068,14.7,963.0,63.89,0.15
2021-01-20,286.223,5.548,1.09,42.064,379.639,4.164,0.068,14.7,1115.0,63.89,0.21
2021-01-21,288.927,5.681,1.09,42.419,380.364,4.201,0.069,14.5,1275.0,63.89,0.28
2021-01-22,293.171,5.709,1.08,42.952,382.924,4.269,0.068,14.7,1384.0,63.89,0.35
2021-01-23,298.488,5.787,1.08,42.715,382.806,4.276,0.069,14.5,1422.0,63.89,0.37
2021-01-24,302.282,5.853,1.07,43.736,390.103,4.271,0.069,14.5,1420.0,63.89,0.37
2021-01-25,303.343,5.941,1.07,44.861,397.962,4.343,0.068,14.7,1406.0,60.19,0.44
2021-01-26,299.639,5.853,1.06,45.453,399.694,4.391,0.068,14.7,1350.0,60.19,0.55
2021-01-27,299.795,5.937,1.06,45.838,401.559,4.432,0.067,14.9,1298.0,60.19,0.66
2021-01-28,302.43,5.931,1.05,45.897,401.514,4.527,0.065,15.4,1258.0,60.19,0.81
2021-01-29,302.241,6.295,1.05,46.178,403.616,4.594,0.064,15.6,1235.0,60.19,0.92
2021-01-30,302.497,6.318,1.05,45.927,403.201,4.627,0.064,15.6,1225.0,60.19,0.95
2021-01-31,304.187,6.366,1.04,46.593,408.1,4.631,0.064,15.6,1219.0,60.19,0.96
2021-02-01,304.373,6.388,1.04,47.629,412.555,4.653,0.064,15.6,1207.0,60.19,1.07
2021-02-02,306.897,6.624,1.03,48.398,414.85,4.707,0.064,15.6,1214.0,60.19,1.22
2021-02-03,305.745,6.641,1.03,48.354,413.725,4.728,0.063,15.9,1207.0,60.19,1.37
2021-02-04,255.135,5.914,1.02,47.954,410.957,4.715,0.063,15.9,1194.0,60.19,1.55
2021-02-05,302.438,6.309,1.04,47.88,408.086,4.733,0.061,16.4,1203.0,60.19,1.68
2021-02-06,295.129,6.204,1.04,47.584,404.459,4.744,0.061,16.4,1201.0,60.19,1.72
2021-02-07,296.144,6.153,1.03,48.28,409.27,4.741,0.06,16.7,1208.0,60.19,1.73
2021-02-08,296.048,6.161,1.02,49.627,414.346,4.712,0.059,16.9,1248.0,60.19,1.84
2021-02-09,286.637,6.157,1.02,49.316,409.003,4.701,0.058,17.2,1316.0,60.19,1.97
2021-02-10,285.098,6.026,1.01,48.976,405.792,4.691,0.057,17.5,1396.0,60.19,2.09
2021-02-11,329.619,6.787,1.01,49.242,399.072,4.658,0.056,17.9,1511.0,60.19,2.22
2021-02-12,276.974,6.02,1.01,48.813,391.094,4.617,0.055,18.2,1594.0,60.19,2.33
2021-02-13,278.334,6.037,1.01,48.754,387.72,4.604,0.054,18.5,1614.0,60.19,2.36
2021-02-14,271.634,6.028,1.01,48.828,390.754,4.603,0.054,18.5,1618.0,60.19,2.37
2021-02-15,271.767,5.927,1.02,49.893,391.894,4.588,0.054,18.5,1664.0,60.19,2.44
2021-02-16,273.268,5.637,1.02,49.405,387.705,4.549,0.055,18.2,1691.0,60.19,2.54
2021-02-17,272.228,5.667,1.03,49.434,383.768,4.534,0.055,18.2,1705.0,60.19,2.64
2021-02-18,275.277,5.478,1.03,50.086,380.63,4.533,0.057,17.5,1708.0,60.19,2.74
2021-02-19,282.504,5.324,1.04,50.026,377.507,4.536,0.058,17.2,1714.0,60.19,2.84
2021-02-20,284.914,5.235,1.04,49.864,374.0,4.535,0.059,16.9,1725.0,60.19,2.86
2021-02-21,296.543,5.218,1.05,50.204,376.886,4.536,0.059,16.9,1719.0,60.19,2.87
2021-02-22,297.067,5.053,1.05,50.426,382.318,4.509,0.062,16.1,1711.0,60.19,2.94
2021-02-23,298.302,4.724,1.05,50.84,379.787,4.473,0.064,15.6,1683.0,60.19,3.03
2021-02-24,311.71,4.656,1.06,50.855,379.106,4.453,0.065,15.4,1655.0,60.19,3.11
2021-02-25,317.833,4.635,1.06,50.766,374.71,4.415,0.066,15.2,1663.0,60.19,3.21
2021-02-26,320.135,4.565,1.06,50.989,371.942,4.384,0.066,15.2,1723.0,70.37,3.29
2021-02-27,323.571,4.624,1.06,51.107,369.855,4.365,0.066,15.2,1780.0,70.37,3.31
2021-02-28,319.144,4.546,1.05,51.684,374.162,4.367,0.066,15.2,1781.0,70.37,3.31
2021-03-01,319.305,4.633,1.05,52.454,376.382,4.361,0.066,15.2,1796.0,70.37,3.36
2021-03-02,324.996,4.605,1.06,53.075,373.911,4.347,0.065,15.4,1857.0,60.19,3.42
2021-03-03,315.22,4.698,1.06,53.83,371.661,4.329,0.065,15.4,1942.0,60.19,3.48
2021-03-04,314.949,4.766,1.06,53.771,368.405,4.33,0.065,15.4,2025.0,60.19,3.54
2021-03-05,311.335,4.554,1.06,54.467,366.54,4.343,0.065,15.4,2192.0,70.37,3.6
2021-03-06,309.876,4.523,1.07,54.6,364.468,4.359,0.065,15.4,2510.0,70.37,3.62
2021-03-07,313.858,4.54,1.07,55.399,367.324,4.362,0.065,15.4,2754.0,70.37,3.62
2021-03-08,315.558,4.514,1.08,56.968,372.904,4.412,0.066,15.2,2837.0,70.37,3.67
2021-03-09,316.131,4.402,1.09,57.989,372.993,4.482,0.066,15.2,2966.0,62.04,3.73
2021-03-10,321.99,4.254,1.1,57.989,369.559,4.536,0.067,14.9,3080.0,62.04,3.8
2021-03-11,328.001,4.22,1.11,59.085,367.916,4.674,0.067,14.9,3235.0,62.04,3.87
2021-03-12,331.532,3.764,1.12,59.691,366.303,4.82,0.067,14.9,3412.0,62.04,3.93
2021-03-13,345.246,3.761,1.13,60.239,365.149,4.885,0.067,14.9,3456.0,70.37,3.95
2021-03-14,354.786,3.924,1.13,61.083,369.855,4.903,0.068,14.7,3330.0,70.37,3.96
2021-03-15,356.767,3.878,1.14,62.444,376.96,5.046,0.07,14.3,3400.0,62.04,4.04
2021-03-16,371.405,3.952,1.15,62.74,377.3,5.211,0.071,14.1,3299.0,62.04,4.14
2021-03-17,390.069,3.603,1.16,62.444,374.666,5.335,0.072,13.9,3201.0,62.04,4.25
2021-03-18,404.726,3.91,1.16,62.844,375.776,5.489,0.073,13.7,3004.0,62.04,4.38
