date,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,new_tests_smoothed_per_thousand,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-03-03,2.534,26.677,0.038,10.665,0.0,977.0,71.3,0.0
2021-03-04,2.458,26.811,0.057,10.986,0.0,1175.0,71.3,0.0
2021-03-05,2.21,26.811,0.057,11.307,0.0,1253.0,71.3,0.0
2021-03-06,1.734,26.944,0.076,11.628,0.0,1341.0,71.3,0.0
2021-03-07,1.62,26.944,0.057,11.95,0.0,1378.0,71.3,0.0
2021-03-08,1.524,26.944,0.038,11.95,0.0,1462.0,71.3,0.0
2021-03-09,1.677,26.944,0.038,11.95,0.0,1398.0,71.3,0.01
2021-03-10,1.563,27.078,0.057,11.95,0.0,1500.0,71.3,0.01
2021-03-11,1.81,27.078,0.038,11.95,0.0,1594.0,71.3,0.01
2021-03-12,2.744,27.078,0.038,11.95,0.0,1712.0,71.3,0.08
2021-03-13,3.487,27.078,0.019,11.95,0.0,1774.0,71.3,0.16
2021-03-14,3.64,27.078,0.019,11.95,0.0,1862.0,71.3,0.25
2021-03-15,4.04,27.078,0.019,11.95,0.0,1948.0,71.3,0.33
2021-03-16,3.983,27.078,0.019,11.95,0.0,2208.0,71.3,0.46
2021-03-17,4.04,27.078,0.0,11.95,0.0,2353.0,71.3,0.59
2021-03-18,3.811,27.078,0.0,11.95,0.0,2491.0,71.3,0.72
2021-03-19,2.915,27.078,0.0,11.95,0.0,2706.0,71.3,0.8
2021-03-20,2.172,27.078,0.0,11.95,0.0,2925.0,71.3,0.92
2021-03-21,1.867,27.078,0.0,11.95,0.0,3120.0,71.3,1.03
2021-03-22,1.639,27.078,0.0,11.95,0.0,3308.0,71.3,1.2
2021-03-23,1.524,27.211,0.019,11.95,0.01,3318.0,71.3,1.51
2021-03-24,1.505,27.211,0.019,11.95,0.01,3035.0,71.3,1.92
2021-03-25,1.486,27.211,0.019,11.95,0.01,2761.0,71.3,2.28
2021-03-26,1.448,27.344,0.038,11.95,0.08,2496.0,71.3,2.69
2021-03-27,1.41,27.344,0.038,11.95,0.16,2261.0,71.3,3.09
2021-03-28,1.277,27.344,0.038,11.95,0.25,2058.0,71.3,3.41
2021-03-29,1.086,27.344,0.038,11.95,0.33,1818.0,71.3,3.74
2021-03-30,0.991,27.344,0.019,11.95,0.46,1654.0,71.3,4.05
2021-03-31,0.915,27.344,0.019,11.95,0.59,1749.0,71.3,4.25
2021-04-01,0.991,27.344,0.019,11.766,0.72,1884.0,71.3,4.43
2021-04-02,1.143,27.344,0.0,11.582,0.8,1829.0,71.3,4.61
2021-04-03,1.067,27.344,0.0,11.399,0.92,1805.0,71.3,4.8
2021-04-04,1.181,27.344,0.0,11.215,1.03,1784.0,71.3,4.95
2021-04-05,1.334,27.344,0.0,11.031,1.2,1946.0,71.3,5.1
2021-04-06,1.334,27.344,0.0,10.848,1.51,2395.0,71.3,5.22
2021-04-07,1.372,27.344,0.0,10.664,1.92,2948.0,71.3,5.32
2021-04-08,1.315,27.344,0.0,10.664,2.28,3429.0,71.3,5.43
2021-04-09,1.22,27.611,0.038,10.664,2.69,4074.0,71.3,5.55
2021-04-10,1.277,27.611,0.038,10.664,3.09,4717.0,71.3,5.67
2021-04-11,1.391,27.611,0.038,10.664,3.41,5313.0,71.3,5.77
2021-04-12,1.334,27.611,0.038,10.664,3.74,5736.0,71.3,5.9
2021-04-13,1.448,27.744,0.057,10.664,4.05,5773.0,71.3,6.06
2021-04-14,1.391,27.878,0.076,10.664,4.25,5551.0,71.3,6.24
2021-04-15,1.315,27.878,0.076,10.664,4.43,5351.0,71.3,6.41
2021-04-16,1.372,27.878,0.038,10.664,4.61,5198.0,71.3,6.64
2021-04-17,1.62,27.878,0.038,10.664,4.8,5063.0,71.3,6.91
2021-04-18,1.944,27.878,0.038,10.664,4.95,4882.0,71.3,7.2
2021-04-19,1.925,27.878,0.038,10.664,5.1,4675.0,71.3,7.44
2021-04-20,1.829,27.878,0.019,10.664,5.22,4396.0,71.3,7.64
2021-04-21,1.753,27.878,0.0,10.664,5.32,4230.0,71.3,7.85
2021-04-22,1.906,27.878,0.0,10.664,5.43,4107.0,71.3,8.04
2021-04-23,1.753,27.878,0.0,10.664,5.55,3907.0,71.3,8.32
2021-04-24,1.467,27.878,0.0,10.664,5.67,3731.0,71.3,8.66
2021-04-25,1.01,27.878,0.0,10.664,5.77,3508.0,71.3,8.94
2021-04-26,0.857,27.878,0.0,10.664,5.9,3404.0,71.3,9.19
2021-04-27,0.857,27.878,0.0,10.664,6.06,3377.0,71.3,9.4
2021-04-28,0.972,27.878,0.0,10.664,6.24,3404.0,71.3,9.59
2021-04-29,0.991,27.878,0.0,10.664,6.41,3446.0,71.3,9.78
2021-04-30,0.896,27.878,0.0,10.664,6.64,3638.0,71.3,10.01
2021-05-01,0.991,28.011,0.019,11.38,6.91,3837.0,71.3,10.3
2021-05-02,0.915,28.011,0.019,12.095,7.2,4130.0,71.3,10.5
2021-05-03,0.877,28.011,0.019,12.811,7.44,4334.0,71.3,10.72
