date,new_deaths_smoothed_per_million,reproduction_rate,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-18,10.115,0.78,0.081,12.3,0.02,642.0,72.22,0.71
2021-01-19,9.864,0.79,0.083,12.1,0.03,579.0,72.22,0.78
2021-01-20,9.864,0.79,0.081,12.3,0.04,566.0,72.22,0.87
2021-01-21,9.568,0.8,0.079,12.6,0.06,566.0,72.22,0.96
2021-01-22,9.376,0.82,0.078,12.8,0.07,553.0,72.22,1.05
2021-01-23,9.464,0.84,0.078,12.8,0.08,510.0,72.22,1.09
2021-01-24,9.272,0.87,0.079,12.7,0.1,458.0,72.22,1.11
2021-01-25,9.095,0.89,0.078,12.8,0.13,458.0,72.22,1.14
2021-01-26,8.769,0.91,0.077,13.0,0.18,550.0,72.22,1.18
2021-01-27,8.621,0.93,0.076,13.1,0.27,723.0,72.22,1.21
2021-01-28,8.547,0.95,0.08,12.5,0.39,1009.0,72.22,1.25
2021-01-29,8.326,0.97,0.081,12.4,0.51,1446.0,72.22,1.29
2021-01-30,8.266,0.99,0.078,12.9,0.59,1855.0,72.22,1.33
2021-01-31,8.222,1.01,0.075,13.3,0.63,2115.0,72.22,1.34
2021-02-01,8.193,1.02,0.077,12.9,0.71,2209.0,72.22,1.36
2021-02-02,8.03,1.03,0.077,13.0,0.78,2245.0,72.22,1.4
2021-02-03,8.0,1.04,0.079,12.7,0.87,2168.0,72.22,1.46
2021-02-04,8.0,1.05,0.076,13.2,0.96,2134.0,72.22,1.58
2021-02-05,8.222,1.07,0.077,13.0,1.05,1969.0,72.22,1.79
2021-02-06,8.326,1.08,0.081,12.3,1.09,1668.0,72.22,1.97
2021-02-07,8.37,1.1,0.083,12.1,1.11,1442.0,72.22,2.08
2021-02-08,8.533,1.12,0.084,11.9,1.14,1333.0,72.22,2.13
2021-02-09,8.769,1.15,0.09,11.1,1.18,1241.0,72.22,2.16
