date,new_deaths_smoothed_per_million,reproduction_rate,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-02-13,0.067,1.0,0.016,61.9,0.0,236.0,61.57,0.18
2021-02-15,0.068,1.02,0.016,61.4,0.01,234.0,61.57,0.19
2021-02-16,0.068,1.04,0.017,60.1,0.02,232.0,61.57,0.2
2021-02-17,0.068,1.05,0.017,59.0,0.02,225.0,61.57,0.21
2021-02-18,0.069,1.06,0.018,56.5,0.03,242.0,61.57,0.23
2021-02-19,0.069,1.07,0.018,55.4,0.05,257.0,61.57,0.25
2021-02-20,0.068,1.09,0.018,54.5,0.06,288.0,61.57,0.27
2021-02-21,0.068,1.1,0.019,52.7,0.07,290.0,61.57,0.27
2021-02-22,0.067,1.1,0.019,53.3,0.08,301.0,61.57,0.29
2021-02-23,0.068,1.11,0.019,52.7,0.1,316.0,61.57,0.32
2021-02-24,0.072,1.12,0.019,52.3,0.11,329.0,63.43,0.34
2021-02-25,0.074,1.13,0.02,51.2,0.13,333.0,63.43,0.34
2021-02-26,0.075,1.13,0.02,50.6,0.16,342.0,63.43,0.37
2021-02-27,0.078,1.13,0.02,49.2,0.18,352.0,63.43,0.39
2021-02-28,0.08,1.14,0.02,49.8,0.18,333.0,63.43,0.4
2021-03-01,0.081,1.14,0.02,49.1,0.19,355.0,63.43,0.43
2021-03-02,0.081,1.15,0.02,49.3,0.2,384.0,63.43,0.45
2021-03-03,0.076,1.16,0.02,48.8,0.21,440.0,63.43,0.47
2021-03-04,0.075,1.16,0.021,48.5,0.23,511.0,63.43,0.5
2021-03-05,0.074,1.18,0.021,47.1,0.25,594.0,63.43,0.52
2021-03-06,0.073,1.19,0.022,46.1,0.27,691.0,63.43,0.54
2021-03-07,0.072,1.2,0.023,44.4,0.27,692.0,63.43,0.54
2021-03-08,0.071,1.22,0.023,43.4,0.29,844.0,63.43,0.57
2021-03-09,0.074,1.24,0.024,41.4,0.32,906.0,57.87,0.59
2021-03-10,0.078,1.25,0.025,39.5,0.34,939.0,57.87,0.6
2021-03-11,0.078,1.27,0.027,37.6,0.34,845.0,57.87,0.62
2021-03-12,0.082,1.29,0.028,35.7,0.37,903.0,57.87,0.63
2021-03-13,0.088,1.31,0.029,34.7,0.39,913.0,57.87,0.64
