date,new_deaths_smoothed_per_million,reproduction_rate,total_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-15,7.704,1.12,30.789,0.293,0.415,2.4,0.0,388.0,71.76,0.02
2021-01-16,7.797,1.11,30.97,0.294,0.412,2.4,0.0,430.0,71.76,0.03
2021-01-17,7.754,1.1,31.046,0.294,0.411,2.4,0.0,433.0,71.76,0.03
2021-01-18,7.623,1.09,31.423,0.294,0.405,2.5,0.01,449.0,71.76,0.03
2021-01-19,7.922,1.08,31.802,0.296,0.399,2.5,0.01,449.0,71.76,0.04
2021-01-20,8.259,1.07,32.161,0.297,0.394,2.5,0.01,342.0,71.76,0.04
2021-01-21,9.15,1.06,32.513,0.296,0.391,2.6,0.01,246.0,71.76,0.05
2021-01-22,9.52,1.05,32.87,0.297,0.385,2.6,0.02,219.0,71.76,0.05
2021-01-23,9.798,1.03,33.055,0.298,0.382,2.6,0.02,172.0,71.76,0.06
2021-01-24,9.872,1.02,33.128,0.297,0.381,2.6,0.02,174.0,71.76,0.06
2021-01-25,10.0,1.0,33.499,0.296,0.377,2.7,0.02,169.0,71.76,0.06
2021-01-27,10.269,0.97,34.225,0.295,0.363,2.8,0.02,172.0,71.76,0.07
2021-01-28,9.94,0.96,34.564,0.293,0.354,2.8,0.02,117.0,71.76,0.07
2021-01-29,9.933,0.94,34.876,0.287,0.346,2.9,0.02,53.0,71.76,0.07
2021-01-30,9.961,0.93,35.039,0.283,0.343,2.9,0.03,57.0,71.76,0.07
2021-02-01,9.78,0.91,35.183,0.241,0.338,3.0,0.03,33.0,71.76,0.07
2021-02-02,8.329,0.9,35.497,0.233,0.332,3.0,0.04,28.0,71.76,0.07
2021-02-03,8.422,0.89,35.787,0.223,0.332,3.0,0.04,34.0,71.76,0.08
2021-02-05,8.544,0.9,36.341,0.209,0.326,3.1,0.05,42.0,71.76,0.32
2021-02-06,8.545,0.9,36.473,0.205,0.325,3.1,0.06,44.0,71.76,0.35
2021-02-07,8.492,0.89,36.52,0.204,0.322,3.1,0.06,45.0,71.76,0.35
2021-02-08,8.455,0.88,36.806,0.232,0.316,3.2,0.06,47.0,71.76,0.35
2021-02-10,9.44,0.87,37.311,0.218,0.298,3.4,0.07,42.0,68.98,0.37
2021-02-11,11.073,0.87,37.543,0.211,0.291,3.4,0.07,34.0,68.98,0.41
2021-02-12,9.16,0.87,37.782,0.206,0.285,3.5,0.07,28.0,68.98,0.44
2021-02-13,8.847,0.86,37.889,0.202,0.283,3.5,0.07,18.0,68.98,0.44
2021-02-15,8.782,0.86,38.161,0.194,0.273,3.7,0.07,35.0,64.35,0.44
2021-02-16,8.37,0.86,38.378,0.187,0.273,3.7,0.07,215.0,64.35,0.44
2021-02-17,8.089,0.86,38.583,0.182,0.272,3.7,0.08,369.0,64.35,0.46
2021-02-19,7.1,0.86,39.0,0.174,0.272,3.7,0.32,940.0,64.35,0.47
2021-02-20,6.677,0.86,39.09,0.172,0.273,3.7,0.35,1030.0,64.35,0.47
2021-02-22,6.514,0.87,39.378,0.174,0.27,3.7,0.35,1090.0,64.35,0.47
2021-02-23,6.452,0.87,39.604,0.175,0.266,3.8,0.36,981.0,60.65,0.47
2021-02-24,6.375,0.87,39.819,0.177,0.262,3.8,0.37,934.0,60.65,0.47
2021-02-26,6.104,0.88,40.249,0.178,0.258,3.9,0.44,772.0,60.65,0.47
2021-02-27,6.05,0.88,40.342,0.179,0.258,3.9,0.44,806.0,60.65,0.47
2021-02-28,6.214,0.88,40.384,0.179,0.259,3.9,0.44,849.0,60.65,0.47
2021-03-01,6.223,0.89,40.623,0.178,0.26,3.8,0.44,879.0,60.65,0.47
2021-03-03,5.794,0.89,41.041,0.175,0.26,3.8,0.46,812.0,47.22,0.49
2021-03-06,5.651,0.89,41.519,0.168,0.258,3.9,0.47,424.0,47.22,0.54
2021-03-08,5.286,0.89,41.766,0.163,0.254,3.9,0.47,358.0,47.22,0.57
2021-03-10,4.927,0.89,42.139,0.157,0.25,4.0,0.47,947.0,47.22,0.6
2021-03-12,4.734,0.89,42.501,0.152,0.245,4.1,0.47,1411.0,47.22,0.63
2021-03-13,4.579,0.89,42.582,0.152,0.243,4.1,0.47,1605.0,47.22,0.64
2021-03-15,4.455,0.89,42.674,0.13,0.239,4.2,0.47,1723.0,47.22,0.66
