date,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,people_fully_vaccinated_per_hundred_2
2021-01-06,420.185,902.669,6.261,0.0,637.0,0.37
2021-01-07,431.044,911.646,6.437,0.0,792.0,0.41
2021-01-08,468.449,920.856,7.033,0.0,990.0,0.48
2021-01-09,463.591,928.801,7.438,0.0,654.0,0.52
2021-01-10,464.333,933.361,7.607,0.0,659.0,0.56
2021-01-11,471.281,938.45,7.611,0.0,1133.0,0.58
2021-01-12,470.59,948.761,7.874,0.0,1152.0,0.61
2021-01-13,464.747,958.152,7.926,0.0,1292.0,0.66
2021-01-14,454.854,967.07,7.918,0.23,1387.0,0.74
2021-01-15,442.982,975.972,7.874,0.28,1497.0,0.83
2021-01-16,429.033,984.209,7.916,0.28,1506.0,0.91
2021-01-17,420.449,988.574,7.888,0.28,1508.0,0.98
2021-01-18,402.814,992.578,7.733,0.28,959.0,1.03
2021-01-19,390.84,1000.353,7.37,0.35,1706.0,1.05
2021-01-20,379.804,1010.946,7.542,0.37,1654.0,1.12
2021-01-21,370.65,1021.538,7.781,0.41,1670.0,1.21
2021-01-22,357.734,1030.986,7.859,0.48,1763.0,1.31
2021-01-23,349.45,1039.518,7.901,0.52,2095.0,1.45
2021-01-24,337.559,1043.952,7.911,0.56,2409.0,1.59
2021-01-25,339.194,1048.832,8.036,0.58,2620.0,1.66
2021-01-26,331.35,1059.008,8.379,0.61,1986.0,1.72
2021-01-27,323.213,1068.841,8.271,0.66,2053.0,1.83
2021-01-28,315.722,1078.721,8.169,0.74,2162.0,1.95
2021-01-29,308.55,1087.725,8.106,0.83,2174.0,2.11
2021-01-30,300.284,1095.37,7.979,0.91,2236.0,2.28
2021-01-31,294.585,1099.602,7.95,0.98,2289.0,2.45
2021-02-01,289.238,1104.438,7.944,1.03,2334.0,2.45
2021-02-02,277.902,1111.334,7.475,1.05,2269.0,2.61
2021-02-03,268.519,1121.257,7.488,1.12,2264.0,2.7
2021-02-04,253.006,1128.009,7.041,1.21,2214.0,2.82
2021-02-05,247.287,1139.8,7.439,1.31,2197.0,3.02
2021-02-06,237.168,1147.208,7.405,1.45,2326.0,3.18
2021-02-07,231.134,1150.625,7.289,1.59,2480.0,3.34
2021-02-08,219.903,1154.599,7.166,1.66,2508.0,3.45
2021-02-09,216.214,1163.064,7.39,1.72,2567.0,3.53
2021-02-10,209.149,1171.224,7.138,1.83,2683.0,3.65
2021-02-11,207.006,1179.537,7.361,1.95,2753.0,3.82
2021-02-12,194.18,1186.995,6.742,2.11,2853.0,4.01
2021-02-13,189.19,1193.035,6.547,2.28,2856.0,4.2
2021-02-14,182.33,1195.915,6.47,2.45,2873.0,4.38
2021-02-15,172.82,1198.536,6.277,2.45,2587.0,4.5
2021-02-16,164.828,1204.037,5.853,2.61,3000.0,4.62
2021-02-17,157.913,1210.143,5.56,2.7,2910.0,4.76
2021-02-18,148.771,1216.509,5.282,2.82,2938.0,4.9
2021-02-19,143.244,1222.67,5.096,3.02,2965.0,5.06
2021-02-20,138.646,1227.379,4.906,3.18,2863.0,5.24
2021-02-21,136.753,1230.2,4.898,3.34,2771.0,5.39
2021-02-22,137.344,1233.427,4.984,3.45,3051.0,5.53
2021-02-23,139.328,1239.622,5.084,3.53,2678.0,5.64
2021-02-24,140.471,1246.924,5.254,3.65,2770.0,5.77
2021-02-25,141.821,1252.776,5.181,3.82,2846.0,5.93
2021-02-26,141.132,1257.784,5.016,4.01,2915.0,6.13
2021-02-27,139.229,1261.902,4.932,4.2,3083.0,6.45
2021-02-28,137.492,1264.679,4.926,4.38,3246.0,6.54
2021-03-01,137.961,1268.16,4.962,4.5,3407.0,6.69
2021-03-02,134.063,1273.392,4.824,4.62,3633.0,6.81
2021-03-03,131.884,1279.278,4.622,4.76,3751.0,6.98
2021-03-04,129.314,1284.139,4.48,4.9,3789.0,7.16
2021-03-05,126.311,1288.519,4.391,5.06,3852.0,7.32
2021-03-06,124.542,1292.511,4.373,5.24,3989.0,7.51
2021-03-07,122.238,1294.258,4.226,5.39,3985.0,7.71
2021-03-08,118.886,1296.21,4.007,5.53,3993.0,7.85
2021-03-09,119.034,1300.929,3.934,5.64,4014.0,7.95
2021-03-10,116.624,1304.934,3.665,5.77,4129.0,8.11
2021-03-11,115.191,1308.84,3.529,5.93,4309.0,8.29
2021-03-12,114.539,1312.847,3.475,6.13,4451.0,8.52
2021-03-13,113.092,1315.755,3.321,6.45,4881.0,8.77
2021-03-14,112.203,1317.203,3.278,6.54,4656.0,9.01
2021-03-15,114.798,1319.045,3.262,6.69,4753.0,9.2
2021-03-16,112.562,1321.531,2.943,6.81,4734.0,9.35
2021-03-17,112.927,1325.107,2.882,6.98,4763.0,9.56
2021-03-18,112.474,1329.243,2.915,7.16,4798.0,9.82
2021-03-19,112.517,1332.414,2.795,7.32,4726.0,10.15
2021-03-20,113.333,1334.836,2.726,7.51,4399.0,10.48
2021-03-21,112.324,1336.06,2.694,7.71,4808.0,10.74
2021-03-22,111.357,1337.79,2.678,7.85,4831.0,10.93
2021-03-23,112.541,1340.815,2.755,7.95,4874.0,11.07
2021-03-24,119.078,1344.488,2.769,8.11,4867.0,11.34
2021-03-25,120.928,1347.991,2.678,8.29,4887.0,11.67
2021-03-26,124.806,1351.237,2.689,8.52,5092.0,12.05
2021-03-27,126.516,1353.668,2.69,8.77,5184.0,12.49
2021-03-28,128.897,1354.973,2.702,9.01,5253.0,12.84
2021-03-29,133.306,1356.654,2.695,9.2,5350.0,13.11
2021-03-30,134.876,1359.672,2.694,9.35,5435.0,13.4
2021-03-31,130.951,1362.665,2.597,9.56,5607.0,13.78
2021-04-01,133.821,1365.408,2.488,9.82,5704.0,14.15
2021-04-02,130.493,1367.441,2.315,10.15,5965.0,14.58
2021-04-03,130.291,1369.076,2.201,10.48,6139.0,14.92
2021-04-04,128.001,1369.909,2.134,10.74,6126.0,15.24
2021-04-05,130.516,1371.345,2.099,10.93,6071.0,15.46
2021-04-06,132.667,1374.01,2.048,11.07,5994.0,15.68
2021-04-07,134.374,1379.6,2.419,11.34,6050.0,15.99
2021-04-08,135.34,1382.439,2.433,11.67,6203.0,16.34
2021-04-09,141.209,1385.708,2.609,12.05,6141.0,16.72
2021-04-10,143.648,1390.756,3.097,12.49,6261.0,17.07
2021-04-11,147.786,1391.641,3.105,12.84,6369.0,17.4
2021-04-12,146.621,1393.279,3.134,13.11,6577.0,17.63
2021-04-13,149.996,1395.904,3.128,13.4,6961.0,17.78
2021-04-14,150.819,1398.677,2.725,13.78,7066.0,18.12
2021-04-15,149.949,1401.145,2.672,14.15,7112.0,18.46
2021-04-16,149.043,1403.662,2.565,14.58,7166.0,18.82
2021-04-17,145.041,1405.948,2.17,14.92,6931.0,19.2
2021-04-18,143.94,1406.872,2.176,15.24,6904.0,19.46
2021-04-19,144.014,1408.129,2.121,15.46,6750.0,19.6
2021-04-20,139.28,1410.767,2.123,15.68,6471.0,19.82
2021-04-21,135.978,1413.378,2.1,15.99,6308.0,20.09
2021-04-22,134.501,1416.185,2.149,16.34,6159.0,20.42
2021-04-23,130.03,1418.496,2.119,16.72,5973.0,20.8
2021-04-24,130.348,1420.519,2.082,17.07,5910.0,21.12
2021-04-25,127.91,1421.384,2.073,17.4,5846.0,21.41
2021-04-26,122.443,1422.718,2.084,17.63,5840.0,21.64
2021-04-27,119.702,1424.831,2.009,17.78,5704.0,21.83
2021-04-28,118.053,1427.356,1.997,18.12,5680.0,22.08
2021-04-29,116.256,1430.016,1.976,18.46,5604.0,22.37
2021-04-30,115.313,1432.329,1.976,18.82,5456.0,22.6
2021-05-01,112.565,1434.153,1.948,19.2,5436.0,22.87
2021-05-02,111.093,1434.972,1.941,19.46,5164.0,23.16
2021-05-03,113.384,1436.401,1.955,19.6,4969.0,23.34
