date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-17,83.718,1.186,0.81,29.145,3.542,0.024,42.3,0.96,0.0,760.0,66.67,0.39
2021-01-18,82.506,1.133,0.8,28.038,3.296,0.025,40.0,0.99,0.01,792.0,66.67,0.4
2021-01-19,74.864,1.133,0.79,24.349,3.147,0.024,42.0,1.07,0.02,822.0,66.67,0.46
2021-01-20,68.645,0.896,0.78,22.873,3.023,0.023,44.0,1.26,0.03,846.0,66.67,0.62
2021-01-21,66.485,0.87,0.78,23.057,2.893,0.023,43.5,1.41,0.04,851.0,66.67,0.79
2021-01-22,62.268,0.711,0.78,24.164,2.798,0.022,44.9,1.48,0.04,820.0,66.67,0.88
2021-01-23,62.137,0.711,0.79,23.795,2.794,0.022,45.0,1.48,0.04,810.0,70.37,0.89
2021-01-24,64.06,0.711,0.79,24.902,2.819,0.023,44.0,1.49,0.04,802.0,70.37,0.9
2021-01-25,60.107,0.711,0.79,24.902,2.941,0.02,48.9,1.5,0.04,775.0,70.37,0.91
2021-01-26,56.339,0.659,0.79,22.504,3.033,0.019,53.8,1.54,0.08,756.0,70.37,0.98
2021-01-27,54.653,0.343,0.81,22.135,3.117,0.018,57.0,1.75,0.23,981.0,70.37,1.14
2021-01-28,53.151,0.343,0.82,19.184,3.254,0.016,61.2,1.95,0.35,1215.0,70.37,1.31
2021-01-29,52.966,0.527,0.83,18.261,3.332,0.016,62.9,2.03,0.39,1284.0,73.15,1.38
2021-01-30,52.439,0.527,0.85,16.048,3.301,0.016,63.0,2.03,0.39,1284.0,73.15,1.38
2021-01-31,49.646,0.527,0.85,16.601,3.237,0.015,65.2,2.03,0.39,1288.0,73.15,1.38
2021-02-01,51.306,0.501,0.86,17.708,3.098,0.017,60.4,2.04,0.4,1287.0,73.15,1.4
2021-02-02,51.622,0.474,0.87,17.339,3.005,0.017,58.2,2.15,0.46,1418.0,73.15,1.44
2021-02-03,49.488,0.474,0.88,17.524,2.931,0.017,59.2,2.62,0.62,1806.0,73.15,1.64
2021-02-04,51.016,0.659,0.89,17.339,2.858,0.018,56.0,3.1,0.79,2265.0,73.15,1.84
2021-02-05,50.278,0.474,0.89,17.524,2.809,0.018,55.9,3.3,0.88,2523.0,73.15,1.93
2021-02-06,49.014,0.474,0.9,15.679,2.816,0.017,57.5,3.32,0.89,2555.0,73.15,1.93
2021-02-07,47.591,0.474,0.91,16.786,2.809,0.017,59.0,3.32,0.9,2567.0,73.15,1.94
2021-02-08,48.908,0.395,0.92,16.786,2.817,0.017,57.6,3.33,0.91,2580.0,73.15,1.94
2021-02-09,47.037,0.395,0.92,17.339,2.9,0.016,61.7,3.43,0.98,2562.0,73.15,2.04
2021-02-10,45.008,0.474,0.94,16.232,2.939,0.015,65.3,3.86,1.14,2513.0,73.15,2.47
2021-02-11,42.136,0.264,0.97,15.126,2.943,0.014,69.9,4.25,1.31,2378.0,73.15,2.96
2021-02-12,46.194,0.264,1.0,14.757,2.997,0.015,64.9,4.4,1.38,2275.0,73.15,3.14
2021-02-13,45.825,0.264,1.01,14.019,3.018,0.015,65.9,4.41,1.38,2266.0,73.15,3.15
2021-02-14,45.562,0.264,1.02,15.679,3.014,0.015,66.2,4.41,1.38,2252.0,73.15,3.15
2021-02-15,45.746,0.29,1.04,16.048,2.996,0.015,65.5,4.43,1.4,2267.0,73.15,3.15
2021-02-16,47.485,0.264,1.06,14.572,2.962,0.016,62.4,4.54,1.44,2252.0,73.15,3.23
2021-02-17,51.412,0.395,1.07,12.728,2.974,0.017,57.9,4.95,1.64,2262.0,73.15,3.57
2021-02-18,53.045,0.395,1.08,13.281,2.999,0.018,56.5,5.3,1.84,2267.0,73.15,3.92
2021-02-19,49.303,0.395,1.09,14.019,2.999,0.016,60.8,5.5,1.93,2367.0,73.15,4.05
2021-02-20,50.674,0.395,1.11,14.572,3.012,0.017,59.4,5.51,1.93,2354.0,73.15,4.05
2021-02-21,53.52,0.395,1.13,15.679,3.036,0.018,56.7,5.51,1.94,2356.0,73.15,4.05
2021-02-22,50.173,0.395,1.15,17.155,2.99,0.017,59.6,5.56,1.94,2387.0,71.3,4.06
2021-02-23,52.914,0.395,1.19,16.97,2.923,0.018,55.2,5.67,2.04,2465.0,67.59,4.14
2021-02-24,52.466,0.343,1.23,17.524,2.881,0.018,54.9,5.88,2.47,2511.0,67.59,4.46
2021-02-25,58.395,0.343,1.27,16.97,2.881,0.02,49.3,6.08,2.96,2715.0,67.59,4.78
2021-02-26,64.745,0.395,1.29,17.155,2.923,0.022,45.1,6.24,3.14,2791.0,67.59,4.94
2021-02-27,66.168,0.395,1.29,17.524,2.966,0.022,44.8,6.25,3.15,2791.0,67.59,4.95
2021-02-28,65.193,0.395,1.31,17.524,3.064,0.021,47.0,6.26,3.15,2804.0,67.59,4.95
2021-03-01,78.448,0.395,1.34,18.815,3.234,0.024,41.2,6.37,3.15,2892.0,67.59,4.96
2021-03-02,81.32,0.395,1.33,20.106,3.415,0.024,42.0,6.57,3.23,2978.0,69.44,4.97
2021-03-03,90.491,0.316,1.33,19.368,3.577,0.025,39.5,6.9,3.57,3041.0,69.44,5.01
2021-03-04,90.991,0.316,1.32,20.475,3.74,0.024,41.1,7.2,3.92,2974.0,69.44,5.04
2021-03-05,95.366,0.264,1.32,22.135,3.913,0.024,41.0,7.42,4.05,2979.0,69.44,5.06
2021-03-06,98.027,0.264,1.31,23.98,4.05,0.024,41.3,7.43,4.05,2985.0,69.44,5.06
2021-03-07,103.719,0.264,1.31,25.824,4.16,0.025,40.1,7.43,4.05,2970.0,69.44,5.06
2021-03-08,106.328,0.237,1.32,27.116,4.397,0.024,41.3,7.53,4.06,2945.0,69.44,5.06
2021-03-09,111.993,0.237,1.31,28.591,4.601,0.024,41.1,7.76,4.14,3010.0,69.44,5.08
2021-03-10,111.888,0.0,1.31,29.698,4.789,0.023,42.8,8.16,4.46,3075.0,69.44,5.15
2021-03-11,119.846,0.184,1.32,29.329,4.938,0.024,41.2,8.38,4.78,2918.0,69.44,5.2
2021-03-12,125.512,0.184,1.32,29.698,5.032,0.025,40.1,8.42,4.94,2711.0,69.44,5.22
2021-03-13,138.45,0.184,1.31,32.649,5.068,0.027,36.6,8.43,4.95,2696.0,69.44,5.22
2021-03-14,144.88,0.184,1.29,36.892,5.096,0.028,35.2,8.43,4.95,2696.0,69.44,5.22
2021-03-15,145.855,0.211,1.27,40.766,5.081,0.029,34.8,8.43,4.96,2576.0,69.44,5.22
2021-03-16,157.344,0.237,1.25,41.319,5.06,0.031,32.2,8.54,4.97,2297.0,71.3,5.31
2021-03-17,167.331,0.422,1.23,41.688,5.091,0.033,30.4,8.97,5.01,1934.0,71.3,5.45
2021-03-18,171.6,0.237,1.2,41.503,5.122,0.034,29.8,9.36,5.04,1764.0,71.3,5.48
2021-03-19,173.814,0.237,1.18,43.348,5.128,0.034,29.5,9.49,5.06,1686.0,71.3,5.49
2021-03-20,172.918,0.237,1.15,42.979,5.13,0.034,29.7,9.5,5.06,1689.0,71.3,5.49
2021-03-21,171.258,0.237,1.13,45.008,5.104,0.034,29.8,9.5,5.06,1693.0,71.3,5.49
2021-03-22,177.345,0.237,1.1,49.066,5.146,0.034,29.0,9.53,5.06,1722.0,71.3,5.5
2021-03-23,175.632,0.211,1.08,48.697,5.199,0.034,29.6,9.78,5.08,1926.0,71.3,5.55
2021-03-24,173.524,0.211,1.05,49.251,5.251,0.033,30.3,10.51,5.15,2402.0,71.3,5.62
2021-03-25,168.174,0.211,1.03,46.115,5.294,0.032,31.5,11.23,5.2,2897.0,71.3,5.69
2021-03-26,170.362,0.211,1.02,47.959,5.372,0.032,31.5,11.55,5.22,3182.0,71.3,5.71
2021-03-27,160.928,0.211,1.0,48.697,5.387,0.03,33.5,11.57,5.22,3189.0,71.3,5.71
2021-03-28,163.668,0.211,1.0,50.726,5.348,0.031,32.7,11.57,5.22,3191.0,71.3,5.71
2021-03-29,160.849,0.29,0.98,52.571,5.172,0.031,32.2,11.66,5.22,3278.0,71.3,5.71
2021-03-30,160.427,0.316,0.97,53.124,4.88,0.033,30.4,12.26,5.31,3877.0,71.3,5.72
2021-03-31,157.449,0.448,0.94,54.047,4.449,0.035,28.3,12.95,5.45,3921.0,71.3,5.75
2021-04-01,153.76,0.448,0.93,52.94,3.847,0.04,25.0,13.13,5.48,3116.0,71.3,5.77
2021-04-02,142.376,0.448,0.92,53.309,3.275,0.043,23.0,13.21,5.49,2757.0,71.3,5.79
2021-04-03,148.437,0.448,0.93,56.445,3.093,0.048,20.8,13.22,5.49,2744.0,71.3,5.79
2021-04-04,145.618,0.448,0.92,55.153,3.021,0.048,20.7,13.22,5.49,2747.0,71.3,5.79
2021-04-05,134.655,0.422,0.92,54.416,2.663,0.051,19.8,13.25,5.5,2655.0,71.3,5.8
2021-04-06,130.202,0.422,0.92,54.6,2.914,0.045,22.4,13.6,5.55,2248.0,71.3,5.81
2021-04-07,131.836,0.264,0.92,56.629,3.119,0.042,23.7,14.69,5.62,2720.0,71.3,5.87
2021-04-08,136.764,0.29,0.91,54.969,3.45,0.04,25.2,15.76,5.69,4064.0,71.3,5.92
2021-04-09,139.899,0.29,0.9,51.833,3.786,0.037,27.1,16.27,5.71,4676.0,71.3,5.94
2021-04-10,128.384,0.29,0.88,51.649,3.845,0.033,29.9,16.29,5.71,4700.0,71.3,5.94
2021-04-11,130.308,0.29,0.88,50.911,3.839,0.034,29.5,16.3,5.71,4703.0,71.3,5.94
2021-04-12,132.284,0.29,0.87,53.124,4.129,0.032,31.2,16.37,5.71,4766.0,71.3,5.95
