date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,people_fully_vaccinated_per_hundred_2
2021-02-10,0.288,0.0,0.0,6.0,0.01
2021-02-15,0.254,0.003,0.0,2.0,0.01
2021-02-16,0.378,0.007,0.0,11.0,0.01
2021-02-17,0.365,0.007,0.0,12.0,0.01
2021-02-18,0.318,0.007,0.0,12.0,0.01
2021-02-19,0.308,0.007,0.0,12.0,0.01
2021-02-20,0.351,0.007,0.0,12.0,0.01
2021-02-21,0.362,0.007,0.0,13.0,0.01
2021-02-22,0.669,0.003,0.0,14.0,0.01
2021-02-23,0.7,0.0,0.01,27.0,0.02
2021-02-24,0.817,0.003,0.01,41.0,0.02
2021-02-25,1.125,0.007,0.01,80.0,0.02
2021-02-26,1.148,0.007,0.01,111.0,0.02
2021-02-27,1.265,0.007,0.01,132.0,0.02
2021-02-28,1.262,0.007,0.01,141.0,0.02
2021-03-01,1.272,0.013,0.01,156.0,0.02
2021-03-02,1.115,0.013,0.01,166.0,0.02
2021-03-03,1.048,0.01,0.01,187.0,0.02
2021-03-04,0.753,0.007,0.01,187.0,0.02
2021-03-05,1.198,0.013,0.01,197.0,0.03
2021-03-06,1.031,0.013,0.01,195.0,0.03
2021-03-07,1.362,0.013,0.01,202.0,0.03
2021-03-08,1.392,0.007,0.01,206.0,0.03
2021-03-09,1.637,0.007,0.02,231.0,0.04
2021-03-10,1.644,0.007,0.02,237.0,0.04
2021-03-11,1.901,0.023,0.02,265.0,0.05
2021-03-12,1.469,0.017,0.02,262.0,0.05
2021-03-13,1.469,0.017,0.02,326.0,0.05
2021-03-14,2.357,0.017,0.02,323.0,0.05
2021-03-15,2.336,0.033,0.02,316.0,0.06
2021-03-16,2.39,0.033,0.02,366.0,0.07
2021-03-17,2.357,0.033,0.02,401.0,0.07
2021-03-18,2.574,0.033,0.02,416.0,0.07
2021-03-19,3.153,0.05,0.03,436.0,0.08
2021-03-20,4.606,0.05,0.03,400.0,0.08
2021-03-21,3.418,0.05,0.03,403.0,0.08
2021-03-22,4.0,0.033,0.03,481.0,0.08
2021-03-23,5.058,0.037,0.04,511.0,0.08
2021-03-24,6.243,0.044,0.04,605.0,0.1
2021-03-25,5.761,0.027,0.05,712.0,0.11
2021-03-26,7.026,0.01,0.05,843.0,0.11
2021-03-27,5.58,0.01,0.05,957.0,0.11
2021-03-28,7.364,0.03,0.05,962.0,0.11
2021-03-29,7.056,0.044,0.06,988.0,0.12
2021-03-30,6.601,0.064,0.07,1103.0,0.15
2021-03-31,6.695,0.07,0.07,1198.0,0.15
2021-04-01,7.096,0.07,0.07,1278.0,0.15
2021-04-02,6.444,0.07,0.08,1361.0,0.16
2021-04-03,6.922,0.07,0.08,1222.0,0.16
2021-04-04,6.527,0.054,0.08,1253.0,0.16
2021-04-05,7.217,0.06,0.08,1143.0,0.17
2021-04-06,6.347,0.037,0.08,943.0,0.19
2021-04-07,5.891,0.027,0.1,966.0,0.2
2021-04-08,6.172,0.027,0.11,978.0,0.21
2021-04-09,4.988,0.027,0.11,1003.0,0.22
2021-04-10,6.206,0.027,0.11,1200.0,0.22
2021-04-11,5.165,0.023,0.11,1252.0,0.22
2021-04-12,4.432,0.01,0.12,1309.0,0.22
2021-04-13,5.172,0.01,0.15,1560.0,0.27
2021-04-14,4.924,0.013,0.15,1502.0,0.27
2021-04-15,4.934,0.05,0.15,1535.0,0.29
2021-04-16,5.449,0.05,0.16,1568.0,0.3
2021-04-17,3.819,0.05,0.16,1547.0,0.3
2021-04-18,4.78,0.074,0.16,1524.0,0.31
2021-04-19,4.994,0.074,0.17,1783.0,0.32
2021-04-20,4.275,0.074,0.19,1802.0,0.35
2021-04-21,3.729,0.07,0.2,1822.0,0.36
2021-04-22,4.462,0.06,0.21,1767.0,0.37
2021-04-23,3.94,0.06,0.22,1711.0,0.39
2021-04-24,4.77,0.07,0.22,1724.0,0.39
2021-04-25,3.695,0.047,0.22,1718.0,0.4
2021-04-26,3.642,0.05,0.22,1413.0,0.41
2021-04-27,3.682,0.05,0.27,1334.0,0.45
2021-04-28,3.977,0.054,0.27,1322.0,0.46
2021-04-29,2.885,0.027,0.29,1380.0,0.47
2021-04-30,2.882,0.027,0.3,1376.0,0.49
2021-05-01,2.434,0.044,0.3,1368.0,0.5
2021-05-02,2.487,0.044,0.31,1370.0,0.5
2021-05-03,1.982,0.033,0.32,1408.0,0.51
2021-05-04,1.958,0.054,0.35,1504.0,0.54
2021-05-05,1.684,0.047,0.36,1581.0,0.56
2021-05-06,2.551,0.05,0.37,1571.0,0.57
2021-05-07,2.547,0.05,0.39,1629.0,0.59
2021-05-08,2.176,0.023,0.39,1694.0,0.6
2021-05-09,1.871,0.023,0.4,1718.0,0.6
2021-05-10,3.187,0.023,0.41,1730.0,1.59
2021-05-11,4.506,0.033,0.45,1919.0,1.65
2021-05-12,6.166,0.033,0.46,1911.0,1.79
2021-05-13,5.767,0.044,0.47,1930.0,1.83
2021-05-14,7.307,0.054,0.49,1964.0,1.87
2021-05-15,7.244,0.054,0.5,1979.0,1.9
2021-05-16,7.244,0.054,0.5,2001.0,1.9
2021-05-17,5.721,0.054,0.51,2005.0,1.92
2021-05-18,6.029,0.023,0.54,1920.0,1.97
2021-05-19,5.741,0.04,0.56,1985.0,2.08
2021-05-20,5.868,0.07,0.57,2019.0,2.12
2021-05-21,4.321,0.06,0.59,2081.0,2.16
2021-05-22,4.412,0.06,0.6,2124.0,2.18
2021-05-23,4.425,0.06,0.6,2140.0,2.19
2021-05-24,5.386,0.067,1.59,2153.0,2.21
2021-05-25,3.896,0.067,1.65,2186.0,2.4
2021-05-26,3.073,0.06,1.79,2227.0,2.44
2021-05-27,2.39,0.027,1.83,2294.0,2.48
2021-05-28,3.732,0.027,1.87,2357.0,2.53
2021-05-29,3.652,0.027,1.9,2472.0,2.58
2021-05-30,4.017,0.027,1.9,2551.0,2.61
2021-05-31,3.401,0.02,1.92,2615.0,2.63
2021-06-01,3.284,0.02,1.97,2787.0,2.67
2021-06-02,2.842,0.01,2.08,2908.0,2.88
2021-06-03,3.585,0.0,2.12,3030.0,2.96
2021-06-04,2.377,0.0,2.16,3092.0,3.03
2021-06-05,2.735,0.007,2.18,3156.0,3.09
2021-06-06,2.879,0.007,2.19,3253.0,3.13
2021-06-07,2.956,0.007,2.21,3376.0,3.23
2021-06-08,3.254,0.007,2.4,3609.0,3.25
2021-06-09,3.836,0.007,2.44,3585.0,3.87
2021-06-10,3.1,0.007,2.48,3590.0,3.94
2021-06-11,3.12,0.007,2.53,3625.0,4.05
2021-06-12,3.059,0.0,2.58,3606.0,4.07
2021-06-13,2.959,0.003,2.61,3519.0,4.08
2021-06-14,2.839,0.003,2.63,3413.0,4.09
2021-06-15,2.852,0.007,2.67,2952.0,4.93
