date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-03-02,223.307,20.689,1.1,84.576,0.496,0.168,0.01,346.0,86.11,0.67
2021-03-03,194.105,20.836,1.09,85.155,0.496,0.166,0.04,330.0,86.11,0.74
2021-03-04,191.375,20.962,1.09,85.694,0.487,0.167,0.13,399.0,86.11,0.79
2021-03-05,145.076,21.014,1.09,86.135,0.476,0.171,0.22,488.0,86.11,0.84
2021-03-06,149.179,19.952,1.09,86.543,0.471,0.172,0.27,540.0,86.11,0.86
2021-03-07,178.078,20.524,1.09,86.723,0.475,0.172,0.28,546.0,86.11,0.86
2021-03-08,179.248,18.527,1.09,87.292,0.466,0.172,0.32,638.0,86.11,0.88
2021-03-09,180.786,21.295,1.09,87.798,0.46,0.173,0.34,715.0,83.33,0.91
2021-03-10,180.786,19.943,1.09,88.344,0.456,0.174,0.35,711.0,83.33,0.93
2021-03-11,184.088,19.575,1.09,88.886,0.456,0.172,0.37,634.0,83.33,0.95
2021-03-12,193.776,18.635,1.09,89.402,0.467,0.166,0.42,590.0,83.33,0.96
2021-03-13,192.008,19.376,1.1,89.791,0.464,0.163,0.51,656.0,83.33,0.97
2021-03-14,186.302,18.613,1.1,89.956,0.462,0.162,0.51,661.0,83.33,0.97
2021-03-15,178.637,20.329,1.1,90.57,0.468,0.16,0.6,726.0,83.33,1.01
2021-03-16,168.763,19.77,1.1,91.09,0.47,0.158,0.67,809.0,83.33,1.07
2021-03-17,240.79,20.476,1.1,91.659,0.474,0.158,0.74,929.0,83.33,1.13
2021-03-18,208.581,19.822,1.1,92.157,0.467,0.16,0.79,1051.0,83.33,1.14
2021-03-19,247.285,21.586,1.1,92.596,0.456,0.165,0.84,1117.0,83.33,1.15
2021-03-20,212.454,21.763,1.1,92.982,0.456,0.168,0.86,1075.0,83.33,1.17
2021-03-21,252.869,20.541,1.1,93.123,0.452,0.17,0.86,1068.0,83.33,1.17
2021-03-22,233.619,19.432,1.1,93.672,0.443,0.171,0.88,944.0,83.33,1.2
2021-03-23,269.862,18.7,1.1,94.171,0.44,0.173,0.91,851.0,83.33,1.25
2021-03-24,197.835,19.445,1.09,94.748,0.441,0.174,0.93,749.0,83.33,1.3
2021-03-25,281.049,20.468,1.09,95.297,0.449,0.174,0.95,642.0,83.33,1.39
2021-03-26,263.164,19.627,1.09,95.79,0.456,0.173,0.96,555.0,83.33,1.44
2021-03-27,300.377,18.921,1.08,96.217,0.462,0.171,0.97,510.0,83.33,1.47
2021-03-28,275.369,21.638,1.08,96.363,0.463,0.171,0.97,512.0,83.33,1.47
2021-03-29,289.403,22.183,1.08,97.007,0.476,0.171,1.01,515.0,83.33,1.51
2021-03-30,224.703,21.525,1.07,97.581,0.487,0.168,1.07,523.0,83.33,1.57
2021-03-31,292.665,22.595,1.07,98.168,0.488,0.167,1.13,536.0,83.33,1.63
2021-04-01,265.413,22.526,1.07,98.462,0.452,0.163,1.14,487.0,83.33,1.69
2021-04-02,242.462,21.295,1.07,98.64,0.407,0.162,1.15,412.0,83.33,1.76
2021-04-03,229.581,23.587,1.06,98.981,0.395,0.168,1.17,388.0,83.33,1.8
2021-04-04,227.402,22.344,1.06,99.1,0.391,0.171,1.17,382.0,83.33,1.81
2021-04-05,247.345,21.677,1.06,99.807,0.4,0.174,1.2,375.0,83.33,1.82
2021-04-06,247.345,22.842,1.06,100.413,0.405,0.177,1.25,386.0,80.56,1.84
2021-04-07,215.708,22.014,1.06,101.053,0.412,0.179,1.3,410.0,80.56,1.87
2021-04-08,243.242,22.248,1.06,101.655,0.456,0.181,1.39,577.0,80.56,1.87
2021-04-09,260.716,23.046,1.05,102.217,0.511,0.178,1.44,709.0,80.56,1.88
2021-04-10,285.118,22.209,1.05,102.65,0.524,0.173,1.47,727.0,80.56,1.89
2021-04-11,283.042,23.657,1.05,102.804,0.529,0.169,1.47,725.0,80.56,1.89
2021-04-12,273.441,25.338,1.04,103.467,0.523,0.163,1.51,714.0,80.56,1.9
2021-04-13,301.114,25.147,1.04,104.059,0.521,0.158,1.57,684.0,80.56,1.93
2021-04-14,299.58,25.702,1.04,104.732,0.526,0.153,1.63,652.0,80.56,1.97
2021-04-15,216.085,24.454,1.03,105.353,0.528,0.148,1.69,557.0,80.56,2.0
2021-04-16,227.657,24.35,1.03,105.951,0.533,0.144,1.76,588.0,80.56,2.06
2021-04-17,250.686,25.819,1.03,106.417,0.538,0.14,1.8,723.0,80.56,2.06
2021-04-18,216.34,23.206,1.03,106.564,0.537,0.141,1.81,856.0,80.56,2.07
2021-04-19,235.989,24.155,1.03,107.212,0.535,0.14,1.82,843.0,78.7,2.08
2021-04-20,257.28,23.184,1.03,107.784,0.532,0.139,1.84,819.0,78.7,2.09
2021-04-21,222.489,22.968,1.02,108.396,0.523,0.139,1.87,804.0,78.7,2.1
2021-04-22,289.723,24.419,1.02,108.971,0.517,0.139,1.87,750.0,78.7,2.11
2021-04-23,279.858,26.507,1.02,109.525,0.51,0.138,1.88,696.0,75.93,2.15
2021-04-24,244.902,23.223,1.01,109.924,0.501,0.139,1.89,635.0,75.93,2.22
2021-04-25,277.072,25.836,1.01,110.051,0.498,0.138,1.89,569.0,75.93,2.29
2021-04-26,261.691,24.289,1.01,110.702,0.499,0.136,1.9,607.0,75.93,2.32
2021-04-27,212.727,24.02,1.0,111.227,0.492,0.134,1.93,666.0,75.93,2.36
2021-04-28,278.38,24.935,1.0,111.789,0.485,0.131,1.97,802.0,75.93,2.39
2021-04-29,211.146,24.761,1.0,112.319,0.478,0.13,2.0,1003.0,75.93,2.41
2021-04-30,233.056,21.43,1.0,112.857,0.476,0.128,2.06,1303.0,75.93,2.47
2021-05-01,196.25,22.651,1.0,113.084,0.451,0.124,2.06,1457.0,75.93,2.54
2021-05-02,214.135,21.291,1.0,113.204,0.45,0.124,2.07,1600.0,75.93,2.58
2021-05-03,199.049,22.11,0.99,113.8,0.442,0.124,2.08,1791.0,75.93,2.61
2021-05-04,218.814,22.101,0.99,114.277,0.436,0.125,2.09,1767.0,75.93,2.64
2021-05-05,153.161,20.429,0.99,114.817,0.433,0.125,2.1,1654.0,75.93,2.7
2021-05-06,178.152,20.229,0.99,115.381,0.437,0.121,2.11,1584.0,75.93,2.75
2021-05-07,108.37,21.066,0.99,115.849,0.427,0.119,2.15,1367.0,75.93,2.91
2021-05-08,197.619,22.214,1.0,116.189,0.444,0.12,2.22,1443.0,75.93,3.06
2021-05-09,170.24,21.59,0.99,116.289,0.441,0.119,2.29,1485.0,83.33,3.18
2021-05-10,156.683,18.947,0.99,116.842,0.435,0.116,2.32,1452.0,75.93,3.34
2021-05-11,150.262,20.771,0.99,117.362,0.441,0.111,2.36,1584.0,75.93,3.41
2021-05-12,203.42,20.169,0.99,117.878,0.437,0.107,2.39,1773.0,75.93,3.44
2021-05-13,178.429,19.666,0.99,118.403,0.432,0.107,2.41,1946.0,75.93,3.53
2021-05-14,236.531,19.631,0.99,118.828,0.425,0.108,2.47,2205.0,75.93,3.61
2021-05-15,147.281,17.794,0.99,119.185,0.428,0.106,2.54,2165.0,75.93,3.78
2021-05-16,167.944,17.734,0.98,119.314,0.432,0.106,2.58,2077.0,75.93,3.87
2021-05-17,167.944,18.652,0.98,119.854,0.43,0.105,2.61,2090.0,75.93,4.0
2021-05-18,173.152,15.667,0.98,120.282,0.417,0.106,2.64,2153.0,75.93,4.11
2021-05-19,164.539,16.729,0.98,120.79,0.416,0.104,2.7,2205.0,75.93,4.21
2021-05-20,164.539,15.338,0.98,121.239,0.405,0.104,2.75,2229.0,75.93,4.29
2021-05-21,135.661,14.441,0.98,121.643,0.402,0.101,2.91,2459.0,75.93,4.36
2021-05-22,181.116,15.281,0.98,121.957,0.396,0.101,3.06,2701.0,75.93,4.39
2021-05-23,157.004,14.77,0.98,122.059,0.392,0.102,3.18,2908.0,75.93,4.4
2021-05-24,157.004,13.288,0.97,122.572,0.388,0.099,3.34,3171.0,75.93,4.47
2021-05-25,168.633,16.105,0.97,122.998,0.388,0.095,3.41,3302.0,75.93,4.82
2021-05-26,145.709,13.518,0.97,123.474,0.384,0.093,3.44,3364.0,75.93,5.09
2021-05-27,166.545,14.367,0.97,123.932,0.385,0.092,3.53,3495.0,75.93,5.41
2021-05-28,137.321,13.557,0.97,124.311,0.381,0.091,3.61,3453.0,75.93,5.8
2021-05-29,115.7,12.231,0.97,124.607,0.378,0.09,3.78,3454.0,75.93,6.05
2021-05-30,96.472,12.071,0.97,124.696,0.377,0.089,3.87,3359.0,75.93,6.18
2021-05-31,130.761,12.846,0.97,125.144,0.367,0.087,4.0,3318.0,75.93,6.41
2021-06-01,100.579,10.225,0.97,125.508,0.358,0.087,4.11,3370.0,75.93,6.67
2021-06-02,122.126,13.457,0.97,125.929,0.351,0.086,4.21,3448.0,75.93,6.89
2021-06-03,101.29,11.447,0.97,126.344,0.345,0.086,4.29,3219.0,75.93,7.19
2021-06-04,147.797,14.112,0.97,126.723,0.345,0.084,4.36,2720.0,75.93,7.6
2021-06-05,142.269,13.392,0.97,126.995,0.341,0.083,4.39,2244.0,75.93,7.86
2021-06-06,142.269,11.62,0.97,127.064,0.338,0.083,4.4,1975.0,75.93,7.94
2021-06-07,121.753,11.82,0.97,127.516,0.339,0.082,4.47,1630.0,75.93,8.13
2021-06-08,127.945,11.854,0.97,127.907,0.343,0.08,4.82,2085.0,75.93,8.4
2021-06-09,97.49,9.597,0.97,128.341,0.344,0.079,5.09,2479.0,75.93,8.64
2021-06-10,129.223,12.586,0.97,128.735,0.342,0.077,5.41,3184.0,75.93,8.76
2021-06-11,94.843,9.909,0.97,129.062,0.334,0.078,5.8,3944.0,75.93,8.84
2021-06-12,76.537,8.782,0.97,129.388,0.342,0.077,6.05,4524.0,75.93,8.87
2021-06-13,100.666,11.417,0.97,129.481,0.345,0.077,6.18,4844.0,75.93,8.88
2021-06-14,86.892,9.519,0.97,129.921,0.344,0.078,6.41,5190.0,75.93,8.91
