date,total_deaths_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-16,854.099,1.27,5.089,0.174,5.7,0.0,790.0,65.74,0.66
2021-01-17,869.006,1.27,5.176,0.179,5.6,0.01,806.0,65.74,0.69
2021-01-18,885.384,1.26,5.253,0.179,5.6,0.01,710.0,65.74,0.77
2021-01-19,906.763,1.25,5.447,0.181,5.5,0.09,890.0,65.74,0.79
2021-01-20,928.241,1.24,5.68,0.184,5.4,0.18,1102.0,69.44,0.84
2021-01-21,949.915,1.22,5.83,0.186,5.4,0.23,1409.0,69.44,0.93
2021-01-22,972.863,1.21,6.034,0.187,5.3,0.25,1672.0,87.96,1.03
2021-01-23,999.735,1.19,6.206,0.192,5.2,0.29,1858.0,87.96,1.12
2021-01-24,1026.704,1.16,6.306,0.192,5.2,0.29,1900.0,87.96,1.12
2021-01-30,1194.405,0.93,6.018,0.202,5.0,0.66,1157.0,87.96,1.93
2021-01-31,1224.121,0.88,5.84,0.202,4.9,0.69,1190.0,87.96,2.02
2021-02-01,1251.09,0.82,5.725,0.204,4.9,0.77,1465.0,76.85,2.11
2021-02-02,1276.589,0.76,5.492,0.199,5.0,0.79,1433.0,76.85,2.17
2021-02-03,1300.126,0.71,5.238,0.193,5.2,0.84,1348.0,76.85,2.23
2021-02-04,1322.192,0.68,4.966,0.179,5.6,0.93,1288.0,76.85,2.3
2021-02-05,1347.494,0.64,4.706,0.17,5.9,1.03,1224.0,87.96,2.43
2021-02-06,1368.481,0.61,4.41,0.162,6.2,1.12,1227.0,87.96,2.56
2021-02-07,1388.487,0.59,4.262,0.148,6.8,1.12,1160.0,87.96,2.59
2021-02-08,1407.709,0.56,4.088,0.143,7.0,1.14,857.0,76.85,2.6
2021-02-09,1427.618,0.53,3.817,0.142,7.1,1.15,861.0,76.85,2.62
2021-02-10,1443.407,0.51,3.596,0.132,7.6,1.26,949.0,76.85,2.64
2021-02-11,1459.785,0.49,3.414,0.121,8.3,1.42,1056.0,76.85,2.68
2021-02-12,1474.398,0.48,3.261,0.109,9.1,1.66,1293.0,87.96,2.71
2021-02-13,1489.01,0.48,3.137,0.099,10.1,1.93,1606.0,87.96,2.76
2021-02-14,1502.544,0.48,3.095,0.092,10.9,2.02,1833.0,87.96,2.77
2021-02-15,1511.37,0.48,3.07,0.087,11.4,2.11,1956.0,76.85,2.8
2021-02-16,1522.256,0.47,2.977,0.085,11.8,2.17,2054.0,76.85,2.82
2021-02-17,1534.711,0.47,2.932,0.076,13.1,2.23,2074.0,76.85,2.83
2021-02-18,1545.009,0.47,2.885,0.07,14.2,2.3,2094.0,76.85,2.88
2021-02-19,1551.579,0.48,2.816,0.067,14.8,2.43,2204.0,87.96,2.94
2021-02-20,1559.033,0.48,2.821,0.061,16.4,2.56,2214.0,87.96,3.02
2021-02-21,1565.407,0.49,2.804,0.059,17.0,2.59,2229.0,87.96,3.07
2021-02-22,1571.39,0.49,2.778,0.056,18.0,2.6,2148.0,76.85,3.13
2021-02-23,1577.568,0.49,2.771,0.053,18.8,2.62,2194.0,76.85,3.15
2021-02-24,1582.472,0.5,2.728,0.05,20.1,2.64,2332.0,76.85,3.17
2021-02-25,1587.277,0.5,2.685,0.047,21.5,2.68,2462.0,76.85,3.26
2021-02-26,1592.965,0.51,2.672,0.042,23.8,2.71,2528.0,87.96,3.4
2021-02-27,1596.202,0.53,2.651,0.04,25.2,2.76,2572.0,87.96,3.53
2021-02-28,1600.223,0.54,2.659,0.037,27.0,2.77,2642.0,87.96,3.59
2021-03-01,1603.557,0.56,2.594,0.037,26.9,2.8,2760.0,76.85,3.64
2021-03-02,1607.284,0.57,2.568,0.036,28.0,2.82,2790.0,76.85,3.67
2021-03-03,1611.305,0.59,2.542,0.033,30.0,2.83,2640.0,76.85,3.73
2021-03-04,1614.05,0.61,2.502,0.032,31.3,2.88,2594.0,76.85,3.94
2021-03-05,1616.796,0.64,2.442,0.032,30.9,2.94,2571.0,87.96,4.27
2021-03-06,1619.346,0.66,2.435,0.032,31.2,3.02,2556.0,87.96,4.54
2021-03-07,1622.092,0.66,2.406,0.032,31.0,3.07,2460.0,87.96,4.67
2021-03-08,1624.544,0.67,2.388,0.032,31.0,3.13,2406.0,76.85,4.71
2021-03-09,1627.486,0.67,2.315,0.034,29.2,3.15,2333.0,76.85,4.79
2021-03-10,1629.644,0.65,2.276,0.033,30.5,3.17,2267.0,76.85,4.81
2021-03-11,1631.409,0.66,2.223,0.032,31.0,3.26,2202.0,76.85,4.85
2021-03-12,1632.88,0.66,2.204,0.03,33.1,3.4,2091.0,87.96,4.89
2021-03-13,1634.743,0.68,2.22,0.027,36.8,3.53,2005.0,87.96,4.91
2021-03-14,1636.215,0.69,2.224,0.026,38.1,3.59,1993.0,87.96,4.93
2021-03-16,1638.47,0.7,2.476,0.02,49.2,3.67,2247.0,69.44,4.95
2021-03-17,1639.941,0.72,2.777,0.018,54.7,3.73,2198.0,69.44,4.98
2021-03-18,1642.001,0.74,3.178,0.015,65.2,3.94,2348.0,69.44,5.08
2021-03-19,1643.079,0.76,3.545,0.014,72.9,4.27,2491.0,80.56,5.49
2021-03-20,1643.864,0.77,3.72,0.013,78.9,4.54,2647.0,80.56,5.66
2021-03-21,1644.452,0.79,3.728,0.012,81.3,4.67,2742.0,80.56,5.73
2021-03-22,1646.022,0.8,3.782,0.012,82.7,4.71,2671.0,69.44,5.75
2021-03-23,1647.002,0.81,3.639,0.013,78.4,4.79,2570.0,69.44,5.8
2021-03-24,1648.081,0.82,3.375,0.013,74.9,4.81,2777.0,69.44,5.83
2021-03-25,1648.964,0.83,3.019,0.015,68.3,4.85,2890.0,69.44,5.94
2021-03-26,1649.454,0.84,2.692,0.016,62.5,4.89,3257.0,80.56,6.08
2021-03-27,1650.239,0.86,2.533,0.016,61.0,4.91,3058.0,80.56,6.21
2021-03-28,1651.219,0.89,2.541,0.016,63.0,4.93,3624.0,80.56,6.23
2021-03-30,1652.004,0.94,2.512,0.016,62.0,4.95,3969.0,80.56,6.28
2021-03-31,1652.298,0.96,2.507,0.016,61.0,4.98,4090.0,80.56,6.3
2021-04-01,1653.377,0.98,2.525,0.017,58.1,5.08,3826.0,80.56,6.41
2021-04-02,1654.26,0.98,2.311,0.019,52.1,5.49,3992.0,80.56,6.51
2021-04-03,1654.946,0.98,2.325,0.019,53.5,5.66,4058.0,80.56,6.7
2021-04-04,1655.338,1.0,2.347,0.017,57.2,5.73,3421.0,80.56,6.75
