date,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-17,4.21,0.85,55.932,1.034,0.161,6.2,0.0,712.0,76.85,0.55
2021-01-18,4.055,0.84,56.348,1.018,0.16,6.3,0.01,817.0,76.85,0.64
2021-01-19,3.624,0.83,54.58,1.073,0.145,6.9,0.01,962.0,76.85,0.72
2021-01-20,3.832,0.83,54.788,1.06,0.137,7.3,0.03,1144.0,76.85,0.79
2021-01-21,3.854,0.84,52.241,1.048,0.134,7.5,0.05,1439.0,76.85,0.86
2021-01-22,3.936,0.85,51.825,1.029,0.131,7.6,0.06,1502.0,76.85,0.95
2021-01-23,4.144,0.87,52.813,1.049,0.125,8.0,0.07,1654.0,76.85,1.0
2021-01-24,4.121,0.88,53.021,1.069,0.121,8.3,0.07,1798.0,76.85,1.04
2021-01-25,4.233,0.89,52.865,1.013,0.128,7.8,0.13,1852.0,76.85,1.2
2021-01-26,4.225,0.9,52.085,1.006,0.129,7.7,0.21,1918.0,76.85,1.37
2021-01-27,3.936,0.91,53.281,0.998,0.132,7.6,0.3,1948.0,76.85,1.56
2021-01-28,4.092,0.91,51.41,1.0,0.132,7.6,0.39,1940.0,76.85,1.74
2021-01-29,4.218,0.92,51.773,1.017,0.13,7.7,0.48,1939.0,76.85,1.92
2021-01-30,4.025,0.92,52.917,1.095,0.12,8.3,0.53,1883.0,76.85,2.08
2021-01-31,4.151,0.92,51.825,1.062,0.124,8.1,0.55,1820.0,76.85,2.22
2021-02-01,4.166,0.93,50.474,1.061,0.122,8.2,0.64,1757.0,76.85,2.36
2021-02-02,4.27,0.93,50.266,1.069,0.12,8.3,0.72,1636.0,76.85,2.5
2021-02-03,4.344,0.94,52.293,1.068,0.117,8.5,0.79,1496.0,76.85,2.63
2021-02-04,4.233,0.94,51.15,1.068,0.116,8.6,0.86,1377.0,76.85,2.74
2021-02-05,4.099,0.95,49.59,1.06,0.115,8.7,0.95,1296.0,76.85,2.84
2021-02-06,4.047,0.97,50.058,0.96,0.127,7.9,1.0,1251.0,76.85,2.93
2021-02-07,4.055,0.97,50.214,0.972,0.127,7.9,1.04,1225.0,76.85,2.99
2021-02-08,4.151,0.98,49.798,1.028,0.12,8.3,1.2,1264.0,76.85,3.07
2021-02-09,4.032,0.98,48.706,1.035,0.12,8.3,1.37,1347.0,76.85,3.13
2021-02-10,3.973,0.99,49.642,1.026,0.123,8.1,1.56,1476.0,76.85,3.18
2021-02-11,3.899,0.99,49.798,1.025,0.123,8.1,1.74,1594.0,76.85,3.19
2021-02-12,3.928,0.99,50.578,1.023,0.123,8.1,1.92,1688.0,76.85,3.2
2021-02-13,3.832,1.0,50.37,1.05,0.118,8.4,2.08,1807.0,76.85,3.21
2021-02-14,3.602,1.01,50.11,1.076,0.115,8.7,2.22,1913.0,76.85,3.21
2021-02-15,3.594,1.02,48.914,1.022,0.121,8.3,2.36,1929.0,62.96,3.21
2021-02-16,3.49,1.03,49.018,1.019,0.12,8.3,2.5,1982.0,62.96,3.22
2021-02-17,3.364,1.04,48.603,1.043,0.116,8.6,2.63,2001.0,62.96,3.22
2021-02-18,3.408,1.06,48.655,1.065,0.117,8.6,2.74,2011.0,62.96,3.26
2021-02-19,3.423,1.07,49.33,1.081,0.116,8.6,2.84,2002.0,62.96,3.31
2021-02-20,3.49,1.09,49.33,1.182,0.108,9.3,2.93,1984.0,62.96,3.35
2021-02-21,3.572,1.11,50.526,1.153,0.114,8.8,2.99,1970.0,73.15,3.39
2021-02-22,3.334,1.12,50.526,1.156,0.116,8.6,3.07,1916.0,73.15,3.42
2021-02-23,3.616,1.14,50.838,1.153,0.121,8.3,3.13,1792.0,73.15,3.45
2021-02-24,3.698,1.15,50.37,1.367,0.105,9.6,3.18,1680.0,73.15,3.5
2021-02-25,3.772,1.16,51.202,1.256,0.119,8.4,3.19,1535.0,73.15,3.55
