date,new_deaths_smoothed_per_million,reproduction_rate,hosp_patients_per_million,total_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-18,13.58,0.91,586.119,800.565,12.341,0.066,15.2,0.01,1114.0,73.15,0.23
2021-01-19,13.999,0.91,571.649,819.443,12.928,0.06,16.7,0.02,1046.0,73.15,0.29
2021-01-20,15.019,0.9,564.506,841.861,14.321,0.053,18.9,0.04,1075.0,73.15,0.34
2021-01-21,14.156,0.9,563.04,883.746,18.661,0.04,25.0,0.05,1072.0,73.15,0.44
2021-01-22,13.92,0.91,561.209,933.142,23.748,0.032,31.2,0.05,1043.0,73.15,0.56
2021-01-23,14.339,0.92,570.184,1077.179,42.957,0.022,45.5,0.05,1018.0,73.15,0.57
2021-01-24,15.543,0.93,591.064,1154.491,52.754,0.018,55.6,0.05,1017.0,73.15,0.57
2021-01-25,14.182,0.94,597.475,1197.583,56.717,0.017,58.8,0.09,1028.0,73.15,0.64
2021-01-26,16.301,0.94,601.871,1233.242,59.114,0.016,62.5,0.1,1006.0,73.15,0.78
2021-01-27,16.328,0.95,602.97,1248.471,58.087,0.016,62.5,0.1,984.0,73.15,0.9
2021-01-28,15.961,0.96,602.054,1263.656,54.273,0.017,58.8,0.13,1051.0,73.15,1.02
2021-01-29,15.726,0.97,594.911,1293.975,51.548,0.018,55.6,0.17,1183.0,73.15,1.14
2021-01-30,15.7,0.98,593.262,1384.345,43.881,0.02,50.0,0.17,1212.0,73.15,1.15
2021-01-31,15.019,0.98,610.479,1431.475,39.569,0.022,45.5,0.18,1219.0,73.15,1.15
2021-02-01,16.825,0.99,615.242,1468.618,38.719,0.023,43.5,0.23,1292.0,73.15,1.28
2021-02-02,13.711,0.99,613.96,1498.448,37.887,0.024,41.7,0.29,1423.0,73.15,1.39
2021-02-03,13.816,0.99,625.132,1515.53,38.151,0.025,40.0,0.34,1544.0,73.15,1.5
2021-02-04,14.784,1.0,618.355,1536.941,39.041,0.025,40.0,0.44,1663.0,73.15,1.63
2021-02-05,14.522,1.01,610.113,1579.984,40.858,0.024,41.7,0.56,1748.0,73.15,1.75
2021-02-06,14.915,1.01,618.722,1702.836,45.499,0.022,45.5,0.57,1785.0,73.15,1.76
2021-02-07,14.574,1.02,629.895,1774.459,48.998,0.02,50.0,0.57,1782.0,73.15,1.76
2021-02-08,14.653,1.02,632.093,1828.146,51.361,0.02,50.0,0.64,1770.0,71.3,1.88
2021-02-09,15.647,1.02,641.434,1863.475,52.147,0.019,52.6,0.78,1839.0,71.3,2.0
2021-02-10,16.04,1.02,630.81,1890.042,53.502,0.019,52.6,0.9,1872.0,71.3,2.13
2021-02-11,17.086,1.02,652.24,1916.904,54.28,0.018,55.6,1.02,1855.0,71.3,2.27
2021-02-12,17.871,1.02,646.562,1973.087,56.158,0.018,55.6,1.14,1830.0,71.3,2.44
2021-02-13,17.714,1.02,650.775,2098.118,56.469,0.018,55.6,1.15,1870.0,71.3,2.45
2021-02-14,17.95,1.02,663.963,2162.12,55.38,0.018,55.6,1.15,2148.0,71.3,2.45
2021-02-15,17.819,1.02,673.67,2206.292,54.021,0.018,55.6,1.28,2207.0,71.3,2.62
2021-02-16,17.819,1.03,663.78,2237.927,53.493,0.018,55.6,1.39,2114.0,71.3,2.8
2021-02-17,17.427,1.03,658.651,2263.363,53.332,0.018,55.6,1.5,2079.0,71.3,2.97
2021-02-18,16.799,1.04,662.498,2292.826,53.703,0.018,55.6,1.63,2011.0,71.3,3.13
