date,new_cases_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-08,871.258,1.09,91.874,557.979,2.322,0.314,3.2,0.0,1272.0,81.48,0.49
2021-01-09,974.058,1.06,92.355,549.802,2.347,0.311,3.2,0.0,1262.0,81.48,0.51
2021-01-10,975.432,1.02,97.165,573.371,2.325,0.306,3.3,0.0,1224.0,81.48,0.52
2021-01-11,952.069,0.99,95.241,579.625,2.294,0.301,3.3,0.0,1182.0,81.48,0.52
2021-01-12,908.227,0.97,92.355,578.181,2.242,0.283,3.5,0.0,1141.0,81.48,0.6
2021-01-13,821.507,0.95,99.089,598.384,2.191,0.269,3.7,0.0,1097.0,81.48,0.83
2021-01-14,750.866,0.93,96.203,608.967,2.166,0.258,3.9,0.0,1183.0,81.48,1.1
2021-01-15,713.759,0.92,94.279,608.967,2.157,0.252,4.0,0.01,1299.0,81.48,1.3
2021-01-16,689.777,0.92,92.836,588.764,2.145,0.249,4.0,0.01,1304.0,81.48,1.3
2021-01-17,676.446,0.91,91.874,586.84,2.124,0.248,4.0,0.01,1305.0,81.48,1.3
2021-01-18,667.307,0.91,88.026,595.017,2.109,0.244,4.1,0.02,1287.0,81.48,1.3
2021-01-19,656.244,0.91,89.95,577.219,2.054,0.238,4.2,0.09,1309.0,81.48,1.36
2021-01-20,630.269,0.9,86.102,566.637,1.997,0.236,4.2,0.27,1324.0,81.48,1.58
2021-01-21,607.042,0.91,87.545,557.498,1.995,0.235,4.3,0.44,1189.0,81.48,1.9
2021-01-22,600.308,0.92,89.469,548.358,1.971,0.239,4.2,0.49,1001.0,81.48,2.16
2021-01-23,600.377,0.92,91.393,543.067,1.946,0.241,4.1,0.51,1028.0,75.93,2.18
2021-01-24,598.178,0.93,90.912,552.688,1.938,0.242,4.1,0.52,1038.0,75.93,2.18
2021-01-25,598.315,0.93,92.355,564.232,1.897,0.245,4.1,0.52,1023.0,75.93,2.18
2021-01-26,596.117,0.94,90.912,556.536,1.9,0.246,4.1,0.6,998.0,75.93,2.19
2021-01-27,605.462,0.93,82.735,550.283,1.909,0.244,4.1,0.83,1009.0,75.93,2.22
2021-01-28,613.571,0.93,82.735,532.004,1.884,0.243,4.1,1.1,1108.0,75.93,2.31
2021-01-29,603.126,0.92,81.773,520.46,1.877,0.238,4.2,1.3,1272.0,75.93,2.39
2021-01-30,590.55,0.92,78.406,503.624,1.895,0.235,4.3,1.3,1231.0,75.93,2.4
2021-01-31,593.918,0.92,80.33,506.51,1.907,0.233,4.3,1.3,1221.0,75.93,2.4
2021-02-01,598.178,0.91,82.254,512.763,1.896,0.226,4.4,1.3,1224.0,75.93,2.4
2021-02-02,596.048,0.9,80.811,496.409,1.915,0.216,4.6,1.36,1176.0,75.93,2.41
2021-02-03,579.899,0.88,78.406,486.788,1.929,0.21,4.8,1.58,1157.0,75.93,2.44
2021-02-04,556.948,0.87,79.368,475.725,1.98,0.197,5.1,1.9,1241.0,75.93,2.47
2021-02-05,533.928,0.85,77.925,475.244,1.997,0.186,5.4,2.16,1315.0,75.93,2.5
2021-02-06,502.593,0.85,76.482,445.421,2.003,0.184,5.4,2.18,1348.0,75.93,2.5
2021-02-07,496.752,0.85,76.482,447.826,2.01,0.182,5.5,2.18,1348.0,75.93,2.5
2021-02-08,492.286,0.85,77.925,455.041,1.801,0.176,5.7,2.18,1371.0,75.93,2.5
2021-02-09,403.916,0.84,77.444,454.56,1.757,0.167,6.0,2.19,1303.0,70.37,2.5
2021-02-10,391.272,0.87,76.482,415.598,1.779,0.164,6.1,2.22,1195.0,70.37,2.51
2021-02-11,398.556,0.88,76.482,398.281,1.772,0.167,6.0,2.31,1282.0,70.37,2.52
2021-02-12,400.893,0.88,75.039,379.522,1.766,0.169,5.9,2.39,1488.0,70.37,2.55
2021-02-13,408.658,0.88,71.671,354.99,1.748,0.169,5.9,2.4,1508.0,70.37,2.55
2021-02-14,396.838,0.88,66.861,355.952,1.752,0.169,5.9,2.4,1511.0,70.37,2.55
2021-02-15,397.182,0.89,64.937,354.99,1.953,0.17,5.9,2.4,1489.0,61.11,2.55
2021-02-16,423.019,0.89,61.089,332.382,1.959,0.177,5.6,2.41,1558.0,61.11,2.55
2021-02-17,399.312,0.89,62.051,311.699,1.875,0.181,5.5,2.44,1716.0,61.11,2.59
2021-02-18,367.222,0.9,56.279,297.749,1.835,0.187,5.3,2.47,1739.0,61.11,2.81
2021-02-19,361.655,0.91,55.317,299.673,1.83,0.196,5.1,2.5,1607.0,61.11,3.09
2021-02-20,357.601,0.93,52.431,278.508,1.82,0.198,5.1,2.5,1719.0,61.11,3.11
2021-02-21,363.511,0.93,49.545,272.255,1.805,0.2,5.0,2.5,1717.0,61.11,3.11
2021-02-22,359.663,0.94,50.507,280.913,1.802,0.206,4.9,2.5,1744.0,61.11,3.13
2021-02-23,370.795,0.95,51.469,272.736,1.814,0.205,4.9,2.5,1773.0,61.11,3.16
2021-02-24,371.001,0.95,50.507,262.635,1.835,0.202,5.0,2.51,1873.0,61.11,3.39
2021-02-25,362.686,0.95,50.026,262.635,1.83,0.203,4.9,2.52,2006.0,61.11,3.77
2021-02-26,362.824,0.96,45.216,254.458,1.862,0.199,5.0,2.55,2078.0,61.11,4.02
2021-02-27,362.48,0.97,45.697,246.761,1.899,0.196,5.1,2.55,1968.0,69.44,4.12
2021-02-28,365.16,0.98,44.735,254.458,1.9,0.196,5.1,2.55,1968.0,69.44,4.12
