date,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-18,1150.021,4.565,1.42,0.15,6.7,0.0,1503.0,71.3,0.9
2021-01-19,1158.662,4.553,1.38,0.151,6.6,0.02,1460.0,71.3,1.07
2021-01-20,1168.586,5.375,1.35,0.149,6.7,0.03,1358.0,71.3,1.25
2021-01-21,1177.227,5.995,1.31,0.15,6.7,0.1,1305.0,71.3,1.46
2021-01-24,1185.782,6.499,1.22,0.145,6.9,0.19,1169.0,71.3,1.68
2021-01-25,1202.187,7.452,1.19,0.149,6.7,0.26,1202.0,71.3,1.79
2021-01-26,1214.721,8.008,1.15,0.148,6.8,0.37,1193.0,71.3,1.9
2021-01-27,1225.351,8.109,1.12,0.145,6.9,0.41,1130.0,71.3,2.02
2021-01-28,1236.365,8.448,1.08,0.138,7.3,0.54,1133.0,71.3,2.14
2021-01-31,1247.338,8.794,1.0,0.139,7.2,0.77,1136.0,71.3,2.29
2021-02-01,1263.635,8.778,0.97,0.132,7.6,0.9,1167.0,71.3,2.35
2021-02-02,1279.12,9.2,0.94,0.129,7.8,1.07,1248.0,71.3,2.39
2021-02-03,1291.205,9.408,0.91,0.125,8.0,1.25,1435.0,71.3,2.45
2021-02-04,1300.444,9.154,0.88,0.123,8.1,1.46,1570.0,71.3,2.5
2021-02-07,1312.935,9.371,0.78,0.126,8.0,1.68,1515.0,71.3,2.56
2021-02-08,1332.377,9.82,0.75,0.107,9.3,1.79,1510.0,71.3,2.58
2021-02-09,1348.76,9.949,0.73,0.102,9.8,1.9,1431.0,71.3,2.61
2021-02-10,1362.513,10.187,0.71,0.095,10.5,2.02,1391.0,71.3,2.63
2021-02-11,1373.485,10.434,0.7,0.089,11.2,2.14,1329.0,71.3,2.66
2021-02-14,1384.821,10.269,0.68,0.092,10.9,2.29,1395.0,71.3,2.7
2021-02-15,1399.835,9.637,0.67,0.083,12.1,2.35,1397.0,71.3,2.71
2021-02-16,1411.171,8.916,0.67,0.082,12.2,2.39,1397.0,71.3,2.75
2021-02-17,1418.379,7.981,0.67,0.08,12.5,2.45,1412.0,71.3,2.8
2021-02-18,1426.678,7.599,0.69,0.082,12.2,2.5,1567.0,71.3,2.87
2021-02-21,1435.169,7.193,0.69,0.084,12.0,2.56,1616.0,68.52,2.96
