date,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-14,10.368,0.94,5.489,0.126,7.9,0.4,2234.0,71.76,1.27
2021-01-15,10.272,0.93,5.439,0.121,8.3,0.48,2388.0,71.76,1.43
2021-01-19,9.267,0.86,5.149,0.113,8.8,0.6,2725.0,71.76,1.81
2021-01-20,9.436,0.86,5.159,0.109,9.2,0.65,2668.0,71.76,1.92
2021-01-21,9.524,0.85,5.146,0.107,9.3,0.72,2733.0,71.76,2.07
2021-01-22,9.506,0.85,5.097,0.104,9.6,0.82,2917.0,71.76,2.24
2021-01-23,9.473,0.85,5.08,0.101,9.9,0.91,3162.0,71.76,2.49
2021-01-24,9.477,0.85,5.051,0.099,10.1,0.96,3355.0,71.76,2.74
2021-01-25,9.659,0.85,5.025,0.101,9.9,1.0,3368.0,71.76,2.85
2021-01-26,10.214,0.85,5.012,0.099,10.1,1.04,3346.0,71.76,2.94
2021-01-27,10.025,0.84,4.983,0.097,10.3,1.14,3472.0,71.76,3.13
2021-01-28,9.945,0.84,4.921,0.094,10.6,1.27,3694.0,71.76,3.35
2021-01-29,9.846,0.84,4.886,0.09,11.1,1.43,3749.0,71.76,3.61
2021-01-30,9.603,0.83,4.838,0.09,11.1,1.57,3861.0,71.76,3.91
2021-01-31,9.589,0.83,4.815,0.088,11.4,1.69,3962.0,71.76,4.21
2021-02-02,9.382,0.81,4.67,0.088,11.4,1.81,3947.0,71.76,4.49
2021-02-03,9.356,0.8,4.591,0.085,11.8,1.92,3941.0,68.06,4.63
2021-02-04,9.239,0.79,4.604,0.081,12.3,2.07,3849.0,68.06,4.83
2021-02-05,9.26,0.79,4.603,0.08,12.5,2.24,3816.0,68.06,5.09
2021-02-06,9.211,0.78,4.56,0.076,13.2,2.49,4041.0,68.06,5.35
2021-02-07,9.03,0.78,4.511,0.075,13.3,2.74,4309.0,68.06,5.64
2021-02-08,8.835,0.78,4.515,0.071,14.1,2.85,4355.0,68.06,5.81
2021-02-09,8.679,0.78,4.541,0.068,14.7,2.94,4453.0,68.06,5.94
2021-02-10,8.415,0.77,4.441,0.068,14.7,3.13,4652.0,68.06,6.16
2021-02-11,8.196,0.77,4.219,0.069,14.5,3.35,4778.0,68.06,6.45
