date,country,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,people_fully_vaccinated_per_hundred_2,people_fully_vaccinated_per_hundred_ave,daily_vaccinations_per_million_ave
2020-12-11,Scotland,0.29,0.0,856.0,0.0,0.0,264.0
2020-12-12,Scotland,0.33,0.0,739.0,0.0,0.0,234.0
2020-12-13,Scotland,0.35,0.0,632.0,0.0,0.0,206.75
2020-12-14,Scotland,0.45,0.0,700.0,0.0,0.0,542.1428571428571
2020-12-15,Scotland,0.59,0.0,791.0,0.0,0.0,448.6666666666667
2020-12-16,Scotland,0.72,0.0,878.0,0.0,0.0,348.0769230769231
2020-12-17,Scotland,0.85,0.0,934.0,0.0,0.0,321.53333333333336
2020-12-18,Scotland,1.0,0.0,1017.0,0.0,0.0,317.6875
2020-12-19,Scotland,1.06,0.0,1049.0,0.0,0.0,331.625
2020-12-20,Scotland,1.11,0.0,1086.0,0.0,0.0,389.7647058823529
2020-12-21,Scotland,1.28,0.0,1186.0,0.0,0.0,443.77777777777777
2020-12-22,Scotland,1.5,0.0,1302.0,0.02,0.0,523.6111111111111
2020-12-23,Scotland,1.68,0.0,1379.0,0.04,0.0,559.7
2020-12-24,Scotland,1.74,0.0,1268.0,0.04,0.0,879.4761904761905
2020-12-25,Scotland,1.74,0.0,1048.0,0.05,0.0,608.92
2020-12-27,Europe,0.15,0.0,78.0,0.05,0.0,737.3076923076923
2020-12-27,European Union,0.01,0.0,18.0,0.0,0.0,737.3076923076923
2020-12-27,Germany,0.03,0.0,213.0,0.0,0.0,737.3076923076923
2020-12-27,High income,0.28,0.0,255.0,0.05,0.0,737.3076923076923
2020-12-27,Scotland,1.74,0.0,906.0,0.05,0.0,737.3076923076923
2020-12-27,World,0.05,0.0,42.0,0.01,0.0,737.3076923076923
2020-12-28,Europe,0.15,0.0,85.0,0.06,0.0,639.6756756756756
2020-12-28,European Union,0.02,0.0,30.0,0.0,0.0,639.6756756756756
2020-12-28,Germany,0.05,0.0,213.0,0.0,0.0,639.6756756756756
2020-12-28,High income,0.31,0.0,287.0,0.05,0.0,639.6756756756756
2020-12-28,Scotland,1.78,0.0,702.0,0.05,0.0,639.6756756756756
2020-12-28,World,0.05,0.0,47.0,0.01,0.0,639.6756756756756
2020-12-29,Belgium,0.0,0.0,1.0,0.0,0.0,629.25
2020-12-29,England,1.59,0.0,434.0,0.72,0.0,629.25
2020-12-29,Europe,0.17,0.0,98.0,0.06,0.0,629.25
2020-12-29,European Union,0.04,0.0,59.0,0.0,0.0,629.25
2020-12-29,Germany,0.11,0.0,403.0,0.0,0.0,629.25
2020-12-29,High income,0.33,0.0,310.0,0.06,0.0,629.25
2020-12-29,Scotland,1.91,0.0,592.0,0.05,0.0,629.25
2020-12-29,World,0.05,0.0,51.0,0.01,0.0,629.25
2020-12-30,Belgium,0.01,0.0,22.0,0.0,0.0016666666666666668,669.3260869565217
2020-12-30,England,1.78,0.01,508.0,0.74,0.0016666666666666668,669.3260869565217
2020-12-30,Europe,0.19,0.0,127.0,0.06,0.0016666666666666668,669.3260869565217
2020-12-30,European Union,0.07,0.0,105.0,0.0,0.0016666666666666668,669.3260869565217
2020-12-30,Germany,0.18,0.0,515.0,0.0,0.0016666666666666668,669.3260869565217
2020-12-30,High income,0.4,0.0,364.0,0.07,0.0016666666666666668,669.3260869565217
2020-12-30,Scotland,2.05,0.0,528.0,0.06,0.0016666666666666668,669.3260869565217
2020-12-30,World,0.07,0.0,60.0,0.01,0.0016666666666666668,669.3260869565217
2020-12-31,Belgium,0.01,0.0,15.0,0.0,0.0033333333333333335,707.26
2020-12-31,England,1.94,0.02,667.0,0.75,0.0033333333333333335,707.26
2020-12-31,Europe,0.2,0.0,147.0,0.06,0.0033333333333333335,707.26
2020-12-31,European Union,0.1,0.0,139.0,0.0,0.0033333333333333335,707.26
2020-12-31,Germany,0.24,0.0,536.0,0.0,0.0033333333333333335,707.26
2020-12-31,High income,0.43,0.0,385.0,0.18,0.0033333333333333335,707.26
