date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,people_fully_vaccinated_per_hundred_2
2021-02-03,12.426,0.542,0.0,34.0,0.0
2021-02-04,11.967,0.496,0.0,39.0,0.0
2021-02-05,11.614,0.464,0.0,44.0,0.0
2021-02-06,11.154,0.457,0.0,41.0,0.0
2021-02-08,10.587,0.432,0.0,38.0,0.01
2021-02-09,10.217,0.412,0.0,39.0,0.01
2021-02-10,9.967,0.394,0.0,48.0,0.01
2021-02-11,9.476,0.386,0.0,55.0,0.01
2021-02-12,9.265,0.388,0.0,77.0,0.01
2021-02-13,8.984,0.367,0.0,100.0,0.02
2021-02-15,8.673,0.363,0.0,125.0,0.02
2021-02-16,8.532,0.339,0.0,139.0,0.03
2021-02-17,8.447,0.324,0.0,144.0,0.03
2021-02-18,8.663,0.326,0.0,149.0,0.04
2021-02-19,8.353,0.307,0.0,144.0,0.05
2021-02-20,8.209,0.3,0.0,125.0,0.05
2021-02-21,8.123,0.305,0.0,108.0,0.05
2021-02-22,8.03,0.29,0.01,104.0,0.06
2021-02-23,7.786,0.291,0.01,95.0,0.06
2021-02-24,7.595,0.283,0.01,107.0,0.08
2021-02-25,7.423,0.266,0.01,121.0,0.08
2021-02-26,7.432,0.259,0.01,124.0,0.1
2021-02-27,7.247,0.264,0.02,133.0,0.12
2021-02-28,7.236,0.253,0.02,133.0,0.12
2021-03-01,7.217,0.25,0.02,143.0,0.14
2021-03-02,7.213,0.239,0.03,149.0,0.16
2021-03-03,7.253,0.234,0.03,135.0,0.17
2021-03-04,7.265,0.231,0.04,121.0,0.17
2021-03-05,6.995,0.221,0.05,120.0,0.19
2021-03-06,7.221,0.213,0.05,122.0,0.2
2021-03-07,7.113,0.214,0.05,126.0,0.2
2021-03-08,7.16,0.221,0.06,140.0,0.2
2021-03-09,7.173,0.213,0.06,137.0,0.21
2021-03-10,7.121,0.215,0.08,155.0,0.23
2021-03-11,7.435,0.215,0.08,160.0,0.25
2021-03-12,7.569,0.215,0.1,168.0,0.26
2021-03-13,7.607,0.218,0.12,189.0,0.27
2021-03-14,7.636,0.22,0.12,186.0,0.27
2021-03-15,7.543,0.213,0.14,191.0,0.28
2021-03-16,7.666,0.215,0.16,201.0,0.29
2021-03-17,7.741,0.212,0.17,186.0,0.3
2021-03-18,7.315,0.205,0.17,186.0,0.31
2021-03-19,7.617,0.239,0.19,183.0,0.31
2021-03-20,7.499,0.229,0.2,150.0,0.32
2021-03-21,7.545,0.226,0.2,151.0,0.32
2021-03-22,7.671,0.221,0.2,122.0,0.32
2021-03-23,7.628,0.223,0.21,112.0,0.32
2021-03-24,7.604,0.228,0.23,191.0,0.33
2021-03-25,7.728,0.241,0.25,201.0,0.33
2021-03-26,8.354,0.22,0.26,200.0,0.33
2021-03-27,8.383,0.219,0.27,225.0,0.34
2021-03-28,8.373,0.214,0.27,250.0,0.34
2021-03-29,8.386,0.22,0.28,260.0,0.34
2021-03-30,8.511,0.215,0.29,265.0,0.34
2021-03-31,8.709,0.208,0.3,219.0,0.34
2021-04-01,9.738,0.21,0.31,215.0,0.34
2021-04-02,9.166,0.2,0.31,203.0,0.34
2021-04-03,9.092,0.197,0.32,183.0,0.34
2021-04-04,9.146,0.207,0.32,162.0,0.35
2021-04-05,9.098,0.198,0.32,156.0,0.35
2021-04-06,9.078,0.194,0.32,171.0,0.35
2021-04-07,8.963,0.195,0.33,158.0,0.35
2021-04-08,8.397,0.189,0.33,210.0,0.35
2021-04-09,8.329,0.19,0.33,210.0,0.35
2021-04-10,8.429,0.196,0.34,213.0,0.35
2021-04-11,8.448,0.198,0.34,222.0,0.35
2021-04-12,8.548,0.202,0.34,217.0,0.35
2021-04-13,8.583,0.219,0.34,191.0,0.36
2021-04-14,8.823,0.23,0.34,189.0,0.36
2021-04-15,8.383,0.226,0.34,123.0,0.36
2021-04-16,8.329,0.231,0.34,131.0,0.36
2021-04-17,8.717,0.237,0.34,146.0,0.37
2021-04-18,8.679,0.233,0.35,190.0,0.37
2021-04-19,8.526,0.237,0.35,202.0,0.37
2021-04-20,8.547,0.238,0.35,209.0,0.38
2021-04-21,8.328,0.232,0.35,193.0,0.38
2021-04-22,8.315,0.231,0.35,191.0,0.38
2021-04-23,8.323,0.238,0.35,187.0,0.39
2021-04-24,7.981,0.234,0.35,161.0,0.39
2021-04-25,8.003,0.238,0.35,109.0,0.41
2021-04-26,7.795,0.238,0.35,96.0,0.41
2021-04-27,7.731,0.233,0.36,96.0,0.42
2021-04-28,7.482,0.236,0.36,187.0,0.43
2021-04-29,7.804,0.245,0.36,186.0,0.43
2021-04-30,7.528,0.232,0.36,183.0,0.44
2021-05-01,7.283,0.237,0.37,191.0,0.44
2021-05-02,6.911,0.231,0.37,188.0,0.44
2021-05-03,6.96,0.227,0.37,197.0,0.45
2021-05-04,6.711,0.223,0.38,210.0,0.46
2021-05-05,6.684,0.224,0.38,125.0,0.47
2021-05-06,6.385,0.222,0.38,132.0,0.48
2021-05-07,6.319,0.226,0.39,177.0,0.49
2021-05-08,6.123,0.22,0.39,191.0,0.5
2021-05-09,6.491,0.223,0.41,262.0,0.5
2021-05-10,6.628,0.233,0.41,293.0,0.51
2021-05-11,6.616,0.231,0.42,307.0,0.52
2021-05-12,6.572,0.227,0.43,395.0,0.53
2021-05-13,6.215,0.211,0.43,397.0,0.53
