date,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-20,3.897,0.97,0.896,0.16,6.2,0.54,0.01,256.0,79.17,0.25
2021-01-21,3.888,0.96,0.892,0.158,6.3,0.55,0.04,259.0,79.17,0.32
2021-01-23,4.558,0.94,0.844,0.159,6.3,0.57,0.06,246.0,79.17,0.36
2021-01-24,4.488,0.93,0.825,0.159,6.3,0.58,0.07,229.0,79.17,0.4
2021-01-25,3.799,0.93,0.812,0.157,6.4,0.58,0.07,200.0,79.17,0.42
2021-01-26,3.752,0.92,0.789,0.158,6.3,0.59,0.09,213.0,79.17,0.42
2021-01-27,3.853,0.91,0.777,0.156,6.4,0.6,0.1,222.0,79.17,0.44
2021-01-28,3.938,0.91,0.77,0.154,6.5,0.61,0.11,197.0,79.17,0.47
2021-01-29,3.793,0.91,0.775,0.149,6.7,0.62,0.15,204.0,79.17,0.49
2021-01-30,3.774,0.9,0.795,0.145,6.9,0.62,0.19,248.0,79.17,0.52
2021-02-01,3.84,0.9,0.855,0.134,7.5,0.62,0.21,264.0,79.17,0.53
2021-02-03,3.49,0.89,0.896,0.124,8.1,0.63,0.25,248.0,79.17,0.53
2021-02-04,3.474,0.88,0.895,0.123,8.1,0.66,0.32,367.0,79.17,0.54
2021-02-06,3.727,0.88,0.855,0.123,8.1,0.68,0.36,332.0,79.17,0.58
2021-02-07,3.784,0.87,0.816,0.126,7.9,0.71,0.4,411.0,79.17,0.58
2021-02-08,3.632,0.87,0.795,0.125,8.0,0.71,0.42,429.0,79.17,0.58
2021-02-09,3.603,0.87,0.769,0.125,8.0,0.71,0.42,401.0,79.17,0.59
2021-02-10,3.588,0.87,0.753,0.123,8.1,0.75,0.44,439.0,79.17,0.59
2021-02-11,3.711,0.87,0.754,0.12,8.3,0.8,0.47,407.0,79.17,0.6
2021-02-12,3.3,0.87,0.76,0.117,8.5,0.81,0.49,423.0,79.17,0.63
2021-02-13,3.407,0.88,0.776,0.114,8.8,0.82,0.52,426.0,79.17,0.64
2021-02-14,3.366,0.88,0.781,0.112,8.9,0.82,0.53,343.0,79.17,0.65
2021-02-15,2.936,0.88,0.759,0.108,9.3,0.82,0.53,310.0,79.17,0.65
2021-02-16,2.737,0.88,0.733,0.1,10.0,0.83,0.53,310.0,79.17,0.67
2021-02-17,2.978,0.91,0.747,0.098,10.2,0.83,0.53,243.0,79.17,0.68
2021-02-18,3.107,0.93,0.766,0.098,10.2,0.87,0.54,198.0,77.31,0.69
2021-02-19,3.069,0.95,0.778,0.097,10.3,0.92,0.56,243.0,77.31,0.72
2021-02-21,3.041,0.97,0.774,0.099,10.1,1.01,0.58,350.0,77.31,0.76
2021-02-22,3.262,0.98,0.795,0.103,9.7,1.02,0.58,355.0,77.31,0.76
2021-02-23,3.407,0.99,0.816,0.109,9.2,1.07,0.59,428.0,77.31,0.77
2021-02-24,3.268,0.99,0.799,0.112,8.9,1.14,0.59,531.0,77.31,0.77
2021-02-25,2.965,0.98,0.766,0.115,8.7,1.24,0.6,614.0,77.31,0.78
2021-02-26,2.804,0.98,0.747,0.115,8.7,1.37,0.63,744.0,77.31,0.84
2021-02-27,2.605,0.98,0.739,0.114,8.8,1.54,0.64,878.0,77.31,0.93
2021-02-28,2.424,0.99,0.743,0.113,8.8,1.62,0.65,963.0,77.31,0.99
2021-03-01,2.269,0.99,0.726,0.115,8.7,1.67,0.65,1033.0,77.31,1.0
2021-03-02,2.156,1.0,0.716,0.116,8.6,1.82,0.67,1200.0,77.31,1.06
2021-03-03,2.538,1.01,0.709,0.118,8.5,1.94,0.68,1267.0,77.31,1.1
2021-03-04,2.684,1.01,0.714,0.117,8.5,2.08,0.69,1336.0,77.31,1.14
2021-03-05,2.835,1.02,0.712,0.118,8.5,2.28,0.72,1434.0,77.31,1.23
2021-03-07,2.892,1.03,0.683,0.125,8.0,2.62,0.76,1584.0,77.31,1.34
2021-03-08,3.3,1.04,0.685,0.124,8.1,2.66,0.76,1573.0,71.76,1.34
2021-03-09,3.351,1.05,0.69,0.124,8.1,2.88,0.77,1653.0,71.76,1.38
2021-03-10,2.864,1.06,0.694,0.125,8.0,3.15,0.77,1875.0,71.76,1.4
2021-03-11,2.684,1.07,0.693,0.126,7.9,3.46,0.78,2107.0,71.76,1.41
