date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-16,213.182,5.805,0.9,37.973,185.202,57.855,0.014,69.3,1287.0,82.41,0.23
2021-01-17,207.091,5.694,0.88,36.419,181.538,58.455,0.014,69.3,1342.0,82.41,0.25
2021-01-18,201.143,5.948,0.88,37.085,185.757,59.929,0.014,69.3,1434.0,82.41,0.28
2021-01-19,199.731,6.027,0.87,36.863,191.975,16.073,0.014,69.3,1613.0,82.41,0.44
2021-01-20,195.829,5.853,0.87,35.863,186.867,23.78,0.014,69.3,1735.0,82.41,0.61
2021-01-21,167.151,5.821,0.88,37.751,178.318,18.324,0.014,69.3,1783.0,82.41,0.81
2021-01-22,176.034,5.441,0.9,36.752,176.097,17.992,0.014,69.3,1674.0,82.41,1.0
2021-01-23,174.495,5.33,0.89,35.863,169.324,18.152,0.014,69.3,1615.0,82.41,1.07
2021-01-24,173.464,5.33,0.89,35.863,168.547,18.151,0.014,69.3,1545.0,82.41,1.12
2021-01-25,171.053,5.219,0.88,35.641,171.878,17.528,0.014,69.3,1386.0,82.41,1.2
2021-01-26,169.959,5.012,0.89,34.753,175.764,16.296,0.014,69.3,1110.0,82.41,1.39
2021-01-27,169.483,5.187,0.88,33.754,169.435,8.062,0.014,69.3,861.0,82.41,1.59
2021-01-28,165.47,5.06,0.88,33.754,164.106,8.793,0.014,69.3,703.0,82.41,1.81
2021-01-29,156.143,5.203,0.89,32.754,158.554,8.989,0.014,69.3,758.0,82.41,2.01
2021-01-30,153.795,4.981,0.91,32.977,153.78,9.564,0.014,69.3,767.0,82.41,2.07
2021-01-31,153.605,4.806,0.92,32.977,154.002,9.845,0.014,69.3,769.0,82.41,2.09
2021-02-01,155.429,5.187,0.92,32.643,159.109,10.77,0.014,69.3,819.0,82.41,2.12
2021-02-02,152.637,5.266,0.93,33.31,158.665,10.423,0.015,68.3,959.0,82.41,2.21
2021-02-03,150.718,5.361,0.93,33.643,153.557,11.864,0.013,78.7,1122.0,82.41,2.31
2021-02-04,151.813,5.219,0.93,33.088,149.005,12.116,0.013,79.8,1292.0,82.41,2.4
2021-02-05,150.036,4.996,0.94,33.31,144.786,12.372,0.012,82.5,1392.0,82.41,2.5
