date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2020-12-29,151.638,6.656,0.88,42.969,208.549,2.381,0.071,14.1,0.0,1.0,60.19,0.0
2020-12-30,146.942,6.188,0.89,42.797,201.301,2.276,0.073,13.7,0.0,22.0,60.19,0.0
2020-12-31,142.887,6.04,0.9,42.624,188.703,2.197,0.072,13.9,0.0,15.0,60.19,0.0
2021-01-01,136.119,6.065,0.91,42.193,179.557,2.184,0.073,13.7,0.0,11.0,60.19,0.0
2021-01-02,137.303,5.991,0.92,41.503,183.095,2.192,0.072,13.9,0.0,9.0,60.19,0.0
2021-01-04,137.475,6.36,0.97,40.036,192.068,2.383,0.067,14.9,0.0,7.0,60.19,0.0
2021-01-05,139.583,5.744,1.01,37.102,183.785,2.613,0.062,16.1,0.0,28.0,60.19,0.01
2021-01-06,141.629,5.448,1.03,34.859,179.126,2.891,0.059,16.9,0.0,70.0,60.19,0.01
2021-01-07,149.876,5.029,1.05,32.874,174.121,3.063,0.057,17.5,0.0,172.0,60.19,0.01
2021-01-08,153.019,5.066,1.05,32.529,172.223,3.489,0.055,18.2,0.0,287.0,60.19,0.01
2021-01-09,166.713,4.857,1.05,32.702,166.27,3.732,0.054,18.5,0.0,327.0,60.19,0.01
2021-01-10,175.675,4.647,1.05,32.011,168.685,3.796,0.054,18.5,0.0,332.0,60.19,0.01
2021-01-11,176.71,4.585,1.05,32.615,174.294,3.842,0.053,18.9,0.0,401.0,60.19,0.01
2021-01-12,179.804,4.524,1.05,30.717,169.635,3.929,0.052,19.2,0.0,576.0,60.19,0.03
2021-01-13,178.941,4.524,1.05,31.062,167.65,3.951,0.05,20.0,0.0,795.0,60.19,0.06
2021-01-14,175.416,4.413,1.05,29.854,165.234,3.937,0.05,20.0,0.0,981.0,60.19,0.12
2021-01-15,177.326,4.437,1.04,29.768,162.473,3.906,0.051,19.6,0.0,1157.0,60.19,0.2
2021-01-16,178.916,4.413,1.04,30.372,157.727,3.852,0.053,18.9,0.0,1181.0,60.19,0.23
2021-01-17,179.668,4.4,1.04,31.666,163.25,3.776,0.053,18.9,0.0,1216.0,60.19,0.23
2021-01-18,179.323,4.314,1.04,31.839,170.325,3.697,0.054,18.5,0.0,1283.0,60.19,0.26
2021-01-19,171.681,4.437,1.04,31.149,169.117,3.652,0.055,18.2,0.01,1325.0,60.19,0.39
