date,reproduction_rate,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-18,0.81,501.551,0.969,0.069,14.5,0.27,0.02,113.0,53.7,0.2
2021-01-19,0.82,476.653,0.972,0.064,15.5,0.27,0.05,133.0,53.7,0.22
2021-01-20,0.85,463.845,0.936,0.066,15.2,0.29,0.06,146.0,53.7,0.24
2021-01-21,0.89,463.413,0.946,0.063,15.8,0.3,0.07,156.0,53.7,0.25
2021-01-22,0.94,438.228,0.951,0.063,15.8,0.31,0.07,164.0,53.7,0.25
2021-01-23,0.97,409.3,0.971,0.063,15.9,0.31,0.07,160.0,53.7,0.25
2021-01-24,1.01,411.171,0.968,0.064,15.7,0.31,0.07,158.0,53.7,0.25
2021-01-25,1.05,413.618,0.968,0.068,14.7,0.32,0.07,147.0,53.7,0.25
2021-01-26,1.06,406.134,1.083,0.066,15.1,0.34,0.08,142.0,53.7,0.26
2021-01-27,1.07,405.558,1.242,0.06,16.8,0.36,0.11,181.0,53.7,0.27
2021-01-28,1.09,412.322,1.349,0.057,17.7,0.39,0.16,255.0,53.7,0.28
2021-01-29,1.11,414.049,1.444,0.055,18.3,0.4,0.19,302.0,53.7,0.3
2021-01-30,1.12,409.876,1.522,0.053,18.9,0.4,0.19,306.0,53.7,0.3
2021-01-31,1.14,412.466,1.523,0.053,18.8,0.4,0.19,308.0,53.7,0.3
2021-02-01,1.16,415.345,1.539,0.053,18.8,0.42,0.2,326.0,53.7,0.31
2021-02-02,1.18,410.164,1.498,0.057,17.6,0.44,0.22,345.0,53.7,0.33
2021-02-03,1.19,417.503,1.412,0.062,16.2,0.48,0.24,354.0,53.7,0.35
2021-02-04,1.21,427.29,1.342,0.07,14.3,0.53,0.25,337.0,53.7,0.37
2021-02-05,1.21,436.501,1.306,0.075,13.3,0.57,0.25,330.0,53.7,0.38
2021-02-06,1.21,441.825,1.169,0.087,11.5,0.57,0.25,329.0,53.7,0.39
2021-02-07,1.22,450.892,1.219,0.084,11.9,0.57,0.25,327.0,53.7,0.39
2021-02-08,1.22,449.885,1.322,0.082,12.2,0.6,0.25,334.0,53.7,0.4
2021-02-09,1.22,439.955,1.324,0.086,11.7,0.64,0.26,340.0,53.7,0.43
2021-02-10,1.21,450.317,1.329,0.088,11.3,0.68,0.27,330.0,53.7,0.46
2021-02-11,1.2,464.852,1.366,0.089,11.3,0.74,0.28,352.0,53.7,0.5
2021-02-12,1.19,474.495,1.392,0.088,11.4,0.78,0.3,367.0,53.7,0.54
2021-02-13,1.19,477.373,1.431,0.086,11.7,0.79,0.3,376.0,53.7,0.54
2021-02-14,1.19,485.72,1.47,0.083,12.0,0.79,0.3,377.0,53.7,0.54
2021-02-15,1.2,492.916,1.365,0.089,11.3,0.81,0.31,381.0,53.7,0.56
2021-02-16,1.22,492.34,1.353,0.092,10.9,0.84,0.33,389.0,53.7,0.6
2021-02-17,1.24,505.581,1.351,0.097,10.3,0.89,0.35,406.0,53.7,0.6
2021-02-18,1.25,519.972,1.349,0.097,10.3,0.94,0.37,399.0,53.7,0.67
2021-02-19,1.27,533.069,1.33,0.106,9.4,1.12,0.38,608.0,53.7,0.72
2021-02-20,1.27,543.287,1.422,0.1,10.0,1.17,0.39,679.0,53.7,0.72
2021-02-21,1.29,553.505,1.357,0.106,9.4,1.33,0.39,904.0,53.7,0.72
2021-02-22,1.32,558.398,1.376,0.117,8.5,1.48,0.4,1103.0,53.7,0.73
2021-02-23,1.32,566.026,1.43,0.119,8.4,1.71,0.43,1375.0,53.7,0.74
2021-02-24,1.33,580.993,1.459,0.124,8.1,1.96,0.46,1697.0,53.7,0.76
2021-02-25,1.32,604.74,1.469,0.133,7.5,2.21,0.5,2015.0,53.7,0.78
2021-02-26,1.31,628.63,1.505,0.133,7.5,2.41,0.54,2059.0,53.7,0.83
2021-02-27,1.31,647.915,1.513,0.14,7.2,2.48,0.54,2085.0,53.7,0.83
2021-02-28,1.31,672.668,1.569,0.136,7.4,2.52,0.54,1914.0,53.7,0.84
2021-03-01,1.31,682.743,1.564,0.145,6.9,2.66,0.56,1901.0,53.7,0.86
2021-03-02,1.3,687.492,1.615,0.148,6.7,2.91,0.6,1964.0,53.7,0.89
2021-03-03,1.29,720.881,1.646,0.138,7.2,2.97,0.6,1639.0,53.7,0.92
2021-03-04,1.31,732.97,1.525,0.154,6.5,3.19,0.67,1645.0,53.7,0.96
2021-03-05,1.33,763.768,1.515,0.173,5.8,3.38,0.72,1645.0,53.7,1.0
2021-03-06,1.33,786.219,1.58,0.17,5.9,3.41,0.72,1590.0,53.7,1.02
2021-03-07,1.33,810.109,1.623,0.168,5.9,3.43,0.72,1566.0,53.7,1.03
2021-03-08,1.33,831.265,1.631,0.172,5.8,3.5,0.73,1451.0,53.7,1.06
2021-03-09,1.34,849.543,1.634,0.186,5.4,3.61,0.74,1200.0,53.7,1.13
2021-03-10,1.33,865.949,1.67,0.202,5.0,3.69,0.76,1254.0,53.7,1.15
2021-03-11,1.33,920.35,1.878,0.19,5.3,3.89,0.78,1149.0,53.7,1.2
2021-03-12,1.32,950.428,1.963,0.183,5.5,4.02,0.83,1073.0,53.7,1.25
2021-03-13,1.32,981.227,1.832,0.203,4.9,4.03,0.83,1044.0,55.09,1.26
2021-03-14,1.32,999.936,1.833,0.205,4.9,4.04,0.84,1033.0,55.09,1.27
2021-03-15,1.32,1021.955,1.988,0.206,4.9,4.05,0.86,978.0,50.93,1.3
2021-03-16,1.3,1046.133,2.035,0.21,4.8,4.09,0.89,901.0,50.93,1.34
2021-03-17,1.29,1093.77,2.081,0.219,4.6,4.13,0.92,854.0,50.93,1.37
2021-03-18,1.26,1123.129,2.128,0.223,4.5,4.16,0.96,650.0,50.93,1.4
2021-03-19,1.24,1163.138,2.175,0.228,4.4,4.22,1.0,536.0,50.93,1.44
2021-03-20,1.21,1199.117,2.198,0.23,4.3,4.26,1.02,589.0,50.93,1.45
2021-03-21,1.19,1229.772,2.221,0.23,4.3,4.28,1.03,617.0,50.93,1.45
2021-03-22,1.17,1246.322,2.244,0.226,4.4,4.35,1.06,713.0,61.11,1.47
2021-03-23,1.15,1250.496,2.248,0.23,4.3,4.47,1.13,880.0,61.11,1.51
2021-03-24,1.13,1284.748,2.246,0.232,4.3,4.62,1.15,1041.0,61.11,1.55
2021-03-25,1.11,1313.243,2.245,0.232,4.3,4.78,1.2,1224.0,61.11,1.58
2021-03-26,1.09,1335.695,2.229,0.233,4.3,4.94,1.25,1388.0,61.11,1.62
