date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-13,202.087,2.9,1.19,2.699,0.079,12.7,0.01,8.0,79.17,0.05
2021-01-14,205.779,2.847,1.17,2.747,0.078,12.8,0.03,59.0,79.17,0.05
2021-01-15,207.744,2.952,1.15,2.784,0.078,12.8,0.04,85.0,79.17,0.05
2021-01-16,207.386,2.974,1.14,2.837,0.078,12.8,0.04,86.0,79.17,0.05
2021-01-17,208.566,2.847,1.13,2.902,0.078,12.8,0.04,86.0,79.17,0.05
2021-01-18,208.185,2.877,1.12,2.889,0.079,12.7,0.04,168.0,79.17,0.05
2021-01-19,209.366,2.922,1.11,2.884,0.08,12.5,0.04,313.0,79.17,0.05
2021-01-20,210.853,2.915,1.1,2.884,0.082,12.2,0.04,375.0,79.17,0.05
2021-01-21,212.198,3.049,1.09,2.905,0.083,12.0,0.04,346.0,79.17,0.07
2021-01-22,215.868,3.116,1.07,2.932,0.083,12.0,0.04,323.0,79.17,0.07
2021-01-23,217.87,3.131,1.06,2.881,0.084,11.9,0.04,323.0,79.17,0.07
2021-01-24,218.797,3.408,1.05,2.859,0.084,11.9,0.04,323.0,79.17,0.07
2021-01-25,219.918,3.378,1.04,2.856,0.084,11.9,0.05,251.0,79.17,0.13
2021-01-26,219.328,3.363,1.02,2.863,0.083,12.0,0.05,111.0,79.17,0.23
2021-01-27,217.826,3.333,1.01,2.848,0.082,12.2,0.05,41.0,79.17,0.28
2021-01-28,216.989,3.527,1.0,2.825,0.08,12.5,0.05,19.0,79.17,0.29
2021-01-29,214.351,3.52,0.99,2.821,0.08,12.5,0.05,16.0,79.17,0.29
2021-01-30,211.137,3.624,0.97,2.857,0.079,12.7,0.05,16.0,79.17,0.29
2021-01-31,209.239,3.879,0.97,2.819,0.077,13.0,0.05,16.0,79.17,0.29
2021-02-01,207.079,4.021,0.96,2.845,0.075,13.3,0.05,5.0,79.17,0.29
2021-02-02,205.772,4.006,0.95,2.863,0.075,13.3,0.05,99.0,79.17,0.29
2021-02-03,199.957,4.006,0.94,2.81,0.075,13.3,0.05,1372.0,79.17,0.29
2021-02-04,195.003,4.163,0.93,2.797,0.075,13.3,0.07,2688.0,79.17,0.29
2021-02-05,188.845,4.118,0.93,2.754,0.075,13.3,0.07,3954.0,79.17,0.29
2021-02-06,188.187,4.155,0.94,2.729,0.075,13.3,0.07,4162.0,79.17,0.29
2021-02-07,185.161,3.901,0.94,2.688,0.076,13.2,0.07,4226.0,79.17,0.29
2021-02-08,182.807,3.879,0.95,2.627,0.077,13.0,0.13,5969.0,79.17,0.29
2021-02-09,180.505,3.923,0.95,2.579,0.078,12.8,0.23,7828.0,79.17,0.29
2021-02-10,178.839,3.953,0.96,2.551,0.079,12.7,0.28,8653.0,79.17,0.29
2021-02-11,179.877,3.968,0.96,2.556,0.079,12.7,0.29,9236.0,79.17,0.29
2021-02-12,182.732,4.013,0.96,2.55,0.079,12.7,0.29,9685.0,79.17,0.29
2021-02-13,181.701,4.095,0.97,2.51,0.079,12.7,0.29,9698.0,79.17,0.29
2021-02-14,181.768,4.237,0.97,2.51,0.078,12.8,0.29,9667.0,79.17,0.29
2021-02-15,180.782,4.245,0.97,2.511,0.079,12.7,0.29,9911.0,79.17,0.3
2021-02-16,178.233,4.185,0.97,2.475,0.078,12.8,0.29,9598.0,79.17,0.36
2021-02-17,177.396,4.14,0.97,2.446,0.079,12.7,0.29,8905.0,79.17,1.17
2021-02-18,178.121,4.006,0.98,2.435,0.079,12.7,0.29,8166.0,79.17,2.03
2021-02-19,175.378,4.125,0.99,2.393,0.079,12.7,0.29,7513.0,79.17,2.88
2021-02-20,175.236,3.968,1.0,2.373,0.08,12.5,0.29,7364.0,79.17,3.01
2021-02-21,173.757,3.744,1.01,2.336,0.081,12.3,0.29,7339.0,79.17,3.04
2021-02-22,175.378,3.751,1.02,2.366,0.082,12.2,0.29,6161.0,79.17,4.16
2021-02-23,173.959,3.789,1.03,2.346,0.083,12.0,0.29,5221.0,79.17,5.4
