date,new_cases_smoothed_per_million,total_deaths_per_million,reproduction_rate,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-16,816.271,1327.39,0.86,604.446,5.072,0.153,6.5,946.0,73.15,0.36
2021-01-17,773.636,1338.876,0.86,601.458,4.976,0.151,6.6,966.0,73.15,0.37
2021-01-18,752.346,1349.241,0.85,646.84,4.806,0.152,6.6,1025.0,73.15,0.45
2021-01-19,729.748,1367.637,0.83,620.694,4.657,0.153,6.5,1049.0,73.15,0.54
2021-01-20,714.1,1383.885,0.82,604.539,4.534,0.149,6.7,1086.0,73.15,0.64
2021-01-21,678.162,1398.172,0.82,593.614,4.427,0.151,6.6,1115.0,78.7,0.76
2021-01-22,670.225,1412.833,0.85,591.279,4.409,0.149,6.7,1140.0,78.7,0.86
2021-01-23,659.727,1425.906,0.88,544.683,4.399,0.147,6.8,1151.0,78.7,0.89
2021-01-24,646.427,1435.15,0.89,548.325,4.403,0.146,6.8,1149.0,78.7,0.91
2021-01-25,642.345,1442.994,0.89,587.544,4.444,0.142,7.0,1126.0,78.7,1.01
2021-01-26,632.887,1458.402,0.9,584.276,4.473,0.14,7.1,1116.0,78.7,1.13
2021-01-27,627.297,1474.557,0.91,569.802,4.579,0.138,7.2,1079.0,78.7,1.25
2021-01-28,630.992,1488.844,0.92,559.81,4.655,0.137,7.3,1024.0,78.7,1.4
2021-01-29,637.582,1500.796,0.94,554.488,4.707,0.134,7.5,999.0,78.7,1.54
2021-01-30,631.686,1513.776,0.96,512.747,4.765,0.132,7.6,968.0,81.48,1.56
2021-01-31,629.071,1522.834,0.97,517.136,4.825,0.131,7.6,952.0,81.48,1.58
2021-02-01,631.313,1530.678,0.98,565.973,4.932,0.129,7.8,942.0,81.48,1.66
2021-02-02,634.554,1544.965,0.99,556.075,5.013,0.127,7.9,940.0,81.48,1.75
2021-02-03,633.674,1557.851,1.0,553.087,5.088,0.128,7.8,965.0,81.48,1.82
2021-02-04,649.548,1571.204,1.02,555.328,5.188,0.126,7.9,1027.0,81.48,1.9
2021-02-05,651.456,1585.211,1.03,553.647,5.254,0.125,8.0,1054.0,81.48,1.97
2021-02-06,658.966,1599.498,1.04,522.459,5.268,0.127,7.9,1073.0,81.48,1.98
2021-02-07,669.678,1609.397,1.04,535.719,5.296,0.126,7.9,1092.0,81.48,1.99
2021-02-08,668.011,1618.548,1.04,574.378,5.276,0.128,7.8,1139.0,81.48,2.04
2021-02-09,675.241,1633.862,1.05,568.401,5.337,0.129,7.8,1175.0,81.48,2.11
2021-02-10,690.448,1647.402,1.06,561.118,5.339,0.129,7.8,1219.0,81.48,2.16
