date,new_cases_smoothed_per_million,total_deaths_per_million,reproduction_rate,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-04,370.005,239.805,0.81,166.431,13.372,0.028,36.1,0.0,1101.0,67.59,0.05
2021-01-05,354.146,245.157,0.8,162.632,13.069,0.027,36.9,0.0,1209.0,67.59,0.08
2021-01-06,340.384,250.509,0.79,152.964,12.715,0.027,37.4,0.0,1405.0,67.59,0.11
2021-01-07,330.272,256.897,0.78,148.648,13.996,0.024,42.4,0.0,1676.0,67.59,0.15
2021-01-08,310.837,262.076,0.76,149.166,15.095,0.021,48.6,0.0,1821.0,67.59,0.25
2021-01-09,314.043,266.393,0.75,143.814,14.604,0.022,46.5,0.0,1658.0,70.37,0.37
2021-01-10,315.769,271.227,0.73,151.065,14.188,0.022,44.9,0.0,1536.0,70.37,0.48
2021-01-11,295.076,275.888,0.72,158.834,13.58,0.022,46.0,0.0,1494.0,70.37,0.52
2021-01-12,272.361,280.377,0.7,158.316,13.101,0.021,48.1,0.0,1183.0,70.37,0.55
2021-01-13,250.879,286.765,0.69,148.303,12.653,0.02,50.4,0.0,1022.0,70.37,0.63
2021-01-14,205.424,286.765,0.68,144.85,13.154,0.016,64.0,0.0,1038.0,70.37,0.76
2021-01-15,217.731,297.124,0.7,136.736,13.755,0.016,63.2,0.0,1204.0,70.37,1.08
2021-01-16,196.397,301.785,0.7,134.491,14.342,0.014,73.0,0.0,1269.0,70.37,1.29
2021-01-17,187.592,306.619,0.69,137.944,14.997,0.013,79.9,0.01,1325.0,70.37,1.5
2021-01-18,176.937,311.798,0.69,141.052,15.704,0.011,88.8,0.05,1453.0,70.37,1.64
2021-01-19,168.28,317.323,0.68,136.736,16.666,0.01,99.0,0.08,1552.0,70.37,1.69
2021-01-20,156.664,323.366,0.68,133.11,17.598,0.009,112.3,0.11,1324.0,70.37,1.79
2021-01-21,175.384,329.754,0.69,128.621,18.092,0.01,103.2,0.15,984.0,70.37,1.98
2021-01-22,141.126,335.278,0.69,128.621,18.394,0.008,130.3,0.25,771.0,70.37,2.21
2021-01-23,141.101,340.112,0.7,121.37,18.503,0.008,131.1,0.37,849.0,70.37,2.32
2021-01-24,137.771,342.529,0.7,125.168,18.621,0.007,135.2,0.48,943.0,70.37,2.39
2021-01-25,133.283,347.191,0.69,127.413,19.005,0.007,142.6,0.52,865.0,70.37,2.51
2021-01-26,131.531,350.644,0.69,118.09,18.973,0.007,144.2,0.55,803.0,70.37,2.59
2021-01-27,124.231,354.097,0.68,114.982,18.997,0.007,152.9,0.63,832.0,70.37,2.66
2021-01-28,121.962,357.722,0.68,105.487,19.293,0.006,158.2,0.76,943.0,70.37,2.7
2021-01-29,114.144,359.967,0.67,100.653,19.417,0.006,170.1,1.08,1260.0,70.37,2.83
2021-01-30,103.094,363.765,0.68,93.401,19.451,0.005,188.7,1.29,1411.0,70.37,2.85
2021-01-31,93.796,367.045,0.69,91.33,19.389,0.005,206.7,1.5,1565.0,70.37,2.86
2021-02-01,90.417,370.498,0.7,93.919,19.417,0.005,214.7,1.64,1709.0,70.37,2.91
2021-02-02,84.079,373.088,0.71,87.014,19.309,0.004,229.7,1.69,1784.0,70.37,2.93
2021-02-03,79.96,374.814,0.73,83.215,19.248,0.004,240.7,1.79,1861.0,70.37,2.94
2021-02-04,77.148,377.231,0.75,76.655,19.487,0.004,252.6,1.98,1959.0,70.37,2.95
2021-02-05,76.704,380.166,0.77,69.922,19.848,0.004,258.8,2.21,1853.0,70.37,2.96
2021-02-06,76.26,382.583,0.79,65.951,20.048,0.004,262.9,2.32,1702.0,70.37,2.97
2021-02-07,77.715,382.756,0.8,65.26,20.083,0.004,258.4,2.39,1513.0,70.37,2.98
2021-02-08,76.285,382.756,0.81,69.058,20.101,0.004,263.5,2.51,1536.0,66.67,3.0
2021-02-09,75.545,387.59,0.82,64.052,20.081,0.004,265.8,2.59,1620.0,66.67,3.03
2021-02-10,76.655,389.489,0.84,63.879,20.273,0.004,264.5,2.66,1607.0,66.67,3.07
2021-02-11,74.78,391.906,0.85,61.635,20.384,0.004,272.6,2.7,1506.0,66.67,3.08
2021-02-12,74.534,393.805,0.86,58.182,20.354,0.004,273.1,2.83,1625.0,66.67,3.09
2021-02-13,71.105,394.496,0.87,53.175,20.325,0.003,285.8,2.85,1620.0,66.67,3.12
2021-02-14,67.628,395.877,0.89,53.348,20.472,0.003,302.7,2.86,1653.0,66.67,3.14
