date,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-11,3.877,1.0,32.415,3.803,0.121,8.2,0.0,926.0,50.0,0.23
2021-01-12,3.662,0.99,33.169,3.94,0.114,8.7,0.0,902.0,50.0,0.36
2021-01-13,4.308,0.99,33.923,3.81,0.122,8.2,0.0,878.0,50.0,0.47
2021-01-14,4.954,0.98,33.169,3.661,0.114,8.8,0.0,926.0,50.0,0.58
2021-01-15,4.954,0.97,33.169,3.602,0.106,9.4,0.0,825.0,50.0,0.73
2021-01-16,4.523,0.98,33.169,3.522,0.11,9.1,0.0,789.0,50.0,0.77
2021-01-17,4.523,0.98,33.923,3.432,0.112,8.9,0.01,776.0,50.0,0.79
2021-01-18,4.954,0.98,33.169,3.578,0.107,9.4,0.03,795.0,44.44,0.85
2021-01-19,5.6,0.99,34.677,3.496,0.117,8.5,0.06,750.0,44.44,0.97
2021-01-20,5.169,0.98,33.923,3.434,0.111,9.0,0.11,760.0,44.44,1.09
2021-01-21,4.631,0.98,34.677,3.48,0.111,9.0,0.16,803.0,44.44,1.2
2021-01-22,4.523,0.97,33.923,3.498,0.111,9.0,0.18,827.0,44.44,1.32
2021-01-23,5.169,0.98,33.923,3.657,0.103,9.7,0.18,831.0,44.44,1.33
2021-01-24,5.492,0.99,33.923,3.706,0.106,9.5,0.18,838.0,44.44,1.33
2021-01-25,5.385,0.99,30.907,3.668,0.107,9.4,0.23,841.0,44.44,1.38
2021-01-26,5.169,0.99,29.4,3.676,0.099,10.1,0.36,974.0,44.44,1.44
2021-01-27,5.277,1.0,30.907,3.696,0.1,10.0,0.47,1044.0,44.44,1.51
2021-01-28,5.6,1.01,32.415,3.86,0.096,10.4,0.58,1076.0,44.44,1.61
2021-01-29,5.492,1.02,31.661,3.821,0.103,9.7,0.73,1259.0,42.59,1.67
2021-01-30,4.631,1.02,27.892,3.727,0.103,9.7,0.77,1321.0,42.59,1.68
2021-01-31,4.631,1.03,28.646,3.728,0.101,9.9,0.79,1361.0,42.59,1.69
2021-02-01,4.2,1.03,23.369,3.67,0.106,9.5,0.85,1420.0,42.59,1.7
2021-02-02,3.446,1.04,24.123,3.653,0.108,9.3,0.97,1461.0,42.59,1.75
2021-02-03,3.769,1.04,24.877,3.618,0.11,9.1,1.09,1575.0,41.67,1.8
2021-02-04,3.985,1.05,27.138,3.518,0.113,8.9,1.2,1697.0,41.67,1.87
2021-02-05,4.092,1.06,24.877,3.621,0.107,9.4,1.32,1681.0,41.67,1.95
2021-02-06,4.846,1.07,24.877,3.656,0.111,9.0,1.33,1651.0,41.67,1.97
2021-02-07,4.523,1.08,23.369,3.646,0.11,9.1,1.33,1600.0,41.67,1.99
2021-02-08,4.738,1.09,23.369,3.738,0.106,9.4,1.38,1601.0,41.67,2.06
2021-02-09,5.385,1.11,26.384,3.724,0.111,9.0,1.44,1641.0,41.67,2.13
2021-02-10,4.738,1.12,24.877,3.777,0.112,8.9,1.51,1674.0,41.67,2.14
2021-02-11,3.985,1.13,23.369,3.781,0.112,8.9,1.61,1722.0,41.67,2.35
2021-02-12,4.2,1.14,25.631,3.747,0.117,8.6,1.67,1643.0,41.67,2.53
2021-02-13,3.769,1.16,27.138,3.844,0.119,8.4,1.68,1615.0,41.67,2.56
2021-02-14,3.662,1.16,27.138,3.839,0.126,7.9,1.69,1615.0,41.67,2.57
2021-02-15,3.769,1.17,26.384,3.892,0.126,7.9,1.7,1531.0,41.67,2.64
2021-02-16,3.662,1.18,26.384,3.943,0.127,7.9,1.75,1451.0,41.67,2.82
