date,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,new_tests_smoothed_per_thousand,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2020-12-27,244.979,361.609,6.645,0.95,66.194,1.859,0.0,213.0,82.41,0.0
2020-12-28,236.024,371.73,6.88,0.96,66.624,1.8,0.0,213.0,82.41,0.0
2020-12-29,207.571,385.122,7.112,0.96,67.28,1.74,0.0,403.0,82.41,0.0
2020-12-30,233.635,396.615,7.368,0.97,67.197,1.68,0.0,515.0,82.41,0.0
2020-12-31,221.529,403.311,7.606,0.94,67.101,1.621,0.0,536.0,82.41,0.0
2021-01-01,221.49,407.536,7.784,0.93,66.636,1.561,0.0,490.0,82.41,0.0
2021-01-02,217.055,411.535,7.731,0.94,68.068,1.502,0.0,503.0,82.41,0.0
2021-01-03,213.571,415.247,7.663,0.97,68.569,1.442,0.0,469.0,82.41,0.03
2021-01-04,210.7,426.669,7.848,0.98,68.307,1.536,0.0,518.0,82.41,0.05
2021-01-05,208.796,438.712,7.656,1.0,67.435,1.63,0.0,522.0,85.19,0.09
2021-01-06,170.634,451.578,7.852,1.02,66.266,1.724,0.0,523.0,85.19,0.15
2021-01-07,214.908,465.328,8.86,1.04,65.335,1.818,0.0,529.0,85.19,0.2
2021-01-08,243.826,477.681,10.021,1.02,65.251,1.912,0.0,591.0,85.19,0.24
2021-01-09,264.152,484.544,10.43,1.0,64.428,2.006,0.0,611.0,85.19,0.3
2021-01-10,248.111,488.59,10.478,0.97,63.258,2.1,0.0,632.0,83.33,0.33
2021-01-11,247.064,498.89,10.317,0.96,62.864,2.089,0.0,667.0,83.33,0.37
2021-01-12,262.173,511.9,10.455,0.95,62.172,2.078,0.0,717.0,83.33,0.43
2021-01-13,260.302,526.306,10.675,0.92,61.635,2.068,0.0,801.0,83.33,0.5
2021-01-14,219.398,539.566,10.606,0.9,60.919,2.057,0.0,848.0,83.33,0.55
2021-01-15,201.522,545.51,9.69,0.89,60.274,2.046,0.0,896.0,83.33,0.62
2021-01-16,187.869,554.569,10.004,0.89,59.582,2.036,0.0,892.0,83.33,0.68
2021-01-17,205.834,559.785,10.171,0.89,59.081,2.025,0.03,916.0,83.33,0.72
2021-01-18,201.651,564.106,9.316,0.88,59.486,2.007,0.05,941.0,83.33,0.8
2021-01-19,176.115,584.802,10.415,0.87,58.842,1.989,0.09,1006.0,83.33,0.87
2021-01-20,181.975,596.892,10.084,0.87,57.481,1.971,0.15,1041.0,83.33,0.99
2021-01-21,159.696,607.229,9.666,0.85,56.896,1.953,0.2,1082.0,83.33,1.07
2021-01-22,172.95,617.218,10.244,0.86,56.682,1.935,0.24,1104.0,83.33,1.16
2021-01-23,168.88,619.128,9.223,0.86,55.369,1.917,0.3,1154.0,83.33,1.23
2021-01-24,166.483,624.177,9.199,0.85,54.987,1.899,0.33,1153.0,83.33,1.26
2021-01-25,162.448,634.095,9.999,0.84,54.951,1.908,0.37,1169.0,83.33,1.33
2021-01-26,157.596,639.967,7.881,0.84,54.414,1.917,0.43,1133.0,83.33,1.41
2021-01-27,134.804,650.459,7.652,0.84,53.554,1.927,0.5,1093.0,83.33,1.5
2021-01-28,146.068,666.989,8.537,0.84,52.85,1.936,0.55,1066.0,83.33,1.59
2021-01-29,140.04,671.799,7.797,0.85,52.122,1.945,0.62,1076.0,83.33,1.68
2021-01-30,148.716,681.574,8.921,0.85,51.824,1.954,0.68,1079.0,83.33,1.73
2021-01-31,132.808,682.267,8.299,0.83,51.764,1.964,0.72,1095.0,83.33,1.76
2021-02-01,132.434,692.961,8.409,0.83,51.478,1.951,0.8,1143.0,83.33,1.83
2021-02-02,129.541,704.097,9.161,0.82,50.75,1.939,0.87,1200.0,83.33,1.9
2021-02-03,124.171,713.454,8.999,0.82,50.212,1.927,0.99,1286.0,83.33,1.96
2021-02-04,121.015,723.695,8.101,0.83,49.771,1.915,1.07,1354.0,83.33,2.02
2021-02-05,117.612,731.93,8.59,0.83,48.53,1.903,1.16,1415.0,83.33,2.09
2021-02-06,102.461,734.64,7.581,0.84,47.241,1.89,1.23,1435.0,83.33,2.13
2021-02-07,112.558,736.513,7.75,0.84,46.859,1.878,1.26,1429.0,83.33,2.17
2021-02-08,109.117,742.278,7.045,0.83,47.157,1.868,1.33,1412.0,83.33,2.24
