date,new_deaths_smoothed_per_million,reproduction_rate,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-17,8.085,0.89,417.784,3.108,0.08,12.6,1287.0,78.7,1.06
2021-01-18,7.918,0.87,420.563,3.266,0.073,13.7,1198.0,78.7,1.19
2021-01-19,7.887,0.86,416.56,3.532,0.065,15.4,1082.0,78.7,1.33
2021-01-20,7.927,0.86,412.326,3.778,0.059,16.8,931.0,78.7,1.48
2021-01-21,7.925,0.86,404.602,4.031,0.054,18.6,794.0,78.7,1.63
2021-01-22,7.913,0.87,398.284,4.01,0.053,19.0,644.0,78.7,1.78
2021-01-23,7.944,0.89,393.455,4.069,0.05,19.9,583.0,78.7,1.88
2021-01-24,7.759,0.91,392.132,4.081,0.05,20.2,575.0,78.7,1.94
2021-01-25,7.861,0.93,394.381,4.006,0.05,19.9,634.0,78.7,2.0
2021-01-26,7.714,0.94,392.429,4.012,0.05,19.9,745.0,78.7,2.06
2021-01-27,7.58,0.95,388.89,4.045,0.051,19.7,839.0,78.7,2.1
2021-01-28,7.511,0.94,381.497,4.064,0.051,19.7,975.0,78.7,2.14
2021-01-29,7.523,0.93,374.898,4.073,0.051,19.8,1143.0,78.7,2.16
2021-01-30,7.365,0.93,369.092,4.101,0.05,20.0,1264.0,78.7,2.17
2021-01-31,7.218,0.94,369.01,4.094,0.05,20.1,1325.0,78.7,2.18
2021-02-01,7.003,0.95,372.334,4.131,0.049,20.4,1364.0,78.7,2.19
2021-02-02,6.904,0.95,372.648,4.103,0.049,20.5,1382.0,78.7,2.2
2021-02-03,6.925,0.96,367.438,4.068,0.048,20.8,1450.0,78.7,2.21
2021-02-04,6.758,0.97,362.113,4.056,0.048,20.9,1484.0,78.7,2.23
2021-02-05,6.521,0.98,359.185,4.06,0.048,20.8,1506.0,78.7,2.24
2021-02-06,6.436,0.99,355.894,4.023,0.049,20.4,1476.0,78.7,2.24
2021-02-07,6.514,1.0,353.496,4.007,0.049,20.3,1434.0,78.7,2.25
2021-02-08,6.462,1.0,358.408,4.012,0.049,20.3,1390.0,78.7,2.26
2021-02-09,6.28,1.0,358.16,4.082,0.049,20.4,1340.0,78.7,2.26
2021-02-10,5.949,1.0,354.075,4.157,0.048,20.8,1277.0,78.7,2.28
2021-02-11,5.879,1.01,348.451,4.21,0.048,20.7,1198.0,78.7,2.3
2021-02-12,5.734,1.0,344.531,4.25,0.048,21.0,1120.0,78.7,2.32
2021-02-13,5.56,0.99,340.082,4.27,0.047,21.1,1061.0,78.7,2.34
2021-02-14,5.444,0.99,339.619,4.267,0.047,21.2,1033.0,78.7,2.35
2021-02-15,5.328,0.99,340.777,4.35,0.046,21.8,1023.0,82.41,2.39
2021-02-16,5.125,1.0,339.669,4.349,0.046,21.8,1033.0,82.41,2.45
2021-02-17,5.203,1.01,336.03,4.31,0.046,21.9,1051.0,82.41,2.51
2021-02-18,5.099,1.04,330.92,4.3,0.045,22.2,1086.0,82.41,2.59
2021-02-19,5.174,1.07,328.968,4.323,0.046,21.9,1131.0,82.41,2.68
2021-02-20,5.033,1.1,327.281,4.359,0.046,21.7,1191.0,82.41,2.74
2021-02-21,5.059,1.13,329.1,4.466,0.046,21.6,1241.0,82.41,2.78
2021-02-22,5.096,1.15,335.302,4.446,0.048,21.0,1343.0,82.41,2.85
2021-02-23,5.144,1.17,338.081,4.517,0.048,20.6,1426.0,82.41,2.94
2021-02-24,5.023,1.2,336.973,4.625,0.05,20.2,1525.0,82.41,3.03
2021-02-25,4.931,1.22,337.816,4.779,0.051,19.6,1616.0,82.41,3.12
2021-02-26,4.707,1.22,338.825,4.846,0.053,19.0,1723.0,82.41,3.22
2021-02-27,4.775,1.21,340.512,4.886,0.054,18.5,1838.0,82.41,3.3
2021-02-28,4.681,1.21,345.16,4.9,0.056,17.9,1902.0,82.41,3.36
2021-03-01,4.614,1.21,353.959,4.9,0.058,17.4,1973.0,82.41,3.47
2021-03-02,4.584,1.21,362.162,4.976,0.059,17.1,2104.0,82.41,3.59
2021-03-03,4.652,1.21,366.744,5.02,0.06,16.6,2258.0,82.41,3.73
2021-03-04,4.726,1.2,374.319,4.987,0.062,16.2,2422.0,82.41,3.86
2021-03-05,4.829,1.19,378.735,5.112,0.062,16.1,2582.0,82.41,3.99
2021-03-06,4.893,1.18,384.904,5.188,0.063,15.8,2702.0,84.26,4.09
2021-03-07,4.929,1.16,392.793,5.222,0.064,15.5,2760.0,84.26,4.16
2021-03-08,5.099,1.15,405.727,5.255,0.064,15.6,2867.0,84.26,4.27
2021-03-09,5.177,1.14,415.948,5.278,0.065,15.3,2945.0,84.26,4.39
2021-03-10,5.141,1.14,425.21,5.284,0.066,15.2,3012.0,84.26,4.53
2021-03-11,5.222,1.13,431.777,5.36,0.066,15.1,3072.0,84.26,4.67
2021-03-12,5.418,1.12,439.451,5.34,0.068,14.8,3086.0,84.26,4.8
2021-03-13,5.441,1.11,448.796,5.382,0.068,14.7,3084.0,84.26,4.91
2021-03-14,5.576,1.09,456.486,5.388,0.068,14.7,3092.0,84.26,4.98
2021-03-15,5.661,1.07,471.289,5.375,0.069,14.5,3076.0,84.26,5.09
2021-03-16,5.959,1.06,485.496,5.43,0.069,14.6,2947.0,84.26,5.21
2021-03-17,6.193,1.05,493.435,5.449,0.069,14.6,2830.0,84.26,5.36
2021-03-18,6.311,1.04,496.627,5.405,0.069,14.5,2687.0,84.26,5.51
