date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-06,464.122,9.694,1.07,566.217,4.286,0.108,9.2,0.0,179.0,57.41,0.11
2021-01-07,427.238,11.739,1.07,588.484,4.372,0.098,10.2,0.0,230.0,57.41,0.11
2021-01-08,467.076,11.891,1.06,578.941,5.041,0.093,10.8,0.0,288.0,61.11,0.12
2021-01-09,531.908,11.361,1.05,557.204,5.711,0.093,10.7,0.0,301.0,61.11,0.12
2021-01-11,513.579,13.027,1.03,597.497,5.64,0.091,11.0,0.0,409.0,57.41,0.15
2021-01-12,517.669,12.118,1.02,591.135,5.653,0.092,10.9,0.0,464.0,57.41,0.19
2021-01-13,519.638,11.739,1.01,612.342,5.528,0.094,10.6,0.0,521.0,57.41,0.23
2021-01-14,487.525,9.846,1.0,583.713,5.429,0.09,11.1,0.0,597.0,57.41,0.27
2021-01-15,475.938,10.149,1.0,567.278,5.403,0.088,11.4,0.0,671.0,57.41,0.32
2021-01-16,465.41,10.831,0.99,532.817,5.438,0.086,11.7,0.0,698.0,57.41,0.34
2021-01-17,461.699,9.77,0.99,556.144,5.456,0.085,11.8,0.0,682.0,57.41,0.35
2021-01-18,455.11,9.013,0.98,568.868,5.399,0.084,11.9,0.03,642.0,57.41,0.42
2021-01-19,450.111,9.846,0.98,563.036,5.484,0.082,12.2,0.07,585.0,57.41,0.51
2021-01-20,437.463,9.316,0.97,538.649,5.517,0.079,12.6,0.11,529.0,57.41,0.58
2021-01-21,433.827,10.376,0.97,535.468,5.486,0.079,12.6,0.11,412.0,57.41,0.65
2021-01-22,418.074,10.679,0.97,538.118,5.482,0.076,13.1,0.12,287.0,57.41,0.73
2021-01-23,408.909,10.3,0.97,500.477,5.39,0.076,13.2,0.12,245.0,57.41,0.76
2021-01-25,403.153,9.922,0.97,557.735,5.346,0.075,13.3,0.15,223.0,57.41,0.78
2021-01-26,394.14,8.634,0.97,515.321,5.264,0.075,13.4,0.19,221.0,57.41,0.78
2021-01-27,395.277,8.028,0.97,488.283,5.223,0.076,13.2,0.23,225.0,57.41,0.79
2021-01-28,400.048,6.892,0.98,500.477,5.16,0.078,12.9,0.27,263.0,57.41,0.83
2021-01-29,404.214,6.816,0.98,503.127,5.093,0.079,12.6,0.32,320.0,57.41,0.86
2021-01-30,394.746,6.286,0.98,486.692,5.045,0.078,12.8,0.34,334.0,57.41,0.86
2021-01-31,396.337,6.362,0.98,502.597,5.033,0.079,12.7,0.35,335.0,57.41,0.87
2021-02-01,410.576,6.665,0.98,523.804,5.037,0.082,12.3,0.42,399.0,57.41,0.87
2021-02-02,416.786,7.044,0.98,567.278,5.067,0.082,12.2,0.51,472.0,57.41,0.88
2021-02-03,426.481,8.483,0.98,490.403,5.076,0.084,11.9,0.58,533.0,57.41,0.89
2021-02-04,409.591,10.073,0.98,476.089,5.139,0.08,12.5,0.65,588.0,57.41,0.89
2021-02-05,405.425,10.831,0.98,468.667,5.138,0.079,12.7,0.73,641.0,57.41,0.89
2021-02-06,425.042,11.133,0.98,439.508,5.25,0.081,12.4,0.76,661.0,57.41,0.89
2021-02-07,421.027,10.906,0.97,464.956,5.234,0.08,12.4,0.77,645.0,57.41,0.89
2021-02-08,411.712,10.982,0.97,479.8,5.188,0.079,12.6,0.78,586.0,53.7,0.9
2021-02-09,412.166,10.906,0.97,458.594,5.2,0.079,12.6,0.78,462.0,53.7,0.9
2021-02-10,393.913,10.982,0.96,436.857,5.201,0.076,13.2,0.79,386.0,53.7,0.9
2021-02-11,401.487,10.225,0.96,445.339,5.241,0.077,13.1,0.83,408.0,56.48,0.9
2021-02-12,396.337,9.24,0.96,447.46,5.287,0.075,13.3,0.86,413.0,56.48,0.91
2021-02-13,375.812,8.786,0.96,430.495,5.19,0.072,13.8,0.86,400.0,56.48,0.91
2021-02-14,371.571,8.483,0.96,440.568,5.175,0.072,13.9,0.87,392.0,56.48,0.91
2021-02-15,370.813,9.164,0.96,451.171,5.164,0.072,13.9,0.87,428.0,56.48,0.92
2021-02-16,365.663,9.316,0.96,443.749,5.149,0.071,14.1,0.88,519.0,56.48,0.94
2021-02-17,362.331,8.558,0.96,422.012,5.143,0.07,14.2,0.89,623.0,56.48,0.95
2021-02-18,352.182,7.952,0.96,406.637,5.036,0.07,14.3,0.89,605.0,56.48,0.95
2021-02-19,343.169,7.725,0.96,399.215,4.946,0.069,14.4,0.89,577.0,56.48,0.96
2021-02-20,365.587,7.195,0.97,379.069,5.022,0.073,13.7,0.89,603.0,56.48,0.96
2021-02-21,364.527,6.892,0.97,392.323,5.012,0.073,13.7,0.89,663.0,56.48,0.96
2021-02-22,364.224,5.908,0.96,408.758,5.023,0.073,13.8,0.9,732.0,56.48,0.96
2021-02-23,360.892,6.362,0.96,396.564,5.006,0.072,13.9,0.9,809.0,56.48,0.96
2021-02-24,363.694,5.983,0.96,385.961,5.031,0.072,13.8,0.9,985.0,56.48,0.97
2021-02-25,371.646,5.453,0.96,381.719,5.13,0.072,13.8,0.9,1185.0,56.48,0.97
2021-02-26,374.373,5.15,0.95,371.116,5.266,0.071,14.1,0.91,1338.0,56.48,0.97
2021-02-27,356.044,5.756,0.95,352.56,5.336,0.067,15.0,0.91,1326.0,56.48,0.97
2021-02-28,353.469,5.756,0.95,361.573,5.338,0.066,15.1,0.91,1275.0,56.48,0.97
2021-03-01,353.318,5.68,0.95,385.961,5.347,0.066,15.1,0.92,1314.0,56.48,0.97
2021-03-02,351.5,5.15,0.94,376.418,5.464,0.064,15.5,0.94,1350.0,56.48,0.98
2021-03-03,346.653,5.074,0.94,372.176,5.596,0.062,16.1,0.95,1445.0,56.48,0.98
2021-03-04,334.005,5.529,0.93,368.995,5.818,0.057,17.4,0.95,1762.0,56.48,1.0
2021-03-05,335.595,5.983,0.93,370.586,6.061,0.055,18.1,0.96,2043.0,56.48,1.01
2021-03-06,318.024,5.529,0.93,344.078,6.119,0.052,19.2,0.96,2089.0,56.48,1.01
2021-03-07,313.934,5.832,0.93,363.164,6.148,0.051,19.6,0.96,2086.0,56.48,1.01
2021-03-08,308.026,5.908,0.92,387.021,6.13,0.05,19.9,0.96,2098.0,56.48,1.02
2021-03-09,294.924,5.074,0.92,362.103,6.237,0.047,21.1,0.96,2124.0,56.48,1.04
2021-03-10,273.717,5.453,0.93,336.655,6.416,0.043,23.4,0.97,1966.0,56.48,1.08
2021-03-11,273.111,5.377,0.93,333.474,6.593,0.041,24.1,0.97,1623.0,56.48,1.12
2021-03-12,264.477,4.999,0.94,329.763,6.752,0.039,25.5,0.97,1657.0,56.48,1.15
2021-03-13,263.19,5.302,0.94,299.544,6.829,0.039,25.9,0.97,1670.0,56.48,1.17
2021-03-14,261.296,5.453,0.95,308.557,6.886,0.038,26.4,0.97,1669.0,56.48,1.17
2021-03-15,260.084,5.302,0.95,322.871,6.918,0.038,26.6,0.97,1912.0,56.48,1.19
2021-03-16,273.035,5.453,0.96,328.703,6.978,0.039,25.6,0.98,1682.0,56.48,1.23
2021-03-17,286.593,4.771,0.96,319.16,6.918,0.041,24.1,0.98,1430.0,56.48,1.3
2021-03-18,274.777,4.847,0.96,310.147,6.806,0.04,24.8,1.0,1160.0,56.48,1.33
2021-03-19,274.02,4.923,0.96,315.979,6.721,0.041,24.5,1.01,657.0,56.48,1.33
2021-03-20,277.58,4.847,0.97,296.363,6.719,0.041,24.2,1.01,584.0,56.48,1.34
2021-03-21,274.777,4.469,0.97,311.207,6.639,0.041,24.2,1.01,581.0,56.48,1.34
2021-03-22,274.702,4.469,0.97,324.462,6.611,0.042,24.1,1.02,430.0,56.48,1.34
2021-03-23,264.477,4.771,0.97,321.811,6.777,0.039,25.6,1.04,989.0,56.48,1.36
2021-03-24,261.296,4.696,0.98,328.173,6.851,0.038,26.2,1.08,1619.0,56.48,1.39
2021-03-25,270.688,4.771,0.98,334.535,6.966,0.039,25.7,1.12,2136.0,56.48,1.41
2021-03-26,271.899,4.241,0.98,334.005,7.04,0.039,25.9,1.15,2447.0,56.48,1.42
2021-03-27,270.157,3.863,0.98,312.268,7.099,0.038,26.3,1.17,2460.0,56.48,1.42
2021-03-28,275.005,3.938,0.98,321.281,7.073,0.039,25.7,1.17,2460.0,56.48,1.42
2021-03-29,274.247,4.166,0.98,335.595,7.093,0.039,25.9,1.19,2385.0,56.48,1.42
2021-03-30,275.611,4.014,0.98,331.354,7.117,0.039,25.8,1.23,2285.0,56.48,1.43
2021-03-31,264.553,3.635,0.98,324.992,7.055,0.037,26.7,1.3,2178.0,56.48,1.44
2021-04-01,266.976,3.711,0.98,305.376,7.105,0.038,26.6,1.33,2012.0,56.48,1.48
2021-04-02,263.114,4.166,0.98,278.867,7.042,0.037,26.8,1.33,1673.0,56.48,1.52
2021-04-03,238.65,3.863,0.98,303.785,6.261,0.038,26.2,1.34,1907.0,56.48,1.53
2021-04-04,232.137,4.014,0.98,315.449,6.231,0.037,26.8,1.34,2028.0,56.48,1.53
2021-04-05,228.502,3.863,0.99,332.944,6.202,0.037,27.1,1.34,2042.0,56.48,1.56
2021-04-06,212.066,3.332,1.01,454.882,5.146,0.041,24.3,1.36,2029.0,56.48,1.67
2021-04-07,213.051,3.56,1.02,338.246,5.681,0.038,26.7,1.39,2308.0,56.48,1.83
2021-04-08,220.776,3.787,1.04,324.462,6.134,0.036,27.8,1.41,2527.0,56.48,1.96
2021-04-09,226.154,4.469,1.04,322.871,6.251,0.036,27.6,1.42,2924.0,56.48,2.07
2021-04-10,255.464,4.771,1.05,298.483,7.2,0.035,28.2,1.42,2800.0,56.48,2.11
2021-04-11,265.31,4.166,1.05,313.328,7.29,0.036,27.5,1.42,2684.0,56.48,2.11
2021-04-12,272.202,4.241,1.05,329.233,7.295,0.037,26.8,1.42,2699.0,56.48,2.21
2021-04-13,289.471,4.923,1.05,313.858,8.479,0.034,29.3,1.43,2576.0,56.48,2.36
2021-04-14,296.287,5.529,1.05,358.392,8.16,0.036,27.5,1.44,2284.0,56.48,2.56
2021-04-15,288.94,5.074,1.05,303.785,7.636,0.038,26.4,1.48,2179.0,56.48,2.78
