date,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,people_fully_vaccinated_per_hundred_2
2021-02-03,191.041,1363.505,0.0,0.72,3.068,0.05,20.0,0.01,1442.0,1.17
2021-02-04,142.344,1363.505,0.0,0.69,3.12,0.04,25.0,0.01,734.0,1.17
2021-02-05,127.36,1363.505,0.0,0.68,3.251,0.039,25.6,0.01,26.0,1.17
2021-02-06,93.647,1363.505,0.0,0.67,3.251,0.039,25.6,0.01,26.0,1.17
2021-02-07,112.377,1363.505,0.0,0.67,3.225,0.04,25.0,0.01,26.0,1.17
2021-02-08,108.631,1363.505,0.0,0.66,3.278,0.031,32.3,0.29,420.0,1.17
2021-02-09,112.377,1363.505,0.0,0.66,3.855,0.027,37.0,0.48,682.0,1.17
2021-02-10,86.156,1363.505,0.0,0.65,3.75,0.025,40.0,0.62,865.0,1.17
2021-02-11,78.664,1363.505,0.0,0.64,3.776,0.026,38.5,0.79,1128.0,1.65
2021-02-12,71.172,1363.505,0.0,0.64,3.697,0.025,40.0,0.87,1232.0,2.15
2021-02-13,74.918,1363.505,0.0,0.64,3.802,0.022,45.5,0.87,1232.0,2.15
2021-02-14,59.934,1363.505,0.0,0.65,3.776,0.02,50.0,0.87,1232.0,2.15
2021-02-15,52.443,1389.727,3.746,0.66,3.723,0.017,58.8,1.06,1128.0,2.15
2021-02-16,48.697,1389.727,3.746,0.69,3.409,0.015,66.7,1.17,1757.0,2.15
2021-02-17,29.967,1415.948,7.492,0.72,3.33,0.017,58.8,1.17,2307.0,2.15
2021-02-18,29.967,1415.948,7.492,0.77,3.225,0.019,52.6,1.17,2517.0,2.15
2021-02-19,22.475,1415.948,7.492,0.82,3.199,0.015,66.7,1.17,2412.0,2.15
2021-02-20,26.221,1415.948,7.492,0.89,3.094,0.019,52.6,1.17,2412.0,2.15
2021-02-21,26.221,1415.948,7.492,0.94,3.12,0.023,43.5,1.17,2412.0,2.15
2021-02-22,37.459,1415.948,3.746,1.01,3.147,0.027,37.0,1.17,2884.0,2.15
2021-02-23,48.697,1415.948,3.746,1.05,3.251,0.031,32.3,1.17,2727.0,2.15
2021-02-24,48.697,1415.948,0.0,1.08,3.383,0.034,29.4,1.17,1967.0,2.15
2021-02-25,59.934,1415.948,0.0,1.12,3.409,0.032,31.2,1.65,2229.0,2.15
2021-02-26,78.664,1415.948,0.0,1.14,3.356,0.033,30.3,2.15,2937.0,2.15
2021-02-27,78.664,1415.948,0.0,1.13,3.514,0.033,30.3,2.15,2937.0,2.15
2021-02-28,78.664,1415.948,0.0,1.13,3.487,0.033,30.3,2.15,2937.0,2.15
2021-03-01,93.647,1415.948,0.0,1.14,3.514,0.029,34.5,2.15,2176.0,2.15
2021-03-02,86.156,1415.948,0.0,1.12,3.54,0.029,34.5,2.15,1416.0,2.68
2021-03-03,89.901,1415.948,0.0,1.1,3.435,0.031,32.3,2.15,1888.0,3.24
2021-03-04,89.901,1415.948,0.0,1.1,3.54,0.03,33.3,2.15,1914.0,3.55
2021-03-05,89.901,1415.948,0.0,1.08,3.619,0.029,34.5,2.15,1967.0,3.55
2021-03-06,86.156,1415.948,0.0,1.05,3.461,0.027,37.0,2.15,1967.0,3.55
2021-03-07,86.156,1415.948,0.0,1.03,3.514,0.025,40.0,2.15,1967.0,3.55
2021-03-08,63.68,1415.948,0.0,1.03,3.54,0.022,45.5,2.15,1967.0,4.08
2021-03-09,67.426,1442.169,3.746,1.05,3.619,0.016,62.5,2.15,2753.0,4.6
2021-03-10,63.68,1442.169,3.746,1.06,3.566,0.015,66.7,2.15,3068.0,4.6
2021-03-11,52.443,1442.169,3.746,1.09,3.592,0.015,66.7,2.15,3225.0,4.6
2021-03-12,48.697,1442.169,3.746,1.13,3.619,0.017,58.8,2.15,2439.0,4.6
2021-03-13,48.697,1442.169,3.746,1.15,3.802,0.022,45.5,2.15,2439.0,4.6
2021-03-14,82.41,1442.169,3.746,1.19,3.881,0.022,45.5,2.15,2439.0,4.6
2021-03-15,74.918,1442.169,3.746,1.15,3.828,0.024,41.7,2.15,2465.0,4.6
2021-03-16,78.664,1468.39,3.746,1.15,4.091,0.027,37.0,2.68,2491.0,4.62
2021-03-17,82.41,1468.39,3.746,1.14,4.458,0.022,45.5,3.24,2596.0,4.94
2021-03-18,89.901,1468.39,3.746,1.14,4.615,0.023,43.5,3.55,2203.0,5.46
