date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-17,435.295,12.962,0.73,701.615,3.512,0.118,8.5,0.04,1512.0,74.07,0.82
2021-01-18,419.71,12.07,0.74,701.615,3.424,0.115,8.7,0.1,1634.0,70.37,0.88
2021-01-19,412.1,11.44,0.75,631.4535000000001,3.289,0.112,8.9,0.25,1854.0,70.37,0.97
2021-01-20,384.183,10.81,0.75,561.292,3.237,0.111,9.0,0.31,1708.0,70.37,1.16
2021-01-21,375.367,11.073,0.75,561.292,3.212,0.11,9.1,0.34,1334.0,70.37,1.47
2021-01-22,365.344,11.125,0.76,526.028,3.204,0.109,9.2,0.34,970.0,70.37,1.7
2021-01-23,353.431,11.125,0.76,526.028,3.202,0.108,9.3,0.34,912.0,70.37,1.73
2021-01-24,349.81,10.705,0.77,516.844,3.202,0.108,9.3,0.34,853.0,70.37,1.73
2021-01-25,353.169,10.39,0.78,516.844,3.197,0.107,9.3,0.34,621.0,70.37,1.82
2021-01-26,343.933,10.128,0.78,535.211,3.258,0.106,9.4,0.36,456.0,70.37,1.89
2021-01-27,346.609,10.338,0.79,526.395,3.271,0.102,9.8,0.48,636.0,70.37,1.95
2021-01-28,329.082,9.866,0.78,517.579,3.233,0.102,9.8,0.61,928.0,70.37,1.99
2021-01-29,319.951,8.869,0.78,480.11,3.141,0.099,10.1,0.8,1332.0,70.37,2.03
2021-01-30,304.943,8.396,0.78,485.988,3.154,0.099,10.1,0.82,1366.0,70.37,2.03
2021-01-31,306.517,8.081,0.78,494.436,3.094,0.099,10.1,0.82,1366.0,70.37,2.03
2021-02-01,296.756,8.186,0.78,477.172,3.115,0.096,10.4,0.88,1512.0,70.37,2.06
2021-02-02,289.147,8.186,0.78,453.66200000000003,2.942,0.091,11.0,0.97,1553.0,70.37,2.06
2021-02-03,261.912,7.714,0.78,430.152,2.881,0.09,11.1,1.16,1547.0,70.37,2.21
2021-02-04,251.259,7.137,0.78,418.3975,2.787,0.088,11.4,1.47,1692.0,70.37,2.39
2021-02-05,240.449,7.452,0.79,406.643,2.779,0.087,11.5,1.7,1653.0,70.37,2.51
2021-02-06,238.14,7.137,0.8,415.8265,2.666,0.084,11.9,1.73,1658.0,70.37,2.51
2021-02-07,221.819,6.77,0.8,425.01,2.665,0.084,11.9,1.73,1663.0,70.37,2.51
2021-02-08,217.306,6.56,0.82,403.337,2.601,0.082,12.2,1.82,1651.0,66.67,2.57
2021-02-09,208.7,6.56,0.83,403.337,2.554,0.079,12.7,1.89,1596.0,66.67,2.61
2021-02-10,198.52,6.35,0.85,403.337,2.488,0.079,12.7,1.95,1562.0,66.67,2.64
2021-02-11,215.68,6.717,0.87,403.337,2.488,0.076,13.2,1.99,1519.0,66.67,2.68
2021-02-12,213.266,6.822,0.87,403.337,2.499,0.074,13.5,2.03,1517.0,66.67,2.72
2021-02-13,207.966,6.822,0.86,331.339,2.566,0.072,13.9,2.03,1502.0,66.67,2.72
2021-02-14,207.493,6.979,0.86,331.339,2.583,0.071,14.1,2.03,1497.0,66.67,2.72
2021-02-15,204.555,6.56,0.87,331.339,2.58,0.07,14.3,2.06,1601.0,66.67,2.72
2021-02-16,201.668,6.455,0.88,331.339,2.408,0.072,13.9,2.06,1478.0,66.67,2.75
2021-02-17,200.986,6.56,0.9,331.339,2.361,0.07,14.3,2.21,1589.0,66.67,2.83
2021-02-18,164.515,6.087,0.91,309.298,2.373,0.072,13.9,2.39,1709.0,66.67,3.02
2021-02-19,174.275,5.615,0.95,302.686,2.329,0.073,13.7,2.51,1876.0,66.67,3.19
2021-02-20,174.275,5.51,0.96,310.033,2.378,0.074,13.5,2.51,1906.0,66.67,3.2
2021-02-21,174.59,5.3,0.98,329.502,2.394,0.074,13.5,2.51,1906.0,66.67,3.2
2021-02-22,178.211,5.143,1.0,332.073,2.406,0.074,13.5,2.57,1949.0,66.67,3.23
2021-02-23,187.29,4.933,1.02,328.033,2.635,0.073,13.7,2.61,2376.0,66.67,3.28
