date,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-25,3.883,1.0,6.251,0.058,17.3,0.33,2643.0,52.78,2.5
2021-01-26,4.206,1.0,6.047,0.057,17.7,0.38,2618.0,52.78,2.75
2021-01-27,4.53,1.01,7.091,0.049,20.6,0.47,2652.0,52.78,2.93
2021-01-28,5.177,1.01,7.207,0.05,19.9,0.57,2636.0,52.78,3.13
2021-01-29,5.177,0.99,7.261,0.052,19.3,0.67,2607.0,52.78,3.34
2021-01-30,4.853,0.97,7.54,0.051,19.8,0.78,2561.0,52.78,3.53
2021-01-31,5.177,0.95,7.453,0.054,18.5,0.89,2494.0,52.78,3.68
2021-02-01,5.177,0.91,7.354,0.051,19.5,1.01,2534.0,52.78,3.87
2021-02-02,4.853,0.89,7.22,0.052,19.1,1.11,2550.0,52.78,4.04
2021-02-03,4.853,0.87,7.107,0.051,19.7,1.23,2627.0,52.78,4.2
2021-02-04,3.883,0.86,6.905,0.046,21.7,1.46,2847.0,52.78,4.35
2021-02-05,4.206,0.87,6.892,0.04,24.9,1.72,3189.0,52.78,4.49
2021-02-06,4.53,0.92,6.679,0.041,24.1,1.98,3474.0,52.78,4.57
2021-02-07,4.853,0.96,6.756,0.037,27.0,2.25,3721.0,52.78,4.65
2021-02-08,4.206,1.01,6.831,0.037,26.9,2.5,3975.0,52.78,4.79
2021-02-09,4.53,1.04,6.951,0.039,25.4,2.75,4233.0,52.78,4.93
2021-02-10,4.206,1.05,6.706,0.042,23.7,2.93,4194.0,52.78,5.1
2021-02-11,4.206,1.06,6.883,0.045,22.4,3.13,4163.0,52.78,5.3
2021-02-12,3.559,1.07,6.765,0.05,19.8,3.34,4140.0,52.78,5.69
2021-02-13,3.559,1.06,6.722,0.052,19.3,3.53,4072.0,52.78,6.07
2021-02-14,3.559,1.06,6.64,0.054,18.4,3.68,4006.0,52.78,6.35
2021-02-15,4.206,1.06,6.495,0.056,17.7,3.87,4000.0,52.78,6.57
2021-02-16,4.206,1.06,6.142,0.054,18.4,4.04,4002.0,52.78,6.74
2021-02-17,3.883,1.09,6.461,0.053,18.8,4.2,4233.0,52.78,6.87
2021-02-18,4.853,1.11,6.371,0.055,18.3,4.35,4321.0,52.78,7.03
2021-02-19,4.206,1.12,6.505,0.053,18.9,4.49,4396.0,52.78,7.18
2021-02-20,4.206,1.14,6.652,0.054,18.5,4.57,4249.0,52.78,7.34
2021-02-21,3.559,1.16,6.597,0.054,18.5,4.65,4133.0,52.78,7.44
2021-02-22,3.235,1.18,6.586,0.056,17.9,4.79,4104.0,52.78,7.74
2021-02-23,2.912,1.2,6.96,0.059,17.1,4.93,4228.0,52.78,7.95
2021-02-24,3.235,1.21,7.152,0.058,17.2,5.1,4491.0,52.78,8.21
2021-02-25,3.235,1.22,7.324,0.058,17.2,5.3,4511.0,52.78,8.42
2021-02-26,3.883,1.24,7.44,0.062,16.2,5.69,4561.0,52.78,8.68
2021-02-27,3.235,1.24,7.596,0.062,16.1,6.07,4743.0,52.78,8.86
2021-02-28,3.559,1.24,7.721,0.067,15.0,6.35,4919.0,52.78,8.99
2021-03-01,3.559,1.23,8.072,0.063,15.9,6.57,5030.0,52.78,9.21
2021-03-02,4.206,1.23,8.169,0.067,15.0,6.74,4967.0,52.78,9.25
2021-03-03,4.206,1.22,8.122,0.067,14.8,6.87,4949.0,52.78,9.43
2021-03-04,4.53,1.22,8.253,0.073,13.7,7.03,5275.0,52.78,9.64
2021-03-05,4.853,1.2,8.305,0.074,13.6,7.18,5386.0,52.78,9.8
2021-03-06,5.177,1.17,8.387,0.077,13.0,7.34,5802.0,52.78,9.95
2021-03-07,6.147,1.14,8.676,0.071,14.0,7.44,5902.0,52.78,10.07
2021-03-08,5.824,1.12,8.701,0.072,13.8,7.74,6437.0,52.78,10.26
2021-03-09,5.177,1.13,8.991,0.067,15.0,7.95,6887.0,52.78,10.45
2021-03-10,5.177,1.14,9.24,0.075,13.4,8.21,7157.0,52.78,10.66
2021-03-11,5.177,1.1,9.435,0.07,14.2,8.42,7542.0,67.59,11.08
2021-03-12,5.824,1.07,9.428,0.072,13.9,8.68,7868.0,67.59,11.34
2021-03-13,6.794,1.03,9.591,0.069,14.5,8.86,7820.0,67.59,11.45
2021-03-14,5.5,0.99,9.707,0.071,14.0,8.99,7927.0,67.59,11.6
2021-03-15,6.471,0.94,9.682,0.072,13.9,9.21,7927.0,75.0,11.85
2021-03-16,7.118,0.91,9.68,0.074,13.5,9.25,8233.0,75.0,12.13
2021-03-17,7.765,0.86,9.56,0.065,15.4,9.43,8056.0,75.0,12.36
2021-03-18,7.118,0.83,9.564,0.063,15.8,9.64,8090.0,75.0,12.59
2021-03-19,5.824,0.8,9.65,0.058,17.3,9.8,7510.0,75.0,12.94
2021-03-20,6.147,0.77,9.458,0.056,17.9,9.95,7472.0,75.0,13.14
2021-03-21,6.794,0.74,9.277,0.056,18.0,10.07,7626.0,75.0,13.37
2021-03-22,6.147,0.69,9.129,0.056,18.0,10.26,7965.0,75.0,13.61
2021-03-23,5.824,0.63,8.547,0.051,19.6,10.45,8029.0,75.0,13.84
2021-03-24,5.177,0.6,8.137,0.049,20.3,10.66,8538.0,75.0,14.29
2021-03-25,4.853,0.58,7.585,0.047,21.4,11.08,9007.0,75.0,14.77
2021-03-26,5.824,0.57,7.003,0.047,21.2,11.34,10205.0,75.0,15.29
2021-03-27,5.177,0.55,6.742,0.043,23.1,11.45,10821.0,75.0,15.7
2021-03-28,4.853,0.53,6.292,0.038,26.0,11.6,11211.0,75.0,16.19
2021-03-29,4.853,0.51,5.868,0.034,29.3,11.85,11394.0,75.0,16.77
2021-03-30,4.853,0.5,5.682,0.033,30.1,12.13,11659.0,75.0,17.35
2021-03-31,4.853,0.5,5.417,0.031,32.0,12.36,12010.0,75.0,17.7
2021-04-01,5.177,0.52,5.001,0.031,32.7,12.59,12117.0,75.0,18.27
2021-04-02,4.206,0.55,5.035,0.026,37.8,12.94,12033.0,75.0,18.68
2021-04-03,3.883,0.58,4.829,0.026,39.2,13.14,11600.0,75.0,19.06
2021-04-04,3.559,0.6,4.765,0.024,42.3,13.37,11360.0,75.0,19.24
2021-04-05,3.559,0.63,4.715,0.023,42.7,13.61,10692.0,75.0,19.88
2021-04-06,2.912,0.66,4.74,0.024,41.9,13.84,10128.0,75.0,20.42
2021-04-07,2.588,0.69,4.82,0.025,39.7,14.29,9779.0,75.0,21.23
2021-04-08,2.265,0.7,4.969,0.025,40.6,14.77,9313.0,75.0,21.89
2021-04-09,1.941,0.72,4.865,0.026,39.2,15.29,9299.0,75.0,22.35
2021-04-10,1.618,0.74,4.849,0.024,41.7,15.7,9227.0,75.0,22.55
2021-04-11,1.294,0.77,4.792,0.026,37.9,16.19,9388.0,75.0,22.8
2021-04-12,0.971,0.78,4.822,0.026,39.0,16.77,9784.0,71.3,23.22
2021-04-13,1.294,0.78,4.69,0.026,38.5,17.35,10309.0,71.3,23.53
2021-04-14,0.971,0.79,4.622,0.026,38.6,17.7,10246.0,71.3,23.66
2021-04-15,0.647,0.78,4.487,0.027,37.5,18.27,10459.0,71.3,23.92
2021-04-16,1.294,0.77,4.437,0.025,39.3,18.68,10339.0,71.3,24.24
2021-04-17,2.265,0.78,4.296,0.029,35.0,19.06,10889.0,71.3,24.51
2021-04-18,2.265,0.76,4.294,0.027,37.7,19.24,10289.0,71.3,24.62
2021-04-19,2.265,0.73,4.147,0.028,35.1,19.88,10819.0,71.3,24.9
2021-04-20,2.588,0.68,4.09,0.025,39.6,20.42,10973.0,71.3,25.21
2021-04-21,2.588,0.67,4.088,0.023,44.3,21.23,11750.0,71.3,25.53
2021-04-22,2.588,0.67,4.194,0.02,49.3,21.89,11951.0,71.3,26.12
2021-04-23,2.265,0.68,4.167,0.021,47.9,22.35,12253.0,71.3,26.77
2021-04-24,0.971,0.67,4.111,0.017,57.2,22.55,11945.0,71.3,27.05
2021-04-25,1.294,0.68,4.151,0.016,61.7,22.8,11895.0,71.3,27.45
2021-04-26,1.294,0.68,4.108,0.013,77.9,23.22,11605.0,67.59,28.05
2021-04-27,0.647,0.69,4.086,0.015,64.8,23.53,11170.0,67.59,28.82
2021-04-28,0.647,0.68,3.988,0.015,66.3,23.66,10142.0,67.59,29.56
2021-04-29,0.647,0.68,3.959,0.015,68.0,23.92,9655.0,67.59,30.2
2021-04-30,0.324,0.68,3.945,0.013,74.8,24.24,9127.0,67.59,31.02
2021-05-01,0.971,0.68,3.995,0.013,78.2,24.51,9114.0,67.59,31.97
2021-05-02,0.971,0.7,3.97,0.012,84.6,24.62,9263.0,67.59,32.5
2021-05-03,0.971,0.72,4.002,0.013,75.0,24.9,9138.0,67.59,33.44
2021-05-04,0.971,0.7,4.043,0.012,85.0,25.21,9415.0,67.59,34.56
2021-05-05,0.971,0.66,4.072,0.013,77.7,25.53,10513.0,67.59,35.89
2021-05-06,0.971,0.6,4.052,0.011,87.0,26.12,11150.0,67.59,37.17
2021-05-07,1.294,0.56,4.113,0.011,90.8,26.77,11897.0,67.59,38.32
2021-05-08,0.647,0.52,4.192,0.01,98.9,27.05,11732.0,67.59,39.69
2021-05-09,0.324,0.5,4.104,0.01,99.1,27.45,12309.0,67.59,40.82
2021-05-10,0.324,0.47,4.097,0.008,121.8,28.05,12880.0,56.48,41.57
2021-05-11,0.324,0.42,4.083,0.007,152.1,28.82,13106.0,56.48,42.82
2021-05-12,0.324,0.39,4.208,0.004,224.2,29.56,13165.0,56.48,44.36
2021-05-13,0.324,0.39,4.217,0.004,245.9,30.2,13272.0,56.48,45.34
2021-05-14,0.0,0.38,4.237,0.003,311.8,31.02,13593.0,56.48,45.93
2021-05-15,0.0,0.4,4.136,0.003,319.6,31.97,14504.0,56.48,46.48
2021-05-16,0.0,0.41,4.36,0.002,408.4,32.5,14357.0,56.48,47.13
2021-05-17,0.0,0.43,4.364,0.002,518.8,33.44,14155.0,56.48,47.67
2021-05-18,0.0,0.44,4.394,0.002,617.2,34.56,14470.0,56.48,49.45
2021-05-19,0.0,0.47,4.299,0.002,664.3,35.89,14789.0,56.48,50.19
2021-05-20,0.0,0.53,4.376,0.001,751.5,37.17,15138.0,56.48,51.26
2021-05-21,0.0,0.59,4.376,0.002,587.9,38.32,15072.0,56.48,52.23
2021-05-22,0.0,0.63,4.446,0.002,654.3,39.69,15534.0,56.48,52.96
2021-05-23,0.0,0.68,4.432,0.002,570.7,40.82,16225.0,56.48,53.25
2021-05-24,0.0,0.71,4.457,0.002,626.2,41.57,16846.0,56.48,54.09
2021-05-25,0.324,0.75,4.394,0.002,590.4,42.82,17106.0,56.48,55.09
2021-05-26,0.647,0.82,4.459,0.002,510.5,44.36,17115.0,56.48,55.93
2021-05-27,0.647,0.85,4.487,0.002,478.2,45.34,16626.0,56.48,56.97
2021-05-28,0.647,0.88,4.573,0.002,487.3,45.93,15561.0,56.48,58.0
2021-05-29,0.647,0.89,4.6,0.002,473.9,46.48,14037.0,56.48,58.64
2021-05-30,0.647,0.92,4.559,0.002,485.9,47.13,13326.0,56.48,58.98
2021-05-31,0.647,0.95,4.591,0.002,489.3,47.67,12105.0,56.48,60.04
2021-06-01,0.324,0.99,4.763,0.002,433.0,49.45,12316.0,56.48,61.32
2021-06-02,0.0,0.98,4.826,0.002,403.1,50.19,11618.0,56.48,62.13
2021-06-03,0.0,0.92,4.983,0.002,416.2,51.26,11673.0,56.48,63.09
2021-06-04,0.0,0.87,5.066,0.002,474.5,52.23,12076.0,56.48,64.03
2021-06-05,0.0,0.85,5.309,0.002,420.8,52.96,12708.0,56.48,64.73
2021-06-06,0.0,0.76,5.227,0.002,425.1,53.25,12343.0,56.48,65.27
2021-06-07,0.0,0.67,5.107,0.002,438.5,54.09,12400.0,52.78,65.74
2021-06-08,0.0,0.61,4.917,0.002,524.0,55.09,11689.0,52.78,66.73
2021-06-09,0.0,0.6,4.715,0.001,728.7,55.93,11607.0,52.78,67.75
2021-06-10,0.0,0.63,4.498,0.001,695.1,56.97,11349.0,52.78,68.84
2021-06-11,0.0,0.61,4.262,0.002,658.7,58.0,11507.0,52.78,69.66
2021-06-12,0.0,0.6,3.925,0.001,933.2,58.64,11539.0,52.78,70.18
2021-06-13,0.0,0.59,3.85,0.001,1189.6,58.98,11548.0,52.78,70.54
2021-06-14,0.0,0.6,3.741,0.001,1051.6,60.04,12214.0,52.78,71.52
