date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,people_fully_vaccinated_per_hundred_2
2021-01-13,217.656,4.273,0.0,43.0,0.01
2021-01-14,211.407,4.198,0.0,45.0,0.01
2021-01-15,221.989,4.286,0.0,35.0,0.02
2021-01-16,223.697,4.279,0.0,35.0,0.02
2021-01-17,226.679,4.376,0.0,35.0,0.02
2021-01-18,222.563,4.487,0.0,39.0,0.02
2021-01-19,221.422,4.617,0.0,49.0,0.02
2021-01-20,226.675,4.728,0.0,53.0,0.03
2021-01-21,222.613,4.859,0.01,93.0,0.04
2021-01-22,213.841,4.956,0.01,122.0,0.04
2021-01-23,211.151,5.086,0.01,222.0,0.04
2021-01-24,210.066,5.173,0.01,245.0,0.05
2021-01-25,210.232,5.218,0.01,274.0,0.06
2021-01-26,213.135,5.346,0.01,318.0,0.06
2021-01-27,206.575,5.367,0.01,391.0,0.07
2021-01-28,207.987,5.369,0.01,458.0,0.08
2021-01-29,205.658,5.456,0.02,495.0,0.09
2021-01-30,206.769,5.435,0.02,514.0,0.11
2021-01-31,202.574,5.466,0.02,514.0,0.11
2021-02-01,200.331,5.457,0.02,501.0,0.12
2021-02-02,193.003,5.356,0.02,508.0,0.13
2021-02-03,193.542,5.369,0.03,550.0,0.2
2021-02-04,187.678,5.293,0.04,698.0,0.24
2021-02-05,183.414,5.35,0.04,677.0,0.28
2021-02-06,161.144,4.925,0.04,685.0,0.32
2021-02-07,178.886,5.173,0.05,725.0,0.34
2021-02-08,168.439,5.019,0.06,803.0,0.35
2021-02-09,175.096,5.331,0.06,903.0,0.38
2021-02-10,168.715,5.259,0.07,968.0,0.41
2021-02-11,168.826,5.411,0.08,915.0,0.45
2021-02-12,168.474,5.329,0.09,1047.0,0.49
2021-02-13,181.97,5.774,0.11,1084.0,0.52
2021-02-14,164.752,5.519,0.11,1062.0,0.53
2021-02-15,175.414,5.619,0.12,1076.0,0.53
2021-02-16,163.115,5.238,0.13,1097.0,0.56
2021-02-17,162.799,5.235,0.2,1047.0,0.63
2021-02-18,161.645,5.245,0.24,1013.0,0.71
2021-02-19,162.441,5.279,0.28,1005.0,0.8
2021-02-20,165.821,5.23,0.32,963.0,0.81
2021-02-21,166.609,5.219,0.34,976.0,0.81
2021-02-22,164.681,5.189,0.35,938.0,0.87
2021-02-23,169.832,5.272,0.38,896.0,0.92
2021-02-24,174.974,5.334,0.41,878.0,1.0
2021-02-25,179.97,5.314,0.45,844.0,1.09
2021-02-26,184.998,5.298,0.49,824.0,1.18
2021-02-27,186.404,5.371,0.52,820.0,1.23
2021-02-28,182.956,5.338,0.53,822.0,1.24
2021-03-01,188.125,5.48,0.53,833.0,1.34
2021-03-02,188.532,5.418,0.56,919.0,1.41
2021-03-03,187.573,5.619,0.63,1068.0,1.53
2021-03-04,189.484,5.688,0.71,1239.0,1.6
2021-03-05,190.467,5.857,0.8,1384.0,1.66
2021-03-06,193.753,5.821,0.81,1324.0,1.68
2021-03-07,211.95,5.968,0.81,1337.0,1.69
2021-03-08,210.694,5.925,0.87,1402.0,1.75
2021-03-09,215.167,6.237,0.92,1384.0,1.81
2021-03-10,218.061,6.192,1.0,1378.0,1.87
