date,total_deaths_per_million,reproduction_rate,hosp_patients_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,people_fully_vaccinated_per_hundred_2
2021-01-10,1201.529,1.04,521.33,8.252,0.107,9.4,3.37,0.58,2731.0,87.96,0.69
2021-01-11,1209.321,0.98,541.363,8.407,0.102,9.8,3.58,0.61,2689.0,87.96,0.7
2021-01-12,1227.676,0.94,544.751,8.593,0.096,10.5,3.89,0.63,2770.0,87.96,0.7
2021-01-13,1250.773,0.91,552.205,8.753,0.09,11.1,4.3,0.65,2988.0,87.96,0.7
2021-01-14,1269.231,0.9,555.21,8.92,0.088,11.4,4.77,0.65,3275.0,87.96,0.7
2021-01-15,1288.159,0.89,561.706,8.752,0.086,11.6,5.27,0.66,3612.0,87.96,0.71
2021-01-16,1307.295,0.86,555.564,8.608,0.083,12.0,5.7,0.66,3851.0,87.96,0.72
2021-01-17,1317.341,0.84,562.251,8.475,0.081,12.4,5.98,0.67,3865.0,87.96,0.73
2021-01-18,1326.209,0.83,578.234,8.544,0.078,12.9,6.28,0.67,3955.0,87.96,0.73
2021-01-19,1349.954,0.81,572.224,8.556,0.075,13.4,6.79,0.68,4215.0,87.96,0.73
2021-01-20,1376.852,0.81,570.648,8.596,0.072,13.9,7.33,0.68,4379.0,87.96,0.74
2021-01-21,1395.943,0.8,560.631,8.545,0.07,14.3,7.93,0.69,4570.0,87.96,0.75
2021-01-22,1416.581,0.79,563.548,8.633,0.065,15.3,8.63,0.69,4853.0,87.96,0.75
2021-01-23,1436.496,0.77,550.894,8.613,0.064,15.7,9.36,0.69,5262.0,87.96,0.75
2021-01-24,1445.497,0.74,555.785,8.601,0.062,16.2,9.68,0.69,5322.0,87.96,0.76
2021-01-25,1454.247,0.71,556.168,8.555,0.058,17.2,10.1,0.7,5476.0,87.96,0.76
2021-01-26,1478.346,0.7,546.519,8.593,0.055,18.3,10.55,0.7,5404.0,87.96,0.77
2021-01-27,1503.771,0.71,523.127,8.85,0.05,20.0,11.01,0.7,5295.0,87.96,0.77
2021-01-28,1522.022,0.73,514.23,9.057,0.047,21.4,11.62,0.7,5302.0,87.96,0.78
2021-01-29,1540.406,0.74,498.586,9.127,0.044,22.9,12.34,0.71,5323.0,87.96,0.79
2021-01-30,1558.156,0.73,486.33,9.035,0.042,24.0,13.22,0.72,5567.0,87.96,0.79
2021-01-31,1566.847,0.72,480.025,9.425,0.038,26.3,13.69,0.73,5780.0,87.96,0.79
2021-02-01,1572.843,0.72,485.535,9.657,0.036,27.5,14.21,0.73,5930.0,87.96,0.8
2021-02-02,1594.217,0.71,467.946,9.685,0.036,28.1,14.76,0.73,6065.0,87.96,0.82
2021-02-03,1613.691,0.71,450.829,9.754,0.034,29.5,15.45,0.74,6396.0,87.96,0.85
2021-02-04,1627.169,0.71,433.285,9.829,0.032,31.3,16.16,0.75,6540.0,87.96,0.87
2021-02-05,1642.121,0.71,418.113,9.854,0.03,33.6,16.89,0.75,6557.0,87.96,0.89
2021-02-06,1654.317,0.72,396.473,9.893,0.029,35.0,17.7,0.75,6436.0,87.96,0.91
2021-02-07,1659.856,0.72,394.794,9.897,0.027,36.5,18.11,0.76,6347.0,87.96,0.92
2021-02-08,1664.761,0.71,393.955,9.852,0.027,37.6,18.63,0.76,6354.0,87.96,0.95
2021-02-09,1680.258,0.69,378.414,9.797,0.026,38.8,19.24,0.77,6434.0,87.96,0.99
2021-02-10,1695.018,0.68,359.676,9.735,0.025,40.6,19.9,0.77,6400.0,87.96,1.03
2021-02-11,1705.035,0.69,344.858,9.648,0.023,43.0,20.64,0.78,6450.0,87.96,1.08
2021-02-12,1716.215,0.71,328.845,9.554,0.023,44.2,21.44,0.79,6558.0,87.96,1.13
2021-02-13,1725.363,0.72,308.9,9.451,0.022,46.0,22.19,0.79,6467.0,87.96,1.17
2021-02-14,1729.178,0.73,310.138,9.037,0.022,46.3,22.54,0.79,6383.0,87.96,1.2
2021-02-15,1732.64,0.73,309.254,8.681,0.021,46.7,22.94,0.8,6228.0,87.96,1.24
2021-02-16,1744.41,0.75,297.779,8.489,0.021,46.6,23.48,0.82,6148.0,87.96,1.32
2021-02-17,1755.281,0.77,286.495,8.073,0.022,44.5,24.19,0.85,6236.0,87.96,1.42
2021-02-18,1761.983,0.77,272.84,7.669,0.023,43.0,24.86,0.87,6151.0,87.96,1.52
2021-02-19,1769.835,0.78,263.088,7.438,0.023,43.3,25.41,0.89,5809.0,87.96,1.61
2021-02-20,1776.404,0.79,251.038,7.44,0.022,44.9,25.9,0.91,5466.0,87.96,1.65
2021-02-21,1779.601,0.8,248.313,7.84,0.021,48.0,26.11,0.92,5279.0,87.96,1.68
2021-02-22,1782.223,0.8,248.284,8.315,0.02,50.3,26.39,0.95,5128.0,86.11,1.74
2021-02-23,1790.295,0.78,237.383,8.545,0.019,53.1,26.87,0.99,5077.0,86.11,1.85
2021-02-24,1796.821,0.76,228.825,8.895,0.017,57.4,27.53,1.03,5042.0,86.11,1.99
2021-02-25,1801.594,0.74,218.734,9.297,0.016,61.8,28.25,1.08,5152.0,86.11,2.13
2021-02-26,1806.676,0.72,207.362,9.487,0.015,66.3,28.99,1.13,5468.0,86.11,2.26
2021-02-27,1810.962,0.7,195.46,9.441,0.014,69.0,29.59,1.17,5657.0,86.11,2.33
2021-02-28,1813.084,0.69,188.375,9.329,0.014,72.4,29.87,1.2,5773.0,86.11,2.37
2021-03-01,1814.616,0.68,189.936,9.459,0.012,80.2,30.17,1.24,5816.0,86.11,2.45
2021-03-02,1819.668,0.7,178.814,9.685,0.012,85.3,30.5,1.32,5655.0,86.11,2.59
