date,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_vaccinations_smoothed_per_million,people_fully_vaccinated_per_hundred_2
2020-12-27,72.909,1.345,0.95,42.0,0.01
2020-12-28,71.936,1.346,0.98,47.0,0.01
2020-12-29,72.197,1.363,1.0,51.0,0.01
2020-12-30,73.409,1.389,1.02,60.0,0.01
2020-12-31,74.478,1.416,1.02,119.0,0.03
2021-01-01,75.716,1.438,1.02,120.0,0.03
2021-01-02,77.801,1.459,1.04,145.0,0.03
2021-01-03,79.528,1.457,1.06,147.0,0.03
2021-01-04,80.591,1.466,1.07,156.0,0.04
2021-01-05,81.974,1.471,1.09,179.0,0.05
2021-01-06,82.383,1.466,1.09,180.0,0.05
2021-01-07,85.241,1.501,1.1,141.0,0.06
2021-01-08,90.189,1.601,1.09,165.0,0.06
2021-01-09,92.658,1.682,1.07,211.0,0.07
2021-01-10,93.692,1.702,1.06,231.0,0.08
2021-01-11,94.897,1.704,1.04,272.0,0.08
2021-01-12,94.265,1.736,1.02,266.0,0.09
2021-01-13,93.619,1.768,1.0,311.0,0.1
2021-01-14,91.317,1.779,0.99,334.0,0.11
2021-01-15,90.657,1.776,0.98,358.0,0.12
2021-01-16,88.422,1.787,0.97,290.0,0.13
2021-01-17,87.324,1.793,0.95,274.0,0.14
2021-01-18,85.411,1.782,0.94,246.0,0.15
2021-01-19,83.622,1.776,0.93,316.0,0.16
2021-01-20,82.607,1.797,0.92,390.0,0.17
2021-01-21,80.794,1.825,0.92,399.0,0.19
2021-01-22,78.812,1.845,0.92,417.0,0.2
2021-01-23,77.51,1.847,0.91,452.0,0.21
2021-01-24,75.978,1.852,0.91,486.0,0.23
2021-01-25,75.644,1.879,0.91,507.0,0.24
2021-01-26,74.699,1.891,0.91,461.0,0.25
2021-01-27,72.965,1.875,0.9,527.0,0.27
2021-01-28,72.197,1.875,0.9,551.0,0.29
2021-01-29,70.94,1.861,0.89,560.0,0.31
2021-01-30,69.972,1.857,0.89,572.0,0.33
2021-01-31,68.8,1.847,0.88,603.0,0.35
2021-02-01,67.874,1.837,0.88,608.0,0.36
2021-02-02,66.071,1.794,0.87,609.0,0.38
2021-02-03,64.671,1.775,0.86,605.0,0.4
2021-02-04,61.968,1.697,0.86,612.0,0.42
2021-02-05,60.959,1.728,0.86,614.0,0.45
2021-02-06,58.336,1.671,0.86,624.0,0.47
2021-02-07,58.636,1.664,0.87,611.0,0.49
2021-02-08,56.244,1.633,0.86,617.0,0.51
2021-02-09,55.689,1.647,0.87,803.0,0.55
2021-02-10,54.109,1.606,0.86,693.0,0.57
2021-02-11,53.642,1.621,0.86,697.0,0.6
2021-02-12,51.686,1.547,0.87,721.0,0.63
2021-02-13,51.706,1.546,0.87,734.0,0.66
2021-02-14,49.796,1.516,0.88,740.0,0.67
2021-02-15,49.196,1.487,0.88,737.0,0.69
2021-02-16,47.787,1.406,0.89,609.0,0.73
2021-02-17,47.049,1.369,0.9,610.0,0.76
2021-02-18,46.354,1.334,0.92,633.0,0.79
2021-02-19,46.056,1.308,0.93,630.0,0.82
2021-02-20,46.006,1.281,0.95,622.0,0.84
2021-02-21,46.382,1.277,0.96,614.0,0.86
2021-02-22,46.476,1.277,0.97,625.0,0.88
2021-02-23,47.174,1.28,0.99,601.0,0.91
2021-02-24,48.079,1.289,1.0,613.0,0.94
2021-02-25,48.885,1.267,1.0,611.0,0.97
2021-02-26,49.444,1.249,1.0,627.0,1.01
2021-02-27,49.786,1.245,1.0,644.0,1.05
