date,country,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,people_fully_vaccinated_per_hundred_2,people_fully_vaccinated_per_hundred_ave,daily_vaccinations_per_million_ave
2020-12-11,Scotland,0.29,0.0,856.0,0.0,0.0,176.0
2020-12-12,Scotland,0.33,0.0,739.0,0.0,0.0,156.0
2020-12-13,Scotland,0.35,0.0,632.0,0.0,0.0,137.83333333333334
2020-12-14,Scotland,0.45,0.0,700.0,0.0,0.0,421.77777777777777
2020-12-15,Scotland,0.59,0.0,792.0,0.0,0.0,367.1818181818182
2020-12-16,Scotland,0.72,0.0,879.0,0.0,0.0,301.73333333333335
2020-12-17,Scotland,0.85,0.0,934.0,0.0,0.0,321.4
2020-12-18,Scotland,1.0,0.0,1018.0,0.0,0.0,317.5625
2020-12-19,Scotland,1.06,0.0,1049.0,0.0,0.0,331.4375
2020-12-20,Scotland,1.11,0.0,1087.0,0.0,0.0,389.70588235294116
2020-12-21,Scotland,1.29,0.0,1187.0,0.0,0.0,443.6666666666667
2020-12-22,Scotland,1.5,0.0,1302.0,0.02,0.0,523.4444444444445
2020-12-23,Scotland,1.69,0.0,1379.0,0.04,0.0,559.25
2020-12-24,Scotland,1.74,0.0,1268.0,0.04,0.0,878.7142857142857
2020-12-25,Scotland,1.74,0.0,1048.0,0.05,0.0,607.96
2020-12-27,Europe,0.15,0.0,78.0,0.05,0.0,735.9230769230769
2020-12-27,European Union,0.01,0.0,18.0,0.0,0.0,735.9230769230769
2020-12-27,Germany,0.03,0.0,213.0,0.0,0.0,735.9230769230769
2020-12-27,High income,0.28,0.0,255.0,0.05,0.0,735.9230769230769
2020-12-27,Scotland,1.75,0.0,907.0,0.05,0.0,735.9230769230769
2020-12-27,World,0.05,0.0,42.0,0.01,0.0,735.9230769230769
2020-12-28,Europe,0.15,0.0,85.0,0.06,0.0,639.7297297297297
2020-12-28,European Union,0.02,0.0,30.0,0.0,0.0,639.7297297297297
2020-12-28,Germany,0.05,0.0,213.0,0.0,0.0,639.7297297297297
2020-12-28,High income,0.31,0.0,287.0,0.05,0.0,639.7297297297297
2020-12-28,Scotland,1.78,0.0,703.0,0.05,0.0,639.7297297297297
2020-12-28,World,0.05,0.0,47.0,0.01,0.0,639.7297297297297
2020-12-29,Belgium,0.0,0.0,1.0,0.0,0.0,629.25
2020-12-29,England,1.58,0.0,433.0,0.72,0.0,629.25
2020-12-29,Europe,0.17,0.0,98.0,0.06,0.0,629.25
2020-12-29,European Union,0.04,0.0,59.0,0.0,0.0,629.25
2020-12-29,Germany,0.11,0.0,401.0,0.0,0.0,629.25
2020-12-29,High income,0.33,0.0,310.0,0.06,0.0,629.25
2020-12-29,Scotland,1.92,0.0,593.0,0.05,0.0,629.25
2020-12-29,World,0.05,0.0,51.0,0.01,0.0,629.25
2020-12-30,Belgium,0.01,0.0,22.0,0.0,0.0016666666666666668,669.5869565217391
2020-12-30,England,1.78,0.01,507.0,0.74,0.0016666666666666668,669.5869565217391
2020-12-30,Europe,0.19,0.0,127.0,0.06,0.0016666666666666668,669.5869565217391
2020-12-30,European Union,0.07,0.0,105.0,0.0,0.0016666666666666668,669.5869565217391
2020-12-30,Germany,0.18,0.0,517.0,0.0,0.0016666666666666668,669.5869565217391
2020-12-30,High income,0.4,0.0,364.0,0.07,0.0016666666666666668,669.5869565217391
2020-12-30,Scotland,2.06,0.0,530.0,0.06,0.0016666666666666668,669.5869565217391
2020-12-30,World,0.07,0.0,60.0,0.01,0.0016666666666666668,669.5869565217391
2020-12-31,Belgium,0.01,0.0,15.0,0.0,0.0033333333333333335,707.36
2020-12-31,England,1.94,0.02,665.0,0.75,0.0033333333333333335,707.36
2020-12-31,Europe,0.2,0.0,147.0,0.06,0.0033333333333333335,707.36
2020-12-31,European Union,0.1,0.0,139.0,0.0,0.0033333333333333335,707.36
2020-12-31,Germany,0.24,0.0,534.0,0.0,0.0033333333333333335,707.36
2020-12-31,High income,0.43,0.0,385.0,0.18,0.0033333333333333335,707.36
2020-12-31,Scotland,2.13,0.0,567.0,0.06,0.0033333333333333335,707.36
2020-12-31,World,0.07,0.0,119.0,0.03,0.0033333333333333335,707.36
2021-01-01,Belgium,0.01,0.0,11.0,0.0,0.0033333333333333335,681.0769230769231
2021-01-01,England,1.98,0.02,727.0,0.75,0.0033333333333333335,681.0769230769231
2021-01-01,Europe,0.2,0.0,155.0,0.06,0.0033333333333333335,681.0769230769231
2021-01-01,European Union,0.11,0.0,152.0,0.0,0.0033333333333333335,681.0769230769231
2021-01-01,Germany,0.27,0.0,488.0,0.0,0.0033333333333333335,681.0769230769231
2021-01-01,High income,0.44,0.0,394.0,0.2,0.0033333333333333335,681.0769230769231
2021-01-01,Scotland,2.13,0.0,567.0,0.06,0.0033333333333333335,681.0769230769231
2021-01-01,World,0.07,0.0,120.0,0.03,0.0033333333333333335,681.0769230769231
2021-01-02,Belgium,0.01,0.0,9.0,0.0,0.005,698.9038461538462
2021-01-02,England,2.04,0.03,799.0,0.76,0.005,698.9038461538462
2021-01-02,Europe,0.32,0.0,317.0,0.06,0.005,698.9038461538462
2021-01-02,European Union,0.13,0.0,185.0,0.0,0.005,698.9038461538462
2021-01-02,Germany,0.33,0.0,501.0,0.01,0.005,698.9038461538462
2021-01-02,High income,0.56,0.0,466.0,0.21,0.005,698.9038461538462
2021-01-02,Scotland,2.13,0.0,567.0,0.07,0.005,698.9038461538462
2021-01-02,World,0.1,0.0,145.0,0.03,0.005,698.9038461538462
2021-01-03,Belgium,0.01,0.0,8.0,0.0,0.006666666666666667,706.0769230769231
2021-01-03,England,2.06,0.04,828.0,0.76,0.006666666666666667,706.0769230769231
2021-01-03,Europe,0.38,0.0,331.0,0.06,0.006666666666666667,706.0769230769231
2021-01-03,European Union,0.15,0.0,194.0,0.01,0.006666666666666667,706.0769230769231
2021-01-03,Germany,0.35,0.0,467.0,0.03,0.006666666666666667,706.0769230769231
2021-01-03,High income,0.61,0.0,479.0,0.21,0.006666666666666667,706.0769230769231
2021-01-03,Scotland,2.14,0.0,564.0,0.07,0.006666666666666667,706.0769230769231
2021-01-03,World,0.11,0.0,147.0,0.03,0.006666666666666667,706.0769230769231
2021-01-04,Asia,0.03,0.0,121.0,0.02,0.005,739.3269230769231
2021-01-04,Belgium,0.01,0.0,7.0,0.0,0.005,739.3269230769231
2021-01-04,Denmark,0.91,0.0,1100.0,0.05,0.005,739.3269230769231
2021-01-04,England,2.11,0.05,876.0,0.77,0.005,739.3269230769231
2021-01-04,Europe,0.42,0.0,375.0,0.07,0.005,739.3269230769231
2021-01-04,European Union,0.21,0.0,269.0,0.02,0.005,739.3269230769231
2021-01-04,Germany,0.41,0.0,514.0,0.05,0.005,739.3269230769231
2021-01-04,High income,0.67,0.0,527.0,0.23,0.005,739.3269230769231
2021-01-04,Israel,16.57,0.0,15035.0,5.23,0.005,739.3269230769231
